datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-01 00:00:00,366.10000000,370.10000000,366.10000000,369.30000000,1069.57300000,2025-05-01 00:59:59.999,394521.69790000,3534,663.06200000,244585.01240000,0
2025-05-01 01:00:00,369.40000000,371.20000000,367.70000000,369.60000000,1424.34100000,2025-05-01 01:59:59.999,526061.30170000,4364,630.52400000,232752.88680000,0
2025-05-01 02:00:00,369.50000000,370.20000000,368.60000000,368.80000000,515.35900000,2025-05-01 02:59:59.999,190441.40220000,3168,211.30600000,78078.98130000,0
2025-05-01 03:00:00,368.80000000,370.10000000,367.10000000,367.60000000,557.65600000,2025-05-01 03:59:59.999,205487.47120000,2880,215.03300000,79222.23480000,0
2025-05-01 04:00:00,367.70000000,368.10000000,367.20000000,368.10000000,434.41400000,2025-05-01 04:59:59.999,159700.63980000,1882,250.11700000,91958.34710000,0
2025-05-01 05:00:00,368.10000000,369.30000000,366.40000000,366.60000000,1477.83400000,2025-05-01 05:59:59.999,543940.83410000,4476,570.30500000,209994.43820000,0
2025-05-01 06:00:00,366.60000000,367.70000000,366.00000000,366.30000000,440.94700000,2025-05-01 06:59:59.999,161724.48150000,1432,306.09300000,112260.30030000,0
2025-05-01 07:00:00,366.20000000,367.40000000,365.60000000,366.20000000,541.26800000,2025-05-01 07:59:59.999,198292.85620000,2361,229.68100000,84172.01220000,0
2025-05-01 08:00:00,366.20000000,366.40000000,363.90000000,366.10000000,1271.99400000,2025-05-01 08:59:59.999,464283.74850000,4327,585.43100000,213688.28570000,0
2025-05-01 09:00:00,366.00000000,367.70000000,365.30000000,367.30000000,668.45700000,2025-05-01 09:59:59.999,245156.25940000,2505,444.32800000,162961.74020000,0
2025-05-01 10:00:00,367.30000000,374.10000000,367.00000000,372.50000000,8546.83000000,2025-05-01 10:59:59.999,3179066.19270000,17226,5201.72500000,1934972.75210000,0
2025-05-01 11:00:00,372.50000000,375.10000000,370.00000000,370.90000000,3557.69800000,2025-05-01 11:59:59.999,1327527.93180000,8198,1967.30800000,734625.35110000,0
2025-05-01 12:00:00,371.00000000,372.60000000,371.00000000,371.70000000,1090.29700000,2025-05-01 12:59:59.999,405190.71280000,3491,584.38100000,217164.26030000,0
2025-05-01 13:00:00,371.60000000,371.80000000,367.60000000,367.60000000,2432.51000000,2025-05-01 13:59:59.999,899996.57660000,5659,979.46600000,362133.67110000,0
2025-05-01 14:00:00,367.60000000,372.60000000,367.60000000,372.00000000,1065.68400000,2025-05-01 14:59:59.999,393988.24810000,3816,573.54600000,212043.74490000,0
2025-05-01 15:00:00,372.20000000,373.40000000,365.50000000,366.20000000,4038.73800000,2025-05-01 15:59:59.999,1490011.71250000,10345,1756.38500000,647935.68710000,0
2025-05-01 16:00:00,366.10000000,368.80000000,365.20000000,365.70000000,1459.48600000,2025-05-01 16:59:59.999,535453.65320000,4434,654.63600000,240166.87990000,0
2025-05-01 17:00:00,365.60000000,367.10000000,362.90000000,364.00000000,1745.05200000,2025-05-01 17:59:59.999,636372.72120000,4655,820.15700000,299252.61040000,0
2025-05-01 18:00:00,364.00000000,364.80000000,362.90000000,364.60000000,593.54400000,2025-05-01 18:59:59.999,215939.05820000,2098,377.16100000,137232.96630000,0
2025-05-01 19:00:00,364.60000000,364.70000000,361.90000000,362.10000000,731.73500000,2025-05-01 19:59:59.999,265710.21730000,2055,368.01800000,133659.23720000,0
2025-05-01 20:00:00,362.10000000,363.10000000,361.10000000,362.30000000,1106.08400000,2025-05-01 20:59:59.999,400796.35310000,3637,647.08600000,234487.25970000,0
2025-05-01 21:00:00,362.30000000,364.00000000,362.20000000,363.30000000,599.24500000,2025-05-01 21:59:59.999,217689.61900000,2119,383.02200000,139135.82840000,0
2025-05-01 22:00:00,363.30000000,364.10000000,361.70000000,362.10000000,1200.36700000,2025-05-01 22:59:59.999,435415.18640000,3693,633.62500000,229869.52650000,0
2025-05-01 23:00:00,362.10000000,362.30000000,360.10000000,360.80000000,1319.80400000,2025-05-01 23:59:59.999,476376.86460000,4817,748.28500000,270094.72530000,0
