datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,678.80000000,719.50000000,561.70000000,684.80000000,2894743.56500000,2024-04-07 23:59:59.999,1906942148.06550000,3369822,1523143.80400000,1006687263.10950000,0
2024-04-08,684.90000000,712.90000000,443.00000000,525.70000000,1663939.90900000,2024-04-14 23:59:59.999,977426373.56220000,2027999,814103.53500000,479620382.17650000,0
2024-04-15,525.60000000,568.20000000,444.30000000,502.20000000,919362.40100000,2024-04-21 23:59:59.999,453090357.38280000,1069237,450485.87800000,221892819.45870000,0
2024-04-22,502.20000000,528.00000000,462.00000000,470.50000000,397955.90000000,2024-04-28 23:59:59.999,195542241.52500000,484383,202328.53700000,99568154.25920000,0
2024-04-29,470.80000000,480.50000000,400.00000000,469.00000000,502817.37600000,2024-05-05 23:59:59.999,220996027.96700000,598665,243235.74100000,106987862.10080000,0
2024-05-06,469.10000000,494.60000000,421.30000000,433.00000000,366073.99000000,2024-05-12 23:59:59.999,167326405.33600000,505755,180556.41500000,82525988.80260000,0
2024-05-13,433.10000000,497.10000000,421.50000000,484.90000000,440035.60600000,2024-05-19 23:59:59.999,203618782.06880000,614781,233114.97500000,107979174.01320000,0
2024-05-20,485.00000000,530.10000000,472.40000000,484.00000000,555582.50300000,2024-05-26 23:59:59.999,279275008.18600000,778417,278269.17700000,139792506.75660000,0
2024-05-27,484.10000000,503.70000000,447.60000000,458.30000000,265074.86600000,2024-06-02 23:59:59.999,124474079.62720000,392260,127839.55200000,60020171.48820000,0
2024-06-03,458.40000000,520.90000000,454.40000000,474.60000000,370155.81600000,2024-06-09 23:59:59.999,179557143.33570000,527272,180632.89800000,87673700.85980000,0
2024-06-10,474.60000000,474.90000000,406.10000000,428.40000000,314578.79400000,2024-06-16 23:59:59.999,139418339.05470000,415610,149202.35700000,66091176.63490000,0
2024-06-17,428.50000000,430.00000000,372.20000000,381.10000000,342472.07700000,2024-06-23 23:59:59.999,134937927.92750000,457209,170758.34600000,67276884.73040000,0
2024-06-24,381.00000000,407.00000000,343.90000000,394.00000000,381787.80100000,2024-06-30 23:59:59.999,144587531.50120000,550336,191401.66800000,72468113.86160000,0
2024-07-01,394.00000000,398.60000000,288.40000000,312.70000000,408810.41500000,2024-07-07 23:59:59.999,137697595.35930000,516599,195690.48400000,65946510.12730000,0
2024-07-08,312.70000000,387.90000000,298.90000000,376.60000000,349676.24300000,2024-07-14 23:59:59.999,122854854.86960000,556964,179425.50800000,62997612.33580000,0
2024-07-15,376.50000000,405.30000000,369.40000000,401.30000000,393313.81300000,2024-07-21 23:59:59.999,151584330.65850000,655125,205345.72700000,79175165.26440000,0
2024-07-22,401.30000000,423.60000000,346.70000000,416.80000000,419630.01000000,2024-07-28 23:59:59.999,159925313.33980000,532844,216957.73400000,82795545.09470000,0
2024-07-29,416.80000000,459.20000000,331.00000000,332.50000000,606305.86400000,2024-08-04 23:59:59.999,248099400.02680000,846909,295049.89700000,120595225.63930000,0
2024-08-05,332.50000000,372.20000000,272.70000000,330.20000000,760181.07000000,2024-08-11 23:59:59.999,243173301.41790000,1190774,367155.89200000,117506245.96090000,0
2024-08-12,330.20000000,365.40000000,327.40000000,333.10000000,378928.53300000,2024-08-18 23:59:59.999,130012814.43600000,783639,180155.37000000,61912280.79390000,0
2024-08-19,333.20000000,369.20000000,330.40000000,356.30000000,309946.69500000,2024-08-25 23:59:59.999,108180820.64530000,599889,151887.01600000,53044332.89650000,0
2024-08-26,356.30000000,358.10000000,310.40000000,312.70000000,242497.38500000,2024-09-01 23:59:59.999,80339928.79750000,699786,111390.23000000,36937100.07460000,0
2024-09-02,312.60000000,326.30000000,286.00000000,305.40000000,259007.86800000,2024-09-08 23:59:59.999,80012776.67520000,511172,126548.53200000,39127121.49330000,0
2024-09-09,305.30000000,343.90000000,304.80000000,316.40000000,227760.57600000,2024-09-15 23:59:59.999,74553230.52580000,411595,114788.73100000,37590372.28410000,0
2024-09-16,316.40000000,349.80000000,306.20000000,342.60000000,307936.63000000,2024-09-22 23:59:59.999,102353313.62210000,514557,156942.21800000,52130797.81610000,0
2024-09-23,342.70000000,364.60000000,335.90000000,352.60000000,313009.44200000,2024-09-29 23:59:59.999,109685417.78310000,463789,156596.09700000,54870615.06710000,0
2024-09-30,352.60000000,353.80000000,307.80000000,324.60000000,262057.33000000,2024-10-06 23:59:59.999,85315205.24690000,489410,124901.84300000,40681959.17260000,0
2024-10-07,324.60000000,333.80000000,317.20000000,321.30000000,217404.81200000,2024-10-13 23:59:59.999,70927369.03390000,331487,103809.70300000,33885183.88900000,0
2024-10-14,321.40000000,386.80000000,318.90000000,369.90000000,587022.02200000,2024-10-20 23:59:59.999,212606222.46170000,837113,304399.53800000,110257547.15550000,0
2024-10-21,369.80000000,379.00000000,338.60000000,352.20000000,340691.62100000,2024-10-27 23:59:59.999,122880887.41420000,508909,165738.34000000,59820787.25020000,0
2024-10-28,352.20000000,389.40000000,333.80000000,340.10000000,509819.55800000,2024-11-03 23:59:59.999,185939136.16520000,732175,253792.89100000,92680518.60970000,0
2024-11-04,340.00000000,454.40000000,322.00000000,441.30000000,792954.49400000,2024-11-10 23:59:59.999,308413017.24810000,1495828,402792.74400000,156792152.52070000,0
2024-11-11,441.30000000,488.70000000,403.20000000,433.10000000,1227926.07200000,2024-11-17 23:59:59.999,541934307.34510000,2390600,603545.46500000,266522548.98550000,0
2024-11-18,433.10000000,568.50000000,428.60000000,515.20000000,1442676.26700000,2024-11-24 23:59:59.999,715736334.65540000,2043785,725308.17400000,359945784.66260000,0
2024-11-25,515.30000000,540.00000000,471.00000000,532.00000000,876201.68500000,2024-12-01 23:59:59.999,448780118.40060000,1322038,440215.61100000,225482657.08440000,0
2024-12-02,532.10000000,640.00000000,494.70000000,622.30000000,1753500.64800000,2024-12-08 23:59:59.999,1004822686.50880000,2628313,874195.29400000,501649214.31550000,0
2024-12-09,622.30000000,623.80000000,485.20000000,546.20000000,785119.70300000,2024-12-15 23:59:59.999,432329296.56660000,1163023,380561.61300000,209382500.90300000,0
2024-12-16,546.30000000,557.10000000,390.50000000,445.80000000,708956.14000000,2024-12-22 23:59:59.999,333957196.25630000,972012,348563.45300000,164655316.63080000,0
2024-12-23,445.80000000,478.80000000,432.40000000,439.10000000,271599.27800000,2024-12-29 23:59:59.999,122805295.04290000,384140,137468.65800000,62145844.71280000,0
2024-12-30,439.00000000,483.10000000,428.90000000,470.90000000,283312.67400000,2025-01-05 23:59:59.999,129754959.15780000,334075,142709.57500000,65348693.08210000,0
2025-01-06,471.10000000,486.30000000,411.30000000,447.90000000,348514.67000000,2025-01-12 23:59:59.999,155664466.75760000,398412,172087.70600000,76816701.38370000,0
2025-01-13,448.00000000,500.60000000,400.50000000,427.70000000,518226.73800000,2025-01-19 23:59:59.999,236252897.04900000,1201809,258315.45400000,117838580.58890000,0
2025-01-20,427.70000000,483.80000000,415.40000000,425.20000000,369935.06800000,2025-01-26 23:59:59.999,162833684.49020000,1001032,185015.15100000,81494665.63300000,0
2025-01-27,425.20000000,445.30000000,341.50000000,360.40000000,381293.95600000,2025-02-02 23:59:59.999,155135405.57910000,912822,181872.50500000,74061373.30390000,0
2025-02-03,360.60000000,360.60000000,270.00000000,324.50000000,615377.25100000,2025-02-09 23:59:59.999,198828724.80300000,1320041,287056.70600000,92635938.01480000,0
2025-02-10,324.40000000,351.00000000,315.40000000,326.30000000,211672.38900000,2025-02-16 23:59:59.999,70757658.10780000,533465,105489.15200000,35277701.19820000,0
2025-02-17,326.20000000,337.00000000,307.60000000,327.80000000,208082.28000000,2025-02-23 23:59:59.999,67081555.37430000,431705,101752.27400000,32840260.51360000,0
2025-02-24,327.90000000,341.50000000,269.80000000,334.20000000,520506.94200000,2025-03-02 23:59:59.999,157740030.85130000,1022143,260627.58300000,79154542.73670000,0
2025-03-03,334.20000000,420.00000000,291.10000000,357.50000000,1234671.06400000,2025-03-09 23:59:59.999,452162280.81340000,2665325,614388.66500000,224903188.74250000,0
2025-03-10,357.60000000,372.80000000,316.00000000,332.90000000,634511.79400000,2025-03-16 23:59:59.999,216999011.49880000,1394183,300376.76100000,102621913.33610000,0
2025-03-17,333.00000000,349.90000000,320.10000000,325.40000000,250402.79300000,2025-03-23 23:59:59.999,83719566.75860000,651053,130881.68700000,43695865.34910000,0
2025-03-24,325.30000000,342.10000000,293.80000000,299.20000000,301322.75100000,2025-03-30 23:59:59.999,98098370.72080000,602769,153907.93800000,50124793.52270000,0
