datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-01 00:00:00,366.10000000,369.70000000,366.10000000,369.60000000,674.85200000,2025-05-01 00:29:59.999,248634.31100000,2229,400.02400000,147351.55520000,0
2025-05-01 00:30:00,369.50000000,370.10000000,369.00000000,369.30000000,394.72100000,2025-05-01 00:59:59.999,145887.38690000,1305,263.03800000,97233.45720000,0
2025-05-01 01:00:00,369.40000000,371.20000000,368.00000000,368.00000000,863.58300000,2025-05-01 01:29:59.999,319257.71940000,2422,226.22600000,83658.69480000,0
2025-05-01 01:30:00,367.90000000,369.60000000,367.70000000,369.60000000,560.75800000,2025-05-01 01:59:59.999,206803.58230000,1942,404.29800000,149094.19200000,0
2025-05-01 02:00:00,369.50000000,370.20000000,368.70000000,370.00000000,227.70000000,2025-05-01 02:29:59.999,84160.12820000,1496,101.60400000,37551.19440000,0
2025-05-01 02:30:00,370.00000000,370.20000000,368.60000000,368.80000000,287.65900000,2025-05-01 02:59:59.999,106281.27400000,1672,109.70200000,40527.78690000,0
2025-05-01 03:00:00,368.80000000,370.10000000,368.40000000,368.70000000,244.32100000,2025-05-01 03:29:59.999,90210.92910000,1162,75.02600000,27700.03640000,0
2025-05-01 03:30:00,368.70000000,369.00000000,367.10000000,367.60000000,313.33500000,2025-05-01 03:59:59.999,115276.54210000,1718,140.00700000,51522.19840000,0
2025-05-01 04:00:00,367.70000000,368.10000000,367.20000000,367.40000000,217.99700000,2025-05-01 04:29:59.999,80159.48610000,1124,107.79900000,39646.93760000,0
2025-05-01 04:30:00,367.30000000,368.10000000,367.30000000,368.10000000,216.41700000,2025-05-01 04:59:59.999,79541.15370000,758,142.31800000,52311.40950000,0
2025-05-01 05:00:00,368.10000000,369.10000000,367.70000000,368.80000000,236.03500000,2025-05-01 05:29:59.999,86999.50680000,1078,112.31900000,41398.43430000,0
2025-05-01 05:30:00,368.80000000,369.30000000,366.40000000,366.60000000,1241.79900000,2025-05-01 05:59:59.999,456941.32730000,3398,457.98600000,168596.00390000,0
2025-05-01 06:00:00,366.60000000,367.70000000,366.40000000,366.80000000,162.60300000,2025-05-01 06:29:59.999,59675.16340000,670,96.91800000,35565.33360000,0
2025-05-01 06:30:00,366.80000000,367.50000000,366.00000000,366.30000000,278.34400000,2025-05-01 06:59:59.999,102049.31810000,762,209.17500000,76694.96670000,0
2025-05-01 07:00:00,366.20000000,367.10000000,365.60000000,367.00000000,196.92700000,2025-05-01 07:29:59.999,72129.19350000,1023,76.99300000,28209.86440000,0
2025-05-01 07:30:00,367.00000000,367.40000000,365.60000000,366.20000000,344.34100000,2025-05-01 07:59:59.999,126163.66270000,1338,152.68800000,55962.14780000,0
2025-05-01 08:00:00,366.20000000,366.40000000,363.90000000,365.20000000,957.97300000,2025-05-01 08:29:59.999,349485.32990000,3162,424.92000000,155010.83740000,0
2025-05-01 08:30:00,365.30000000,366.10000000,365.00000000,366.10000000,314.02100000,2025-05-01 08:59:59.999,114798.41860000,1165,160.51100000,58677.44830000,0
2025-05-01 09:00:00,366.00000000,366.40000000,365.30000000,366.40000000,162.36500000,2025-05-01 09:29:59.999,59374.17700000,833,106.49500000,38941.89220000,0
2025-05-01 09:30:00,366.50000000,367.70000000,366.20000000,367.30000000,506.09200000,2025-05-01 09:59:59.999,185782.08240000,1672,337.83300000,124019.84800000,0
2025-05-01 10:00:00,367.30000000,373.00000000,367.00000000,372.80000000,3690.50900000,2025-05-01 10:29:59.999,1370527.51590000,6265,2368.34600000,879659.76970000,0
2025-05-01 10:30:00,372.80000000,374.10000000,370.30000000,372.50000000,4856.32100000,2025-05-01 10:59:59.999,1808538.67680000,10961,2833.37900000,1055312.98240000,0
2025-05-01 11:00:00,372.50000000,375.10000000,370.00000000,370.40000000,3231.12300000,2025-05-01 11:29:59.999,1206458.47990000,6624,1755.82400000,656219.04240000,0
2025-05-01 11:30:00,370.40000000,371.30000000,370.10000000,370.90000000,326.57500000,2025-05-01 11:59:59.999,121069.45190000,1574,211.48400000,78406.30870000,0
2025-05-01 12:00:00,371.00000000,372.60000000,371.00000000,371.70000000,850.34000000,2025-05-01 12:29:59.999,316044.25050000,2077,472.84100000,175721.69210000,0
2025-05-01 12:30:00,371.70000000,372.00000000,371.00000000,371.70000000,239.95700000,2025-05-01 12:59:59.999,89146.46230000,1414,111.54000000,41442.56820000,0
2025-05-01 13:00:00,371.60000000,371.80000000,368.60000000,371.10000000,1783.41300000,2025-05-01 13:29:59.999,660215.59800000,3386,652.68000000,241473.09420000,0
2025-05-01 13:30:00,371.10000000,371.20000000,367.60000000,367.60000000,649.09700000,2025-05-01 13:59:59.999,239780.97860000,2273,326.78600000,120660.57690000,0
2025-05-01 14:00:00,367.60000000,370.50000000,367.60000000,370.20000000,766.70400000,2025-05-01 14:29:59.999,283076.67500000,2809,369.48600000,136323.80670000,0
2025-05-01 14:30:00,370.30000000,372.60000000,369.50000000,372.00000000,298.98000000,2025-05-01 14:59:59.999,110911.57310000,1007,204.06000000,75719.93820000,0
2025-05-01 15:00:00,372.20000000,373.40000000,366.60000000,367.70000000,3059.76400000,2025-05-01 15:29:59.999,1130977.90420000,7605,1317.64800000,486971.28900000,0
2025-05-01 15:30:00,367.70000000,367.90000000,365.50000000,366.20000000,978.97400000,2025-05-01 15:59:59.999,359033.80830000,2740,438.73700000,160964.39810000,0
2025-05-01 16:00:00,366.10000000,367.00000000,365.20000000,366.80000000,520.44000000,2025-05-01 16:29:59.999,190552.77010000,1942,253.58600000,92881.44110000,0
2025-05-01 16:30:00,366.80000000,368.80000000,365.60000000,365.70000000,939.04600000,2025-05-01 16:59:59.999,344900.88310000,2492,401.05000000,147285.43880000,0
2025-05-01 17:00:00,365.60000000,367.10000000,364.90000000,365.80000000,608.80500000,2025-05-01 17:29:59.999,222852.94820000,1787,317.50100000,116295.97230000,0
2025-05-01 17:30:00,365.70000000,366.00000000,362.90000000,364.00000000,1136.24700000,2025-05-01 17:59:59.999,413519.77300000,2868,502.65600000,182956.63810000,0
2025-05-01 18:00:00,364.00000000,364.20000000,362.90000000,363.30000000,259.97600000,2025-05-01 18:29:59.999,94492.75360000,1009,135.05900000,49092.74470000,0
2025-05-01 18:30:00,363.30000000,364.80000000,363.10000000,364.60000000,333.56800000,2025-05-01 18:59:59.999,121446.30460000,1089,242.10200000,88140.22160000,0
2025-05-01 19:00:00,364.60000000,364.70000000,362.90000000,363.90000000,312.35600000,2025-05-01 19:29:59.999,113588.40160000,945,176.61700000,64215.11320000,0
2025-05-01 19:30:00,363.80000000,364.10000000,361.90000000,362.10000000,419.37900000,2025-05-01 19:59:59.999,152121.81570000,1110,191.40100000,69444.12400000,0
2025-05-01 20:00:00,362.10000000,363.10000000,361.10000000,362.50000000,535.03400000,2025-05-01 20:29:59.999,193766.67120000,2106,340.87500000,123461.24940000,0
2025-05-01 20:30:00,362.50000000,362.90000000,362.10000000,362.30000000,571.05000000,2025-05-01 20:59:59.999,207029.68190000,1531,306.21100000,111026.01030000,0
2025-05-01 21:00:00,362.30000000,364.00000000,362.20000000,363.10000000,294.50700000,2025-05-01 21:29:59.999,106957.46190000,1049,190.19700000,69068.34390000,0
2025-05-01 21:30:00,363.00000000,363.80000000,362.60000000,363.30000000,304.73800000,2025-05-01 21:59:59.999,110732.15710000,1070,192.82500000,70067.48450000,0
2025-05-01 22:00:00,363.30000000,364.10000000,362.60000000,362.90000000,649.17400000,2025-05-01 22:29:59.999,235770.86080000,2107,377.26000000,137011.78280000,0
2025-05-01 22:30:00,362.90000000,362.90000000,361.70000000,362.10000000,551.19300000,2025-05-01 22:59:59.999,199644.32560000,1586,256.36500000,92857.74370000,0
2025-05-01 23:00:00,362.10000000,362.30000000,360.40000000,361.30000000,741.71100000,2025-05-01 23:29:59.999,267883.76540000,2159,380.84300000,137558.10300000,0
2025-05-01 23:30:00,361.20000000,361.30000000,360.10000000,360.80000000,578.09300000,2025-05-01 23:59:59.999,208493.09920000,2658,367.44200000,132536.62230000,0
2025-05-02 00:00:00,360.80000000,362.20000000,359.10000000,362.00000000,1261.18100000,2025-05-02 00:29:59.999,454378.64170000,4962,714.69300000,257591.76620000,0
2025-05-02 00:30:00,362.10000000,363.90000000,361.20000000,362.20000000,984.61500000,2025-05-02 00:59:59.999,357127.78970000,2565,555.13600000,201378.69090000,0
2025-05-02 01:00:00,362.10000000,363.00000000,361.60000000,361.70000000,736.36600000,2025-05-02 01:29:59.999,266675.45810000,3080,484.84600000,175618.55940000,0
2025-05-02 01:30:00,361.70000000,368.50000000,359.90000000,366.40000000,4201.11500000,2025-05-02 01:59:59.999,1529638.57560000,9579,2298.81100000,836932.79480000,0
2025-05-02 02:00:00,366.40000000,369.90000000,364.80000000,369.30000000,1943.12100000,2025-05-02 02:29:59.999,715074.32440000,6386,991.11300000,364542.55540000,0
2025-05-02 02:30:00,369.30000000,370.30000000,368.60000000,369.20000000,1637.17400000,2025-05-02 02:59:59.999,604714.12930000,2743,1049.12000000,387511.01770000,0
2025-05-02 03:00:00,369.10000000,370.50000000,368.60000000,369.50000000,1589.14000000,2025-05-02 03:29:59.999,587093.84680000,2376,1180.33900000,436089.85960000,0
2025-05-02 03:30:00,369.50000000,370.70000000,368.50000000,368.70000000,1974.95500000,2025-05-02 03:59:59.999,730027.15010000,3732,1239.03400000,458108.08240000,0
2025-05-02 04:00:00,368.70000000,370.30000000,368.40000000,369.30000000,1554.21900000,2025-05-02 04:29:59.999,573729.01080000,4032,944.21300000,348491.41370000,0
2025-05-02 04:30:00,369.40000000,369.40000000,367.20000000,367.70000000,885.02200000,2025-05-02 04:59:59.999,325644.09100000,3241,246.72500000,90779.21700000,0
