datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-12 00:00:00,408.40000000,408.40000000,407.50000000,407.80000000,78.67100000,2025-05-12 00:04:59.999,32099.52270000,546,43.42600000,17718.62460000,0
2025-05-12 00:05:00,407.80000000,408.80000000,407.80000000,408.40000000,96.61400000,2025-05-12 00:09:59.999,39470.15820000,445,41.84200000,17090.61670000,0
2025-05-12 00:10:00,408.40000000,413.70000000,407.70000000,409.70000000,1151.09200000,2025-05-12 00:14:59.999,472496.90460000,1945,471.29300000,193503.13240000,0
2025-05-12 00:15:00,409.70000000,410.80000000,408.70000000,408.90000000,400.73900000,2025-05-12 00:19:59.999,164368.97120000,1151,171.08700000,70205.61680000,0
2025-05-12 00:20:00,408.90000000,409.50000000,408.10000000,408.40000000,92.24100000,2025-05-12 00:24:59.999,37711.00270000,566,33.99900000,13901.20960000,0
2025-05-12 00:25:00,408.50000000,409.90000000,408.50000000,409.90000000,170.60400000,2025-05-12 00:29:59.999,69835.83950000,680,89.09900000,36459.24620000,0
2025-05-12 00:30:00,410.00000000,411.70000000,410.00000000,410.80000000,205.05200000,2025-05-12 00:34:59.999,84303.38080000,953,90.51300000,37214.94300000,0
2025-05-12 00:35:00,410.80000000,411.50000000,409.70000000,409.80000000,291.14400000,2025-05-12 00:39:59.999,119543.93300000,970,82.80000000,34012.13120000,0
2025-05-12 00:40:00,409.90000000,410.10000000,408.70000000,408.70000000,121.57600000,2025-05-12 00:44:59.999,49778.61210000,451,34.62600000,14182.88510000,0
2025-05-12 00:45:00,408.60000000,409.80000000,408.10000000,409.50000000,166.59700000,2025-05-12 00:49:59.999,68164.90270000,461,118.81400000,48627.12530000,0
2025-05-12 00:50:00,409.50000000,410.20000000,409.00000000,410.10000000,97.08000000,2025-05-12 00:54:59.999,39759.58410000,380,51.90000000,21261.47180000,0
2025-05-12 00:55:00,410.20000000,410.60000000,410.10000000,410.40000000,88.62200000,2025-05-12 00:59:59.999,36359.78280000,311,23.11500000,9487.86140000,0
2025-05-12 01:00:00,410.50000000,411.20000000,410.10000000,410.70000000,92.41100000,2025-05-12 01:04:59.999,37961.04720000,417,24.63400000,10118.24450000,0
2025-05-12 01:05:00,410.80000000,412.80000000,410.80000000,412.70000000,334.95200000,2025-05-12 01:09:59.999,138019.74490000,1090,177.67300000,73200.59730000,0
2025-05-12 01:10:00,412.70000000,413.30000000,411.70000000,411.70000000,164.79800000,2025-05-12 01:14:59.999,67983.93920000,746,31.36600000,12945.44120000,0
2025-05-12 01:15:00,411.80000000,412.10000000,409.90000000,410.10000000,196.84000000,2025-05-12 01:19:59.999,80826.00760000,665,20.13100000,8270.52420000,0
2025-05-12 01:20:00,410.10000000,410.10000000,408.40000000,408.50000000,393.06800000,2025-05-12 01:24:59.999,160864.54510000,962,143.82800000,58886.78850000,0
2025-05-12 01:25:00,408.50000000,408.70000000,407.30000000,408.30000000,308.40800000,2025-05-12 01:29:59.999,125803.05180000,792,144.22500000,58844.14410000,0
2025-05-12 01:30:00,408.20000000,408.20000000,405.80000000,405.90000000,183.63700000,2025-05-12 01:34:59.999,74694.24320000,421,58.55500000,23817.82850000,0
2025-05-12 01:35:00,406.00000000,406.10000000,402.90000000,404.90000000,502.37900000,2025-05-12 01:39:59.999,202954.03560000,2150,255.10900000,103040.21170000,0
2025-05-12 01:40:00,405.00000000,406.00000000,404.60000000,406.00000000,543.19600000,2025-05-12 01:44:59.999,220066.83000000,1158,137.54500000,55742.26840000,0
2025-05-12 01:45:00,406.10000000,406.30000000,405.60000000,406.20000000,60.38700000,2025-05-12 01:49:59.999,24514.57910000,445,38.57700000,15663.19990000,0
2025-05-12 01:50:00,406.10000000,407.40000000,405.90000000,407.40000000,85.22600000,2025-05-12 01:54:59.999,34652.34150000,390,57.84500000,23518.11330000,0
2025-05-12 01:55:00,407.30000000,407.80000000,406.70000000,407.10000000,70.00800000,2025-05-12 01:59:59.999,28511.12330000,340,45.44000000,18501.19050000,0
2025-05-12 02:00:00,407.10000000,408.40000000,406.90000000,408.40000000,319.81200000,2025-05-12 02:04:59.999,130418.80870000,969,128.53400000,52413.24090000,0
2025-05-12 02:05:00,408.50000000,408.90000000,407.80000000,408.90000000,96.86300000,2025-05-12 02:09:59.999,39574.69130000,628,67.97700000,27778.30780000,0
2025-05-12 02:10:00,408.90000000,408.90000000,407.50000000,407.80000000,66.47300000,2025-05-12 02:14:59.999,27134.64460000,464,23.41300000,9564.57440000,0
2025-05-12 02:15:00,407.70000000,410.10000000,407.50000000,409.90000000,99.69700000,2025-05-12 02:19:59.999,40718.05170000,367,34.52100000,14119.52620000,0
2025-05-12 02:20:00,409.90000000,411.60000000,409.80000000,409.80000000,435.93100000,2025-05-12 02:24:59.999,179007.18330000,1005,219.53800000,90170.16930000,0
2025-05-12 02:25:00,409.80000000,409.90000000,408.80000000,409.20000000,230.78900000,2025-05-12 02:29:59.999,94459.94090000,477,19.71500000,8073.41320000,0
2025-05-12 02:30:00,409.20000000,411.00000000,409.20000000,410.40000000,131.58700000,2025-05-12 02:34:59.999,54004.44720000,604,80.40800000,33006.58330000,0
2025-05-12 02:35:00,410.30000000,410.40000000,409.50000000,409.90000000,58.14200000,2025-05-12 02:39:59.999,23837.60420000,343,20.26200000,8307.41200000,0
2025-05-12 02:40:00,409.80000000,409.80000000,408.80000000,409.20000000,40.00500000,2025-05-12 02:44:59.999,16372.13330000,360,22.57400000,9239.62770000,0
2025-05-12 02:45:00,409.20000000,410.40000000,408.80000000,408.90000000,90.34600000,2025-05-12 02:49:59.999,37041.18020000,477,51.49200000,21116.70370000,0
2025-05-12 02:50:00,408.80000000,409.10000000,408.10000000,408.70000000,38.72800000,2025-05-12 02:54:59.999,15822.26270000,287,19.47000000,7953.99530000,0
2025-05-12 02:55:00,408.80000000,409.10000000,407.40000000,409.10000000,95.16400000,2025-05-12 02:59:59.999,38853.05930000,384,19.42300000,7932.29600000,0
2025-05-12 03:00:00,409.10000000,409.10000000,406.60000000,407.00000000,306.89200000,2025-05-12 03:04:59.999,125013.18860000,982,103.01000000,41977.27140000,0
2025-05-12 03:05:00,406.90000000,406.90000000,405.80000000,406.60000000,208.59000000,2025-05-12 03:09:59.999,84750.82040000,769,111.82300000,45437.13090000,0
2025-05-12 03:10:00,406.60000000,407.90000000,405.90000000,407.50000000,167.48000000,2025-05-12 03:14:59.999,68127.83510000,562,101.20900000,41194.90910000,0
2025-05-12 03:15:00,407.50000000,408.80000000,406.70000000,408.70000000,108.64100000,2025-05-12 03:19:59.999,44330.73480000,542,77.29300000,31548.53160000,0
2025-05-12 03:20:00,408.70000000,411.00000000,408.50000000,409.60000000,366.30300000,2025-05-12 03:24:59.999,150123.20840000,868,217.74800000,89232.54840000,0
2025-05-12 03:25:00,409.60000000,410.50000000,408.80000000,409.20000000,255.38500000,2025-05-12 03:29:59.999,104572.12480000,671,105.25700000,43106.91200000,0
2025-05-12 03:30:00,409.10000000,409.70000000,409.00000000,409.60000000,127.11100000,2025-05-12 03:34:59.999,52032.06720000,648,71.32300000,29198.64670000,0
