datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,606.70000000,607.70000000,568.70000000,575.80000000,723114.09000000,2024-04-01 23:59:59.999,422232040.53970000,550127,335240.83600000,195706037.70810000,0
2024-04-02,575.80000000,578.20000000,546.30000000,551.40000000,998260.81400000,2024-04-02 23:59:59.999,557890803.73390000,619723,492854.58400000,275426760.23620000,0
2024-04-03,551.40000000,567.90000000,539.00000000,561.50000000,683925.23300000,2024-04-03 23:59:59.999,380450017.15630000,403926,344570.76300000,191753422.47730000,0
2024-04-04,561.60000000,597.60000000,560.80000000,585.50000000,879640.68000000,2024-04-04 23:59:59.999,513029443.18140000,573215,461868.58400000,269312881.60540000,0
2024-04-05,585.40000000,591.50000000,564.40000000,577.80000000,634206.61900000,2024-04-05 23:59:59.999,367049671.06990000,487996,305955.90400000,177073383.83470000,0
2024-04-06,577.80000000,591.30000000,575.10000000,585.40000000,226975.99600000,2024-04-06 23:59:59.999,132278897.61390000,224088,117560.10500000,68527939.58720000,0
2024-04-07,585.50000000,591.10000000,578.00000000,583.90000000,263849.21600000,2024-04-07 23:59:59.999,154585203.35970000,251758,134389.43600000,78735702.56650000,0
2024-04-08,583.80000000,601.10000000,577.70000000,586.40000000,483568.31200000,2024-04-08 23:59:59.999,285425656.26930000,439330,264174.24200000,155965427.26450000,0
2024-04-09,586.30000000,590.30000000,571.20000000,580.50000000,596275.79200000,2024-04-09 23:59:59.999,345991219.25870000,482272,290685.32300000,168702490.94610000,0
2024-04-10,580.40000000,610.60000000,573.40000000,609.70000000,816050.70000000,2024-04-10 23:59:59.999,483100690.56720000,590395,429234.13000000,254236844.90120000,0
2024-04-11,609.70000000,618.40000000,592.00000000,604.60000000,579678.19400000,2024-04-11 23:59:59.999,350892798.40080000,473253,299213.70100000,181290589.25990000,0
2024-04-12,604.60000000,634.50000000,571.00000000,595.60000000,1517722.65800000,2024-04-12 23:59:59.999,922093314.93890000,1060352,767444.37800000,467016131.48900000,0
