datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01 00:00:00,606.70000000,607.70000000,604.30000000,605.50000000,13122.15600000,2024-04-01 00:59:59.999,7951459.59110000,10593,6296.92200000,3815694.04980000,0
2024-04-01 01:00:00,605.60000000,606.30000000,603.60000000,604.30000000,15658.28800000,2024-04-01 01:59:59.999,9473828.88000000,11018,7711.24800000,4665541.46230000,0
2024-04-01 02:00:00,604.30000000,604.30000000,599.20000000,599.60000000,28015.87500000,2024-04-01 02:59:59.999,16855777.01690000,18089,9953.62500000,5988375.33720000,0
2024-04-01 03:00:00,599.60000000,600.30000000,596.40000000,597.60000000,33090.70900000,2024-04-01 03:59:59.999,19787071.53790000,17315,12796.55100000,7651511.97190000,0
2024-04-01 04:00:00,597.60000000,597.70000000,593.70000000,593.80000000,18467.54800000,2024-04-01 04:59:59.999,10999984.30840000,17432,7730.67700000,4605558.26490000,0
2024-04-01 05:00:00,593.70000000,594.80000000,572.20000000,579.90000000,96558.48300000,2024-04-01 05:59:59.999,56252164.71110000,69474,40615.34300000,23661364.83870000,0
2024-04-01 06:00:00,579.80000000,587.30000000,575.00000000,586.80000000,56651.61300000,2024-04-01 06:59:59.999,33072807.78560000,48324,27255.30500000,15922367.02190000,0
2024-04-01 07:00:00,586.90000000,589.20000000,585.60000000,586.60000000,30084.77300000,2024-04-01 07:59:59.999,17669622.97120000,27468,13472.10900000,7913743.65870000,0
2024-04-01 08:00:00,586.70000000,586.70000000,580.50000000,582.50000000,34715.27200000,2024-04-01 08:59:59.999,20233536.82800000,25003,16385.82300000,9548498.17620000,0
2024-04-01 09:00:00,582.50000000,586.00000000,582.40000000,583.20000000,14501.37000000,2024-04-01 09:59:59.999,8477586.93250000,14412,7121.53400000,4163639.32030000,0
2024-04-01 10:00:00,583.10000000,585.10000000,581.60000000,584.30000000,18927.12600000,2024-04-01 10:59:59.999,11039813.05370000,15360,9466.12700000,5521234.33860000,0
2024-04-01 11:00:00,584.30000000,587.60000000,584.00000000,585.10000000,18157.20600000,2024-04-01 11:59:59.999,10637695.46690000,17551,10305.78300000,6037709.27390000,0
2024-04-01 12:00:00,585.10000000,588.70000000,584.40000000,588.00000000,18597.84700000,2024-04-01 12:59:59.999,10912961.22900000,17005,11039.57200000,6476276.58870000,0
2024-04-01 13:00:00,588.00000000,593.50000000,586.00000000,590.90000000,31762.33700000,2024-04-01 13:59:59.999,18749045.52030000,32382,18271.40100000,10782647.17820000,0
2024-04-01 14:00:00,590.90000000,591.50000000,578.20000000,580.90000000,38860.72200000,2024-04-01 14:59:59.999,22697793.42170000,31796,16361.06400000,9555504.85230000,0
2024-04-01 15:00:00,580.90000000,583.40000000,572.60000000,574.00000000,94123.28800000,2024-04-01 15:59:59.999,54356612.54060000,53300,42859.36700000,24752998.20760000,0
