datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,606.70000000,607.70000000,539.00000000,583.90000000,4409972.64800000,2024-04-07 23:59:59.999,2527516076.65480000,3110833,2192440.21200000,1256536128.01540000,0
2024-04-08,583.80000000,634.50000000,508.00000000,566.40000000,6720412.13200000,2024-04-14 23:59:59.999,3908964925.82260000,5005514,3409129.28100000,1985439319.28550000,0
2024-04-15,566.40000000,585.50000000,512.60000000,579.60000000,3635111.53600000,2024-04-21 23:59:59.999,2000383923.17730000,2824692,1827997.47600000,1006623037.87950000,0
2024-04-22,579.60000000,618.50000000,578.40000000,600.20000000,3019437.92200000,2024-04-28 23:59:59.999,1822706027.46670000,2496957,1522772.95400000,919353913.82140000,0
2024-04-29,600.20000000,604.30000000,536.70000000,592.00000000,2846303.00400000,2024-05-05 23:59:59.999,1626200470.24910000,2085409,1428371.92800000,816032651.31650000,0
2024-05-06,592.00000000,605.80000000,574.40000000,594.80000000,2028136.31500000,2024-05-12 23:59:59.999,1198721043.27810000,1714017,1037604.52000000,613378311.00000000,0
2024-05-13,594.80000000,598.40000000,560.00000000,574.50000000,2205020.46300000,2024-05-19 23:59:59.999,1277598350.38470000,1851447,1079324.47100000,625747882.94650000,0
2024-05-20,574.60000000,631.40000000,568.80000000,600.20000000,3001820.64700000,2024-05-26 23:59:59.999,1816889283.87240000,2378414,1535713.93500000,929764093.28830000,0
2024-05-27,600.30000000,614.40000000,586.50000000,602.90000000,1475696.90400000,2024-06-02 23:59:59.999,884382122.04150000,1599874,746597.24500000,447579124.07340000,0
2024-06-03,602.80000000,721.80000000,601.20000000,673.00000000,3593516.91470000,2024-06-09 23:59:59.999,2422552201.33792800,2847742,1833618.89070000,1234083137.90621800,0
2024-06-10,673.10000000,674.80000000,590.00000000,610.80000000,2607672.10500000,2024-06-16 23:59:59.999,1612781373.93260000,3146269,1243492.86100000,768825942.57480000,0
