datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01 00:00:00,606.70000000,607.70000000,605.40000000,607.00000000,6536.94800000,2024-04-01 00:29:59.999,3964873.38260000,5136,3450.26800000,2092798.86820000,0
2024-04-01 00:30:00,607.00000000,607.10000000,604.30000000,605.50000000,6585.20800000,2024-04-01 00:59:59.999,3986586.20850000,5457,2846.65400000,1722895.18160000,0
2024-04-01 01:00:00,605.60000000,606.30000000,604.60000000,604.60000000,9144.56900000,2024-04-01 01:29:59.999,5537389.43920000,5979,4304.59900000,2606802.38110000,0
2024-04-01 01:30:00,604.60000000,605.50000000,603.60000000,604.30000000,6513.71900000,2024-04-01 01:59:59.999,3936439.44080000,5039,3406.64900000,2058739.08120000,0
2024-04-01 02:00:00,604.30000000,604.30000000,602.20000000,603.40000000,8493.47500000,2024-04-01 02:29:59.999,5122118.40420000,7078,3568.31000000,2151707.57250000,0
2024-04-01 02:30:00,603.40000000,603.60000000,599.20000000,599.60000000,19522.40000000,2024-04-01 02:59:59.999,11733658.61270000,11011,6385.31500000,3836667.76470000,0
2024-04-01 03:00:00,599.60000000,600.30000000,596.40000000,597.00000000,15065.51600000,2024-04-01 03:29:59.999,9012318.91120000,9909,6863.23900000,4105539.03750000,0
2024-04-01 03:30:00,597.00000000,599.00000000,596.50000000,597.60000000,18025.19300000,2024-04-01 03:59:59.999,10774752.62670000,7406,5933.31200000,3545972.93440000,0
2024-04-01 04:00:00,597.60000000,597.70000000,595.20000000,596.20000000,8403.56400000,2024-04-01 04:29:59.999,5012934.48150000,8846,3719.01800000,2218774.04680000,0
2024-04-01 04:30:00,596.20000000,596.20000000,593.70000000,593.80000000,10063.98400000,2024-04-01 04:59:59.999,5987049.82690000,8586,4011.65900000,2386784.21810000,0
2024-04-01 05:00:00,593.70000000,594.80000000,591.60000000,592.30000000,11423.73900000,2024-04-01 05:29:59.999,6780404.62130000,8774,5658.57300000,3359782.30250000,0
2024-04-01 05:30:00,592.30000000,592.40000000,572.20000000,579.90000000,85134.74400000,2024-04-01 05:59:59.999,49471760.08980000,60700,34956.77000000,20301582.53620000,0
2024-04-01 06:00:00,579.80000000,587.00000000,575.00000000,585.80000000,38802.36600000,2024-04-01 06:29:59.999,22613877.09510000,32364,18055.62000000,10531270.70170000,0
2024-04-01 06:30:00,585.90000000,587.30000000,584.40000000,586.80000000,17849.24700000,2024-04-01 06:59:59.999,10458930.69050000,15960,9199.68500000,5391096.32020000,0
2024-04-01 07:00:00,586.90000000,589.10000000,585.80000000,587.80000000,17604.70400000,2024-04-01 07:29:59.999,10340928.01430000,17730,6703.03100000,3937876.45570000,0
2024-04-01 07:30:00,587.90000000,589.20000000,585.60000000,586.60000000,12480.06900000,2024-04-01 07:59:59.999,7328694.95690000,9738,6769.07800000,3975867.20300000,0
