datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-12 00:00:00,104118.00000000,104635.48000000,104074.15000000,104587.31000000,864.57103000,2025-05-12 00:59:59.999,90270909.10502910,173525,403.79187000,42156122.36445380,0
2025-05-12 01:00:00,104587.31000000,105086.42000000,103764.50000000,103984.14000000,1894.48964000,2025-05-12 01:59:59.999,198136743.56601050,255244,1118.32115000,117028113.72615980,0
2025-05-12 02:00:00,103984.14000000,104204.08000000,103710.66000000,103885.72000000,712.35791000,2025-05-12 02:59:59.999,74076051.26572540,166692,353.07739000,36718631.47808350,0
2025-05-12 03:00:00,103885.73000000,104100.13000000,103702.15000000,104100.13000000,574.91027000,2025-05-12 03:59:59.999,59738181.97191410,89864,272.62000000,28327632.79643530,0
2025-05-12 04:00:00,104100.13000000,104164.77000000,103816.47000000,104072.70000000,450.99148000,2025-05-12 04:59:59.999,46909024.50120260,81161,226.06328000,23511530.64500440,0
2025-05-12 05:00:00,104072.70000000,104072.71000000,103750.00000000,103940.00000000,459.15467000,2025-05-12 05:59:59.999,47700425.89177380,75526,220.04728000,22858772.74401160,0
2025-05-12 06:00:00,103939.99000000,104411.58000000,103800.00000000,104384.80000000,502.82838000,2025-05-12 06:59:59.999,52393542.09289050,91455,337.93679000,35218407.31278530,0
2025-05-12 07:00:00,104384.81000000,105819.45000000,104152.84000000,104467.99000000,5543.61229000,2025-05-12 07:59:59.999,583015990.87586670,626827,3178.87923000,334450358.89226170,0
2025-05-12 08:00:00,104467.99000000,104736.45000000,104077.70000000,104614.04000000,1072.02345000,2025-05-12 08:59:59.999,111905888.56402070,194963,594.55986000,62069649.34210660,0
2025-05-12 09:00:00,104614.05000000,104682.68000000,104375.00000000,104459.34000000,890.19411000,2025-05-12 09:59:59.999,93014438.46202100,133091,528.53897000,55221618.12366460,0
2025-05-12 10:00:00,104459.33000000,104539.69000000,104150.00000000,104527.62000000,881.93559000,2025-05-12 10:59:59.999,92039790.55432160,152649,470.15031000,49067975.92087460,0
2025-05-12 11:00:00,104527.62000000,104628.00000000,103625.00000000,103762.90000000,1351.44930000,2025-05-12 11:59:59.999,140719295.62207950,182914,531.75423000,55373257.94218790,0
