datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-12 00:00:00,104118.00000000,104127.07000000,104096.21000000,104096.40000000,10.79578000,2025-05-12 00:00:59.999,1123972.06323610,2738,5.12642000,533709.78870920,0
2025-05-12 00:01:00,104096.40000000,104109.53000000,104074.15000000,104086.74000000,6.20638000,2025-05-12 00:01:59.999,646016.92856450,1695,2.32722000,242230.91941660,0
2025-05-12 00:02:00,104086.73000000,104160.00000000,104086.73000000,104160.00000000,14.53181000,2025-05-12 00:02:59.999,1513105.12778190,3277,10.62477000,1106299.20904400,0
2025-05-12 00:03:00,104159.99000000,104199.33000000,104144.35000000,104192.35000000,17.73907000,2025-05-12 00:03:59.999,1848059.08039740,3936,14.94219000,1556683.81994970,0
2025-05-12 00:04:00,104192.35000000,104193.99000000,104183.69000000,104192.71000000,4.54768000,2025-05-12 00:04:59.999,473826.47132680,928,2.04062000,212614.13866010,0
2025-05-12 00:05:00,104192.71000000,104245.80000000,104192.71000000,104238.09000000,13.00531000,2025-05-12 00:05:59.999,1355492.64088310,2745,10.48256000,1092531.71526130,0
2025-05-12 00:06:00,104238.09000000,104284.44000000,104238.09000000,104284.43000000,5.00314000,2025-05-12 00:06:59.999,521614.81970240,2618,3.89268000,405837.26329910,0
2025-05-12 00:07:00,104284.43000000,104288.78000000,104240.60000000,104251.52000000,22.55109000,2025-05-12 00:07:59.999,2351144.33384400,4408,10.87816000,1134084.49177790,0
2025-05-12 00:08:00,104251.52000000,104284.29000000,104206.82000000,104259.56000000,13.20913000,2025-05-12 00:08:59.999,1377119.35803180,3985,5.80966000,605658.33565620,0
2025-05-12 00:09:00,104259.56000000,104264.94000000,104214.93000000,104221.52000000,8.05062000,2025-05-12 00:09:59.999,839165.89591040,2111,5.27395000,549723.78276060,0
2025-05-12 00:10:00,104221.53000000,104240.00000000,104192.87000000,104196.91000000,7.58968000,2025-05-12 00:10:59.999,790943.46459070,2771,5.18165000,540001.95133400,0
2025-05-12 00:11:00,104196.92000000,104217.21000000,104154.79000000,104154.79000000,6.28484000,2025-05-12 00:11:59.999,654777.78116750,1514,2.44165000,254379.11882950,0
2025-05-12 00:12:00,104154.80000000,104216.22000000,104154.79000000,104216.21000000,9.01940000,2025-05-12 00:12:59.999,939755.94615000,2812,7.25176000,755553.20600080,0
2025-05-12 00:13:00,104216.21000000,104301.59000000,104202.42000000,104301.59000000,11.51620000,2025-05-12 00:13:59.999,1200560.73089920,4370,8.81879000,919421.49104670,0
2025-05-12 00:14:00,104301.59000000,104329.84000000,104301.59000000,104328.04000000,16.18740000,2025-05-12 00:14:59.999,1688688.15721730,1895,11.27650000,1176367.50556640,0
2025-05-12 00:15:00,104328.04000000,104405.46000000,104316.08000000,104405.45000000,12.40616000,2025-05-12 00:15:59.999,1294623.13713970,4584,8.93410000,932341.35621290,0
2025-05-12 00:16:00,104405.45000000,104450.00000000,104381.00000000,104428.57000000,18.65712000,2025-05-12 00:16:59.999,1948145.88310760,4699,12.22631000,1276682.30566040,0
2025-05-12 00:17:00,104428.57000000,104451.88000000,104400.07000000,104400.07000000,20.97406000,2025-05-12 00:17:59.999,2190484.06792800,1837,9.51856000,994134.15380180,0
2025-05-12 00:18:00,104400.08000000,104415.96000000,104400.00000000,104415.96000000,7.32852000,2025-05-12 00:18:59.999,765141.11967200,1560,2.94635000,307608.73490740,0
2025-05-12 00:19:00,104415.96000000,104469.23000000,104333.45000000,104340.76000000,15.66446000,2025-05-12 00:19:59.999,1635726.50373890,4199,10.99514000,1148204.24172590,0
2025-05-12 00:20:00,104340.76000000,104358.69000000,104313.44000000,104349.95000000,5.83339000,2025-05-12 00:20:59.999,608635.61773450,2335,3.05979000,319238.93421520,0
2025-05-12 00:21:00,104349.94000000,104354.59000000,104312.00000000,104354.58000000,9.17391000,2025-05-12 00:21:59.999,957117.85977710,2187,3.99772000,417093.58691780,0
