datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,71280.00000000,71288.23000000,64493.07000000,69360.39000000,274227.11488000,2024-04-07 23:59:59.999,18477347510.28266790,13071377,137376.98608000,9256104893.79039020,0
2024-04-08,69360.38000000,72797.99000000,60660.57000000,65661.84000000,348008.31904000,2024-04-14 23:59:59.999,23573044024.56446670,15848257,169274.11224000,11481850134.78266220,0
2024-04-15,65661.85000000,66867.07000000,59600.01000000,64941.15000000,312265.13225000,2024-04-21 23:59:59.999,19770016571.14473550,15339389,152952.96447000,9687789608.43411420,0
2024-04-22,64941.15000000,67232.35000000,62391.24000000,63118.62000000,183902.50753000,2024-04-28 23:59:59.999,11912668416.23044670,9139362,90443.89610000,5860998775.13026800,0
2024-04-29,63118.62000000,64734.00000000,56552.82000000,64012.00000000,298372.01720000,2024-05-05 23:59:59.999,18009828104.66185480,10777045,145587.92170000,8793267875.50492510,0
2024-05-06,64012.00000000,65500.00000000,60187.12000000,61483.99000000,179712.75232000,2024-05-12 23:59:59.999,11213593898.29106830,8443601,88178.37799000,5504860726.10495570,0
2024-05-13,61484.00000000,67700.00000000,60749.21000000,66274.01000000,195247.04901000,2024-05-19 23:59:59.999,12599942771.40405720,8173669,96881.08119000,6253259842.20443400,0
2024-05-20,66274.00000000,71979.00000000,66060.31000000,68507.67000000,220708.83749000,2024-05-26 23:59:59.999,15256004970.76810580,9860774,110525.62718000,7640848002.27269990,0
2024-05-27,68507.67000000,70687.56000000,66670.00000000,67765.63000000,158352.25614000,2024-06-02 23:59:59.999,10805470652.43242300,7801279,78329.25163000,5345551546.76324770,0
2024-06-03,67765.62000000,71997.02000000,67612.48000000,69648.14000000,165061.19141000,2024-06-09 23:59:59.999,11582063276.17858560,7269746,81703.96894000,5733397829.32965470,0
2024-06-10,69648.15000000,70195.94000000,65078.00000000,66676.87000000,174066.07718000,2024-06-16 23:59:59.999,11762729785.61039030,9048588,84978.33764000,5744292629.34633020,0
2024-06-17,66676.86000000,67298.81000000,63178.32000000,63210.01000000,155589.33133000,2024-06-23 23:59:59.999,10122248450.96032670,8573684,76186.19875000,4956904124.33064870,0
2024-06-24,63210.01000000,63369.80000000,58402.00000000,62772.01000000,177837.60164000,2024-06-30 23:59:59.999,10895644844.96841560,8998803,86936.64459000,5326794885.09915990,0
2024-07-01,62772.01000000,63861.76000000,53485.93000000,55857.81000000,251967.61048000,2024-07-07 23:59:59.999,14670868704.86308640,13582481,119972.05334000,6991926733.76952970,0
2024-07-08,55857.81000000,61420.69000000,54260.16000000,60797.91000000,190723.74928000,2024-07-14 23:59:59.999,11007710725.57499050,12556656,95407.63796000,5508873029.51569350,0
2024-07-15,60797.91000000,68366.66000000,60632.30000000,68165.34000000,205198.52303000,2024-07-21 23:59:59.999,13292211903.24701460,13153545,102827.87077000,6664473433.42329430,0
2024-07-22,68165.35000000,69399.99000000,63456.70000000,68249.88000000,177889.46168000,2024-07-28 23:59:59.999,11859803772.71989530,10470425,86526.94290000,5771975679.11671580,0
