datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-01 00:00:00,94172.00000000,95040.30000000,94130.43000000,94782.60000000,2877.43780000,2025-05-01 03:59:59.999,272640356.26561650,353264,1750.92805000,165924948.33881070,0
2025-05-01 04:00:00,94782.60000000,95180.00000000,94714.38000000,95025.84000000,1880.34885000,2025-05-01 07:59:59.999,178617836.15116230,225192,906.07052000,86071326.11754350,0
2025-05-01 08:00:00,95025.84000000,96396.31000000,94913.04000000,96180.01000000,4237.08588000,2025-05-01 11:59:59.999,406019531.39278880,477152,2504.92488000,240021312.75436690,0
2025-05-01 12:00:00,96180.01000000,97424.02000000,95769.66000000,96854.30000000,7399.49215000,2025-05-01 15:59:59.999,714263174.35051020,982427,3499.80115000,338093659.63535240,0
2025-05-01 16:00:00,96854.31000000,97367.26000000,96424.44000000,96523.26000000,3200.80242000,2025-05-01 19:59:59.999,310001362.56744030,513785,1423.93074000,137935994.58205090,0
2025-05-01 20:00:00,96523.26000000,96885.77000000,96184.19000000,96489.91000000,1785.28633000,2025-05-01 23:59:59.999,172315353.54574910,373896,840.21774000,81109957.43063910,0
2025-05-02 00:00:00,96489.90000000,97233.10000000,96466.21000000,97102.32000000,2134.18118000,2025-05-02 03:59:59.999,206858644.78092630,431883,1140.88853000,110555097.86533500,0
2025-05-02 04:00:00,97102.32000000,97309.78000000,96350.00000000,96350.00000000,2432.89056000,2025-05-02 07:59:59.999,235390194.16004510,347651,1119.22965000,108326319.75439530,0
2025-05-02 08:00:00,96350.01000000,97100.00000000,96350.00000000,96928.97000000,1860.27080000,2025-05-02 11:59:59.999,180012083.69636950,289089,978.24871000,94669795.48441240,0
2025-05-02 12:00:00,96928.97000000,97895.68000000,96650.94000000,97330.19000000,5047.18173000,2025-05-02 15:59:59.999,490735922.01620070,893008,2705.84713000,263139233.10234720,0
2025-05-02 16:00:00,97330.19000000,97783.02000000,96769.84000000,96924.23000000,2332.70775000,2025-05-02 19:59:59.999,227061138.68253140,514710,961.16141000,93553914.06115530,0
2025-05-02 20:00:00,96924.23000000,97136.00000000,96561.57000000,96887.14000000,1098.51609000,2025-05-02 23:59:59.999,106329668.24798450,221922,534.95988000,51778456.95697470,0
2025-05-03 00:00:00,96887.13000000,96935.67000000,96300.02000000,96337.50000000,2058.72462000,2025-05-03 03:59:59.999,198784328.94244190,206456,723.21385000,69854276.72432510,0
2025-05-03 04:00:00,96337.50000000,96593.00000000,96132.67000000,96322.68000000,1508.87428000,2025-05-03 07:59:59.999,145379043.82881700,186930,658.71544000,63465815.50514310,0
2025-05-03 08:00:00,96322.68000000,96421.91000000,95852.29000000,95942.02000000,2622.43769000,2025-05-03 11:59:59.999,252005021.02645370,243580,1025.05012000,98537310.80401290,0
2025-05-03 12:00:00,95942.01000000,96509.44000000,95880.65000000,96418.68000000,1447.96366000,2025-05-03 15:59:59.999,139288786.59677550,181434,690.06838000,66399060.59936900,0
2025-05-03 16:00:00,96418.68000000,96428.33000000,95869.68000000,96354.34000000,899.94616000,2025-05-03 19:59:59.999,86537419.99125640,188230,339.11193000,32606276.95119090,0
2025-05-03 20:00:00,96354.34000000,96441.49000000,95753.01000000,95856.42000000,1185.40197000,2025-05-03 23:59:59.999,113911544.57940530,174609,493.24518000,47408551.86027350,0
2025-05-04 00:00:00,95856.42000000,96304.48000000,95588.00000000,95722.23000000,1523.29654000,2025-05-04 03:59:59.999,146089548.94686050,359717,739.78812000,70928728.55131380,0
