datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,34.27000000,34.82000000,31.80000000,32.68000000,1720981.91000000,2024-04-01 23:59:59.999,57378831.77410000,118173,816544.53000000,27238399.43090000,0
2024-04-02,32.69000000,32.69000000,29.81000000,29.98000000,1960917.96000000,2024-04-02 23:59:59.999,60014330.16830000,130596,874925.59000000,26742023.37060000,0
2024-04-03,29.98000000,30.98000000,28.96000000,30.64000000,1123047.17000000,2024-04-03 23:59:59.999,34021891.62310000,72125,541739.76000000,16427273.65760000,0
2024-04-04,30.63000000,33.29000000,30.01000000,32.84000000,2085372.98000000,2024-04-04 23:59:59.999,66801532.83160000,143327,1062116.17000000,34011379.06590000,0
2024-04-05,32.84000000,34.08000000,31.60000000,33.10000000,2961813.40000000,2024-04-05 23:59:59.999,97797218.39810000,197029,1412173.12000000,46650797.34330000,0
2024-04-06,33.10000000,33.62000000,32.71000000,33.47000000,881253.59000000,2024-04-06 23:59:59.999,29181642.77500000,57659,419770.07000000,13902511.91600000,0
2024-04-07,33.47000000,34.78000000,33.19000000,33.88000000,1235045.07000000,2024-04-07 23:59:59.999,42042932.72060000,75872,617927.99000000,21040819.65250000,0
2024-04-08,33.87000000,35.92000000,33.10000000,35.65000000,1953787.02000000,2024-04-08 23:59:59.999,68519478.45890000,122167,1028538.56000000,36085164.27860000,0
2024-04-09,35.65000000,35.84000000,32.58000000,32.77000000,1793941.59000000,2024-04-09 23:59:59.999,61237071.85350000,131840,864606.64000000,29538050.15770000,0
2024-04-10,32.77000000,33.58000000,31.42000000,33.51000000,1791170.11000000,2024-04-10 23:59:59.999,58443076.57490000,114459,887138.56000000,28958017.43670000,0
2024-04-11,33.52000000,34.61000000,33.20000000,33.74000000,1347837.95000000,2024-04-11 23:59:59.999,45713965.11580000,93423,659676.27000000,22386112.87300000,0
2024-04-12,33.74000000,34.06000000,26.78000000,29.47000000,2843751.23000000,2024-04-12 23:59:59.999,86647018.39190000,217200,1332645.29000000,40562406.71370000,0
2024-04-13,29.46000000,29.90000000,22.69000000,25.48000000,4625725.67000000,2024-04-13 23:59:59.999,123018732.53620000,326512,2230706.35000000,59473762.66330000,0
2024-04-14,25.48000000,27.17000000,24.43000000,27.00000000,3986083.93000000,2024-04-14 23:59:59.999,102835621.21570000,229132,2159672.45000000,55736905.41220000,0
2024-04-15,27.00000000,28.24000000,25.44000000,26.44000000,2862978.63000000,2024-04-15 23:59:59.999,76976848.37730000,163787,1413227.52000000,38052974.40600000,0
2024-04-16,26.45000000,27.33000000,25.04000000,26.18000000,1755936.82000000,2024-04-16 23:59:59.999,45637444.81900000,96904,900385.69000000,23392602.89030000,0
2024-04-17,26.18000000,26.64000000,24.65000000,25.40000000,1323678.00000000,2024-04-17 23:59:59.999,33934224.81830000,79665,660269.76000000,16929234.67160000,0
2024-04-18,25.39000000,26.38000000,24.87000000,26.13000000,1305016.54000000,2024-04-18 23:59:59.999,33599397.86010000,84779,730413.82000000,18806167.59850000,0
2024-04-19,26.12000000,26.64000000,24.02000000,26.05000000,2127339.46000000,2024-04-19 23:59:59.999,54590125.19140000,108827,1082419.92000000,27797551.88480000,0
2024-04-20,26.04000000,28.18000000,25.79000000,27.89000000,1195186.39000000,2024-04-20 23:59:59.999,32302634.23290000,71806,560817.94000000,15154766.93420000,0
2024-04-21,27.89000000,28.32000000,27.05000000,27.46000000,781504.12000000,2024-04-21 23:59:59.999,21689019.56500000,44168,393211.93000000,10915821.99840000,0
2024-04-22,27.46000000,28.57000000,27.36000000,28.33000000,1091804.58000000,2024-04-22 23:59:59.999,30685669.57290000,55020,528472.01000000,14853133.74460000,0
2024-04-23,28.34000000,28.51000000,27.69000000,28.12000000,586653.05000000,2024-04-23 23:59:59.999,16486764.05430000,35191,280634.82000000,7888576.37910000,0
2024-04-24,28.11000000,28.47000000,26.07000000,26.37000000,1729289.59000000,2024-04-24 23:59:59.999,47453598.38860000,102370,971725.41000000,26682281.72530000,0
2024-04-25,26.38000000,26.94000000,25.75000000,26.45000000,1000466.07000000,2024-04-25 23:59:59.999,26249599.84880000,54219,505833.16000000,13273112.89070000,0
2024-04-26,26.45000000,28.03000000,25.93000000,27.11000000,1175241.76000000,2024-04-26 23:59:59.999,31745236.33200000,65384,585954.08000000,15825494.60740000,0
2024-04-27,27.11000000,28.25000000,26.20000000,27.85000000,1296211.45000000,2024-04-27 23:59:59.999,35154381.00730000,75986,653094.49000000,17722379.20130000,0
