datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,34.27000000,34.82000000,28.96000000,33.88000000,11968432.08000000,2024-04-07 23:59:59.999,387238380.29080000,794781,5745197.23000000,186013204.43680000,0
2024-04-08,33.87000000,35.92000000,22.69000000,27.00000000,18342297.50000000,2024-04-14 23:59:59.999,546414964.14690000,1234733,9162984.12000000,272740419.53520000,0
2024-04-15,27.00000000,28.32000000,24.02000000,27.46000000,11351639.96000000,2024-04-21 23:59:59.999,298729694.86400000,649936,5740746.58000000,151049120.38380000,0
2024-04-22,27.46000000,30.06000000,25.75000000,27.99000000,8932229.09000000,2024-04-28 23:59:59.999,247083197.88650000,507611,4566916.63000000,126337359.98310000,0
2024-04-29,28.00000000,28.52000000,23.97000000,27.67000000,8415594.88000000,2024-05-05 23:59:59.999,220284336.19360000,462555,4095545.59000000,107256553.78700000,0
2024-05-06,27.67000000,29.39000000,26.14000000,26.69000000,7725241.46000000,2024-05-12 23:59:59.999,212097683.35810000,425858,3724882.29000000,102339342.34120000,0
2024-05-13,26.70000000,29.14000000,25.19000000,27.58000000,6704855.88000000,2024-05-19 23:59:59.999,181701625.51510000,386684,3284078.71000000,88977975.17470000,0
2024-05-20,27.58000000,34.34000000,27.45000000,31.71000000,17017173.22000000,2024-05-26 23:59:59.999,539850237.88280000,1074801,8739521.81000000,277372154.87010000,0
2024-05-27,31.70000000,32.72000000,28.54000000,28.93000000,5778802.95000000,2024-06-02 23:59:59.999,176977040.26710000,362579,2678443.86000000,82096318.10320000,0
2024-06-03,28.93000000,30.03000000,25.07000000,26.97000000,6131134.74000000,2024-06-09 23:59:59.999,173310830.44430000,361337,3125918.52000000,88370652.19230000,0
2024-06-10,26.97000000,27.10000000,24.11000000,25.46000000,4658025.87000000,2024-06-16 23:59:59.999,119797082.05650000,337304,2207290.18000000,56832426.41290000,0
2024-06-17,25.47000000,25.55000000,21.16000000,22.66000000,6127959.27000000,2024-06-23 23:59:59.999,143898416.42720000,344628,2758698.23000000,64894642.19880000,0
2024-06-24,22.66000000,24.44000000,21.53000000,23.69000000,2862565.94000000,2024-06-30 23:59:59.999,66584507.44260000,203287,1368411.06000000,31864549.29010000,0
2024-07-01,23.69000000,24.09000000,18.17000000,19.76000000,5263872.23000000,2024-07-07 23:59:59.999,108763670.07900000,315114,2489232.66000000,51413090.27170000,0
2024-07-08,19.76000000,22.73000000,18.93000000,22.58000000,3297531.30000000,2024-07-14 23:59:59.999,69960435.63040000,235126,1681470.66000000,35697318.28420000,0
2024-07-15,22.57000000,24.35000000,22.51000000,24.16000000,3150097.23000000,2024-07-21 23:59:59.999,73762180.17980000,299922,1708003.40000000,40035505.51020000,0
2024-07-22,24.16000000,25.15000000,21.28000000,22.64000000,3700617.19000000,2024-07-28 23:59:59.999,86605054.07770000,296345,1806146.24000000,42370918.21880000,0
2024-07-29,22.64000000,23.56000000,18.27000000,18.92000000,3042283.77000000,2024-08-04 23:59:59.999,63546856.69900000,263410,1378217.70000000,28891666.55800000,0
2024-08-05,18.92000000,20.07000000,15.56000000,18.41000000,7026753.23000000,2024-08-11 23:59:59.999,126410672.51000000,521633,3241293.90000000,58495577.56590000,0
2024-08-12,18.41000000,19.29000000,18.23000000,18.57000000,2118541.93000000,2024-08-18 23:59:59.999,39932263.47130000,221950,1005702.83000000,18960696.65900000,0
2024-08-19,18.57000000,20.98000000,18.51000000,20.12000000,2361848.61000000,2024-08-25 23:59:59.999,46575393.51620000,294564,1220125.81000000,24048516.14790000,0
2024-08-26,20.11000000,20.25000000,17.46000000,17.62000000,1944332.18000000,2024-09-01 23:59:59.999,36308924.96740000,343783,887050.71000000,16583340.46910000,0
2024-09-02,17.62000000,18.42000000,16.73000000,17.94000000,2381583.06000000,2024-09-08 23:59:59.999,42006637.54710000,291172,1057352.87000000,18663442.48330000,0
2024-09-09,17.96000000,18.92000000,17.67000000,17.79000000,1770482.83000000,2024-09-15 23:59:59.999,32517691.20980000,208127,861249.08000000,15821503.65680000,0
2024-09-16,17.78000000,19.51000000,17.48000000,18.90000000,2465693.11000000,2024-09-22 23:59:59.999,45816939.22900000,210852,1321258.08000000,24619987.16400000,0
2024-09-23,18.90000000,21.07000000,18.53000000,20.43000000,3149511.24000000,2024-09-29 23:59:59.999,62844722.91310000,320040,1540582.24000000,30744208.37960000,0
2024-09-30,20.43000000,20.49000000,17.74000000,18.76000000,3397184.74000000,2024-10-06 23:59:59.999,63324498.75060000,408227,1532351.50000000,28572691.17950000,0
2024-10-07,18.75000000,19.14000000,17.88000000,18.55000000,1861053.03000000,2024-10-13 23:59:59.999,34467322.32570000,225282,860655.54000000,15935054.68890000,0
2024-10-14,18.55000000,20.36000000,18.38000000,20.20000000,2889105.05000000,2024-10-20 23:59:59.999,55996420.04380000,301064,1379922.90000000,26743431.88670000,0
2024-10-21,20.19000000,20.30000000,17.55000000,18.41000000,2848008.19000000,2024-10-27 23:59:59.999,54107082.50740000,350866,1333841.09000000,25412392.07120000,0
2024-10-28,18.41000000,19.82000000,17.37000000,17.80000000,2534654.61000000,2024-11-03 23:59:59.999,47393367.46120000,295869,1164883.17000000,21825442.12690000,0
2024-11-04,17.79000000,24.16000000,17.29000000,23.02000000,6504001.86000000,2024-11-10 23:59:59.999,136660414.97910000,592052,3215323.89000000,67527958.02280000,0
2024-11-11,23.02000000,30.42000000,21.17000000,25.84000000,19840632.80000000,2024-11-17 23:59:59.999,491308391.46680000,1658817,10055730.67000000,249314747.79950000,0
2024-11-18,25.84000000,31.34000000,24.62000000,28.84000000,14902486.88000000,2024-11-24 23:59:59.999,414057489.08370000,1156692,7306793.59000000,203152610.56350000,0
2024-11-25,28.85000000,34.00000000,27.38000000,33.32000000,16333979.72000000,2024-12-01 23:59:59.999,508681372.26880000,1635748,8427714.12000000,262101230.84740000,0
2024-12-02,33.31000000,39.97000000,30.95000000,37.08000000,25203338.00000000,2024-12-08 23:59:59.999,896872456.58360000,2744618,12076053.46000000,430609942.60880000,0
2024-12-09,37.09000000,37.10000000,27.95000000,33.79000000,17409245.26000000,2024-12-15 23:59:59.999,568337066.07800000,1598318,8399193.97000000,274043166.53270000,0
2024-12-16,33.79000000,35.16000000,23.49000000,25.98000000,13856162.26000000,2024-12-22 23:59:59.999,404605152.82860000,1158170,6605924.56000000,192666603.32770000,0
2024-12-23,25.98000000,28.44000000,25.27000000,25.54000000,5152724.04000000,2024-12-29 23:59:59.999,137991649.88970000,429550,2478788.56000000,66374652.33080000,0
