datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-12 00:00:00,2514.58000000,2522.00000000,2510.95000000,2520.85000000,6598.26590000,2025-05-12 00:14:59.999,16607722.19419200,47932,3450.99830000,8686742.05012300,0
2025-05-12 00:15:00,2520.86000000,2534.58000000,2516.27000000,2531.91000000,10080.68690000,2025-05-12 00:29:59.999,25468181.74209200,54151,5420.76370000,13697507.69750700,0
2025-05-12 00:30:00,2531.90000000,2545.73000000,2528.11000000,2529.02000000,10587.94240000,2025-05-12 00:44:59.999,26877711.08787100,76954,5291.85730000,13435416.14332700,0
2025-05-12 00:45:00,2529.03000000,2535.35000000,2522.61000000,2531.66000000,5767.35730000,2025-05-12 00:59:59.999,14589880.57419000,47972,2685.27030000,6793161.87635000,0
2025-05-12 01:00:00,2531.65000000,2548.85000000,2528.85000000,2536.76000000,10505.76740000,2025-05-12 01:14:59.999,26700723.88467500,66764,6376.40960000,16209929.75221200,0
2025-05-12 01:15:00,2536.76000000,2539.99000000,2512.61000000,2518.27000000,6999.60950000,2025-05-12 01:29:59.999,17663139.59013200,58751,2998.57230000,7567461.56832900,0
2025-05-12 01:30:00,2518.27000000,2518.72000000,2490.75000000,2509.65000000,10982.87550000,2025-05-12 01:44:59.999,27494766.27369700,79629,5432.32610000,13601091.83665100,0
2025-05-12 01:45:00,2509.64000000,2516.23000000,2504.27000000,2505.45000000,6251.23220000,2025-05-12 01:59:59.999,15688941.30692000,40922,2778.25590000,6972072.16648000,0
2025-05-12 02:00:00,2505.46000000,2515.59000000,2502.46000000,2508.85000000,4764.94550000,2025-05-12 02:14:59.999,11963457.99888700,48804,2157.66590000,5417984.56120800,0
2025-05-12 02:15:00,2508.85000000,2524.51000000,2504.28000000,2517.13000000,6380.52800000,2025-05-12 02:29:59.999,16055274.26200400,49375,3368.93260000,8478495.77236500,0
2025-05-12 02:30:00,2517.14000000,2535.53000000,2517.13000000,2522.13000000,8077.05670000,2025-05-12 02:44:59.999,20413042.69646300,53481,4203.27710000,10622702.62286800,0
2025-05-12 02:45:00,2522.13000000,2528.49000000,2512.00000000,2522.85000000,4710.03050000,2025-05-12 02:59:59.999,11868805.05941000,38518,2044.68320000,5152230.04534500,0
2025-05-12 03:00:00,2522.85000000,2522.85000000,2510.00000000,2516.28000000,4825.87530000,2025-05-12 03:14:59.999,12142167.05405800,36953,1676.32220000,4218300.28380100,0
2025-05-12 03:15:00,2516.29000000,2527.19000000,2510.64000000,2516.63000000,3710.14530000,2025-05-12 03:29:59.999,9347786.03451100,32648,1899.94250000,4787937.54272500,0
2025-05-12 03:30:00,2516.63000000,2520.78000000,2511.49000000,2514.31000000,4345.45560000,2025-05-12 03:44:59.999,10932591.38031800,38272,2108.47560000,5304726.23288300,0
2025-05-12 03:45:00,2514.30000000,2520.01000000,2511.32000000,2520.00000000,3201.26190000,2025-05-12 03:59:59.999,8058604.51579100,29327,2216.37820000,5580135.44253100,0
2025-05-12 04:00:00,2520.01000000,2525.50000000,2513.75000000,2523.62000000,3379.08810000,2025-05-12 04:14:59.999,8509469.28723500,32074,1679.03500000,4228522.96096600,0
2025-05-12 04:15:00,2523.62000000,2527.50000000,2508.97000000,2511.07000000,4395.92760000,2025-05-12 04:29:59.999,11073309.01800600,34594,1848.80750000,4659404.45007200,0
2025-05-12 04:30:00,2511.07000000,2516.25000000,2507.68000000,2513.34000000,4153.01070000,2025-05-12 04:44:59.999,10430783.67780000,35601,2251.60200000,5655241.15025100,0
2025-05-12 04:45:00,2513.34000000,2523.91000000,2510.20000000,2518.49000000,3704.88000000,2025-05-12 04:59:59.999,9329531.13313000,29976,2207.77200000,5560197.18247000,0
2025-05-12 05:00:00,2518.49000000,2521.40000000,2507.00000000,2509.67000000,3477.92050000,2025-05-12 05:14:59.999,8741769.93593200,27931,1114.57410000,2801786.08325800,0
2025-05-12 05:15:00,2509.67000000,2511.56000000,2497.24000000,2499.59000000,6414.38850000,2025-05-12 05:29:59.999,16052904.55192200,47373,2860.15640000,7157609.84667500,0
2025-05-12 05:30:00,2499.59000000,2504.74000000,2492.00000000,2502.18000000,4631.91560000,2025-05-12 05:44:59.999,11571509.37326800,40789,2117.40920000,5290247.63892200,0
2025-05-12 05:45:00,2502.18000000,2504.50000000,2493.27000000,2497.69000000,3983.06820000,2025-05-12 05:59:59.999,9951991.03239300,29090,1843.98120000,4608010.57948400,0
