datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,3645.29000000,3645.95000000,3413.71000000,3503.80000000,408854.12250000,2024-04-01 23:59:59.999,1437691729.03231400,1115133,195398.26160000,687310223.77546700,0
2024-04-02,3503.80000000,3505.60000000,3212.00000000,3278.96000000,623264.64760000,2024-04-02 23:59:59.999,2068004456.06282300,1581408,301656.62520000,1000777383.27724900,0
2024-04-03,3278.96000000,3367.40000000,3202.79000000,3310.83000000,410484.19330000,2024-04-03 23:59:59.999,1358993604.79861500,1113644,203085.14790000,672512688.07080700,0
2024-04-04,3310.83000000,3443.93000000,3250.92000000,3327.40000000,356338.57160000,2024-04-04 23:59:59.999,1187792289.21437100,965695,172474.35660000,575142238.42727000,0
2024-04-05,3327.39000000,3350.00000000,3210.00000000,3317.85000000,344556.79830000,2024-04-05 23:59:59.999,1132252495.88912400,854139,170435.77660000,560317623.71712600,0
2024-04-06,3317.85000000,3398.42000000,3306.68000000,3351.59000000,183312.21250000,2024-04-06 23:59:59.999,612681489.14895400,549985,88419.09800000,295511518.81945200,0
2024-04-07,3351.59000000,3459.94000000,3344.08000000,3454.20000000,210459.07520000,2024-04-07 23:59:59.999,715174110.57383500,748530,105736.65480000,359423500.72974000,0
2024-04-08,3454.20000000,3730.71000000,3406.36000000,3694.61000000,496841.35320000,2024-04-08 23:59:59.999,1787240600.80865700,1333378,278914.02330000,1002520506.69926300,0
2024-04-09,3694.61000000,3727.34000000,3450.46000000,3506.39000000,457592.25200000,2024-04-09 23:59:59.999,1643610851.75092000,1046479,220547.08930000,791949096.35967700,0
2024-04-10,3506.40000000,3562.95000000,3411.82000000,3545.64000000,389404.90550000,2024-04-10 23:59:59.999,1361401195.43178500,915957,192647.04400000,673705538.77826900,0
