datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-01 00:00:00,1793.62000000,1799.00000000,1792.52000000,1797.75000000,7155.80470000,2025-05-01 00:59:59.999,12850293.69530200,50691,3541.90970000,6360547.75438800,0
2025-05-01 01:00:00,1797.76000000,1810.55000000,1797.76000000,1809.91000000,14529.92680000,2025-05-01 01:59:59.999,26222799.01857100,72779,8844.39320000,15965987.47597300,0
2025-05-01 02:00:00,1809.92000000,1819.00000000,1805.30000000,1807.56000000,22553.02520000,2025-05-01 02:59:59.999,40888893.77419700,103884,11663.58160000,21149411.39605600,0
2025-05-01 03:00:00,1807.57000000,1814.19000000,1805.37000000,1807.99000000,10117.91320000,2025-05-01 03:59:59.999,18316399.86446900,62603,4561.19770000,8257792.66380400,0
2025-05-01 04:00:00,1807.99000000,1810.38000000,1804.00000000,1809.00000000,7083.25130000,2025-05-01 04:59:59.999,12804137.54157900,48762,3615.55090000,6535749.25762800,0
2025-05-01 05:00:00,1809.00000000,1816.90000000,1805.61000000,1813.65000000,11123.44690000,2025-05-01 05:59:59.999,20144972.73646000,55936,6385.98090000,11565957.82549200,0
2025-05-01 06:00:00,1813.64000000,1815.19000000,1805.14000000,1806.54000000,7165.92520000,2025-05-01 06:59:59.999,12967158.88812100,46376,3374.75980000,6106220.20649500,0
2025-05-01 07:00:00,1806.54000000,1814.77000000,1802.14000000,1810.60000000,9403.13680000,2025-05-01 07:59:59.999,17013650.11598500,49166,4445.74630000,8045887.30057900,0
2025-05-01 08:00:00,1810.59000000,1820.09000000,1808.80000000,1817.83000000,15753.10500000,2025-05-01 08:59:59.999,28599138.32717100,67211,9218.49610000,16738698.07294600,0
2025-05-01 09:00:00,1817.83000000,1824.52000000,1814.93000000,1817.53000000,18109.92700000,2025-05-01 09:59:59.999,32959506.69081300,79467,10006.27950000,18213548.91247100,0
2025-05-01 10:00:00,1817.53000000,1851.00000000,1817.52000000,1847.61000000,60681.56370000,2025-05-01 10:59:59.999,111505944.95240000,208182,36542.67330000,67150139.98765500,0
2025-05-01 11:00:00,1847.60000000,1859.23000000,1838.20000000,1845.58000000,42006.68040000,2025-05-01 11:59:59.999,77644856.68464800,157438,23290.38630000,43061959.75284800,0
2025-05-01 12:00:00,1845.58000000,1855.07000000,1841.92000000,1849.29000000,27600.06370000,2025-05-01 12:59:59.999,51013717.56132700,111310,14596.52340000,26974230.08283400,0
2025-05-01 13:00:00,1849.28000000,1851.69000000,1825.20000000,1826.83000000,54901.21640000,2025-05-01 13:59:59.999,100974132.89950300,219061,23800.77630000,43762326.15897400,0
2025-05-01 14:00:00,1826.84000000,1850.00000000,1826.84000000,1848.59000000,38928.61140000,2025-05-01 14:59:59.999,71550792.94404000,163795,19399.96270000,35661968.60581200,0
2025-05-01 15:00:00,1848.59000000,1873.17000000,1844.65000000,1852.99000000,85379.88470000,2025-05-01 15:59:59.999,158933217.07258500,248200,49302.32960000,91759324.06898000,0
2025-05-01 16:00:00,1853.00000000,1870.25000000,1852.22000000,1859.70000000,22021.63050000,2025-05-01 16:59:59.999,40980948.39795600,119193,12912.98060000,24030610.42041700,0
2025-05-01 17:00:00,1859.70000000,1864.88000000,1846.41000000,1856.11000000,18272.15280000,2025-05-01 17:59:59.999,33914141.33086400,109991,8359.66740000,15517412.73632000,0
2025-05-01 18:00:00,1856.11000000,1858.40000000,1847.75000000,1856.00000000,15835.44120000,2025-05-01 18:59:59.999,29346955.18853700,80543,7496.66380000,13893008.01539300,0
2025-05-01 19:00:00,1855.99000000,1856.09000000,1838.49000000,1842.82000000,15174.29330000,2025-05-01 19:59:59.999,28046825.21525600,85184,6989.85220000,12920095.67653000,0
2025-05-01 20:00:00,1842.89000000,1851.01000000,1836.94000000,1839.41000000,14097.36500000,2025-05-01 20:59:59.999,25984387.60114700,99257,6506.03070000,11993295.25238000,0
2025-05-01 21:00:00,1839.40000000,1849.31000000,1839.40000000,1843.79000000,6839.45940000,2025-05-01 21:59:59.999,12618526.25366100,45530,3797.25940000,7005440.92556100,0
2025-05-01 22:00:00,1843.80000000,1846.05000000,1837.60000000,1838.71000000,5904.16910000,2025-05-01 22:59:59.999,10873245.28458400,60100,2737.58200000,5041462.18421600,0
2025-05-01 23:00:00,1838.71000000,1840.94000000,1833.50000000,1838.11000000,6560.73540000,2025-05-01 23:59:59.999,12051953.78571600,54106,3143.55480000,5774441.52408100,0
2025-05-02 00:00:00,1838.10000000,1850.61000000,1835.10000000,1847.75000000,10975.92690000,2025-05-02 00:59:59.999,20228087.53198500,88306,6254.73420000,11527657.51151800,0
2025-05-02 01:00:00,1847.75000000,1851.30000000,1839.00000000,1842.72000000,10982.03170000,2025-05-02 01:59:59.999,20270103.89344700,86688,5160.94480000,9526836.44424700,0
2025-05-02 02:00:00,1842.71000000,1849.75000000,1839.20000000,1846.80000000,7337.37730000,2025-05-02 02:59:59.999,13541329.41519400,67654,3902.16170000,7200757.94912000,0
2025-05-02 03:00:00,1846.81000000,1850.77000000,1843.80000000,1847.74000000,7143.21870000,2025-05-02 03:59:59.999,13198432.21048500,59979,4077.25390000,7533179.32550600,0
2025-05-02 04:00:00,1847.74000000,1851.79000000,1839.40000000,1841.49000000,11583.47980000,2025-05-02 04:59:59.999,21373554.93070900,71464,6768.50820000,12490347.73431600,0
2025-05-02 05:00:00,1841.50000000,1844.20000000,1828.96000000,1832.10000000,20150.66200000,2025-05-02 05:59:59.999,36994278.18965100,81750,10355.27300000,19015854.47360800,0
2025-05-02 06:00:00,1832.10000000,1837.40000000,1828.48000000,1832.23000000,16923.69160000,2025-05-02 06:59:59.999,31018609.70579800,84783,7156.22950000,13115697.54035000,0
2025-05-02 07:00:00,1832.24000000,1832.24000000,1816.22000000,1816.32000000,28542.22030000,2025-05-02 07:59:59.999,52006330.11414700,126035,11578.70170000,21099292.22887700,0
2025-05-02 08:00:00,1816.33000000,1826.59000000,1813.00000000,1823.69000000,22376.36120000,2025-05-02 08:59:59.999,40696584.52877000,83342,13976.22870000,25412198.80489700,0
2025-05-02 09:00:00,1823.70000000,1827.30000000,1820.44000000,1820.68000000,10770.97610000,2025-05-02 09:59:59.999,19644744.48952200,51815,4359.65280000,7951561.60635900,0
2025-05-02 10:00:00,1820.68000000,1835.18000000,1820.68000000,1829.28000000,19467.50160000,2025-05-02 10:59:59.999,35595290.37845400,73810,11731.40890000,21452556.32167100,0
2025-05-02 11:00:00,1829.29000000,1835.53000000,1829.28000000,1833.39000000,11591.06460000,2025-05-02 11:59:59.999,21243721.12590900,52503,5152.43300000,9442125.99193800,0
2025-05-02 12:00:00,1833.39000000,1844.73000000,1823.34000000,1841.23000000,35038.55750000,2025-05-02 12:59:59.999,64299812.48238100,120802,17961.63210000,32968043.88209600,0
2025-05-02 13:00:00,1841.22000000,1842.53000000,1829.25000000,1833.82000000,22055.73870000,2025-05-02 13:59:59.999,40471353.14120000,121157,10181.22040000,18682298.76050000,0
2025-05-02 14:00:00,1833.82000000,1851.87000000,1833.82000000,1848.90000000,36068.89170000,2025-05-02 14:59:59.999,66539621.48627900,160672,21560.68430000,39770964.03604800,0
2025-05-02 15:00:00,1848.91000000,1854.50000000,1832.27000000,1841.12000000,22557.65980000,2025-05-02 15:59:59.999,41542612.75032400,119298,11584.21700000,21341023.81608600,0
2025-05-02 16:00:00,1841.11000000,1871.00000000,1841.11000000,1852.51000000,47047.98490000,2025-05-02 16:59:59.999,87504074.73738200,176205,26838.52870000,49920943.91404800,0
2025-05-02 17:00:00,1852.51000000,1853.50000000,1841.70000000,1852.35000000,15248.72940000,2025-05-02 17:59:59.999,28173171.24182400,90477,9155.75880000,16913644.19784600,0
2025-05-02 18:00:00,1852.36000000,1855.63000000,1845.10000000,1849.02000000,9396.11370000,2025-05-02 18:59:59.999,17399064.79990600,69101,4951.17720000,9168812.01405900,0
2025-05-02 19:00:00,1849.01000000,1850.85000000,1831.70000000,1839.68000000,14707.61150000,2025-05-02 19:59:59.999,27099912.75267500,86805,6517.43450000,12009080.23890800,0
2025-05-02 20:00:00,1839.68000000,1848.50000000,1835.65000000,1846.81000000,8167.11320000,2025-05-02 20:59:59.999,15057546.69515000,50092,4721.21780000,8705516.78898100,0
2025-05-02 21:00:00,1846.81000000,1846.81000000,1833.10000000,1837.54000000,8397.31040000,2025-05-02 21:59:59.999,15449830.30235300,38462,3569.47040000,6564951.55472200,0
2025-05-02 22:00:00,1837.54000000,1839.97000000,1832.49000000,1835.20000000,7737.47760000,2025-05-02 22:59:59.999,14204366.90630200,55910,3426.71040000,6291360.60967600,0
2025-05-02 23:00:00,1835.20000000,1842.72000000,1834.48000000,1842.20000000,6400.17480000,2025-05-02 23:59:59.999,11772160.50907400,45813,3262.12690000,5999212.29396800,0
2025-05-03 00:00:00,1842.20000000,1843.05000000,1836.20000000,1838.70000000,5360.34490000,2025-05-03 00:59:59.999,9863038.69089200,46716,2479.23010000,4562050.66721900,0
2025-05-03 01:00:00,1838.69000000,1840.50000000,1826.58000000,1829.00000000,10615.55800000,2025-05-03 01:59:59.999,19448272.95258500,60224,3539.26430000,6482047.95922600,0
2025-05-03 02:00:00,1829.00000000,1835.74000000,1828.73000000,1833.89000000,7846.75960000,2025-05-03 02:59:59.999,14380136.49301400,41958,4803.85450000,8802467.36837400,0
2025-05-03 03:00:00,1833.90000000,1837.99000000,1831.20000000,1834.80000000,4783.08330000,2025-05-03 03:59:59.999,8776014.14418600,38817,2274.01080000,4172566.24297000,0
2025-05-03 04:00:00,1834.80000000,1839.30000000,1833.80000000,1838.00000000,5000.67800000,2025-05-03 04:59:59.999,9184531.85512200,36174,2959.34110000,5434529.01274400,0
2025-05-03 05:00:00,1838.00000000,1838.50000000,1833.00000000,1833.19000000,3554.88050000,2025-05-03 05:59:59.999,6525535.97530900,23928,1818.16090000,3337603.24204100,0
2025-05-03 06:00:00,1833.18000000,1833.42000000,1824.60000000,1827.28000000,11042.97150000,2025-05-03 06:59:59.999,20184328.11554900,46886,4824.85440000,8818181.26488100,0
2025-05-03 07:00:00,1827.28000000,1829.89000000,1825.00000000,1826.41000000,6601.68650000,2025-05-03 07:59:59.999,12063084.81494600,31979,4065.48880000,7428305.38230300,0
2025-05-03 08:00:00,1826.41000000,1830.00000000,1822.32000000,1825.30000000,9124.90180000,2025-05-03 08:59:59.999,16659841.03844300,36796,5574.45150000,10177558.95693500,0
2025-05-03 09:00:00,1825.31000000,1828.41000000,1819.26000000,1827.40000000,10881.23930000,2025-05-03 09:59:59.999,19853609.35394500,43713,6037.99770000,11018465.98981000,0
2025-05-03 10:00:00,1827.40000000,1830.51000000,1817.63000000,1819.45000000,10716.46700000,2025-05-03 10:59:59.999,19559752.31537400,73368,5602.38680000,10227837.19500300,0
2025-05-03 11:00:00,1819.44000000,1826.37000000,1818.74000000,1824.10000000,8157.75290000,2025-05-03 11:59:59.999,14867232.31226900,44774,4406.61680000,8029525.69889100,0
2025-05-03 12:00:00,1824.10000000,1832.78000000,1823.74000000,1829.59000000,8992.82530000,2025-05-03 12:59:59.999,16448516.71368100,47954,4462.40830000,8161490.45491100,0
2025-05-03 13:00:00,1829.59000000,1836.90000000,1829.08000000,1835.20000000,9214.28420000,2025-05-03 13:59:59.999,16900049.01396600,42794,3681.29070000,6751473.29381600,0
2025-05-03 14:00:00,1835.19000000,1837.41000000,1831.59000000,1835.20000000,8904.71940000,2025-05-03 14:59:59.999,16338594.30916200,41383,4844.13770000,8889629.52616200,0
2025-05-03 15:00:00,1835.20000000,1840.12000000,1833.14000000,1834.53000000,8295.00920000,2025-05-03 15:59:59.999,15238334.17382900,41172,3652.96920000,6710949.17667900,0
2025-05-03 16:00:00,1834.53000000,1835.29000000,1823.42000000,1827.11000000,9057.73690000,2025-05-03 16:59:59.999,16568352.49133600,55133,3580.92660000,6550988.68097400,0
2025-05-03 17:00:00,1827.11000000,1827.56000000,1810.00000000,1824.00000000,22154.11260000,2025-05-03 17:59:59.999,40263269.67458600,104646,9533.23350000,17324834.94096400,0
2025-05-03 18:00:00,1824.00000000,1830.95000000,1822.61000000,1825.93000000,8347.57010000,2025-05-03 18:59:59.999,15249061.00298900,43910,4240.97670000,7747168.21225100,0
2025-05-03 19:00:00,1825.92000000,1839.20000000,1824.61000000,1838.21000000,8091.03850000,2025-05-03 19:59:59.999,14841374.97637300,47769,4070.26760000,7467087.58965900,0
2025-05-03 20:00:00,1838.21000000,1839.67000000,1834.65000000,1838.68000000,5463.15610000,2025-05-03 20:59:59.999,10037900.94903300,37454,2233.24870000,4103342.17685700,0
2025-05-03 21:00:00,1838.68000000,1848.60000000,1836.23000000,1841.10000000,11827.70420000,2025-05-03 21:59:59.999,21799044.22351800,51799,5494.19580000,10125841.87704200,0
2025-05-03 22:00:00,1841.10000000,1845.54000000,1835.78000000,1842.84000000,7970.77620000,2025-05-03 22:59:59.999,14666287.20005900,39533,3892.97210000,7161788.75288300,0
2025-05-03 23:00:00,1842.84000000,1843.37000000,1828.40000000,1833.52000000,11746.34190000,2025-05-03 23:59:59.999,21551273.54189100,56839,4264.93570000,7824637.54858600,0
2025-05-04 00:00:00,1833.52000000,1842.00000000,1830.00000000,1836.60000000,10037.87240000,2025-05-04 00:59:59.999,18436251.77086100,64232,5236.73450000,9618211.25565900,0
2025-05-04 01:00:00,1836.59000000,1841.08000000,1829.31000000,1837.54000000,9602.17040000,2025-05-04 01:59:59.999,17628673.22539600,58553,4745.50480000,8713755.29567900,0
2025-05-04 02:00:00,1837.53000000,1849.60000000,1830.22000000,1834.15000000,11161.35700000,2025-05-04 02:59:59.999,20539053.72400700,98047,5517.99380000,10155528.44389400,0
