datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,3645.29000000,3645.95000000,3202.79000000,3454.20000000,2537269.62100000,2024-04-07 23:59:59.999,8512590174.72003600,6928534,1237205.92070000,4150995176.81711100,0
2024-04-08,3454.20000000,3730.71000000,2852.00000000,3155.11000000,4111856.88350000,2024-04-14 23:59:59.999,13628708835.82950600,9327819,2022339.16370000,6714560664.89637800,0
2024-04-15,3155.11000000,3277.85000000,2865.18000000,3147.67000000,3082901.56690000,2024-04-21 23:59:59.999,9470667441.47688600,8564490,1547036.45670000,4752691551.99328600,0
2024-04-22,3147.66000000,3357.40000000,3066.74000000,3263.45000000,2171496.93070000,2024-04-28 23:59:59.999,6935610810.16296800,5945819,1120204.42670000,3578231811.44768400,0
2024-04-29,3263.44000000,3286.95000000,2817.00000000,3136.41000000,2745302.32830000,2024-05-05 23:59:59.999,8346598802.82668800,6517059,1385650.49890000,4213021168.84495500,0
2024-05-06,3136.40000000,3221.40000000,2878.03000000,2929.29000000,1733118.16110000,2024-05-12 23:59:59.999,5234584515.65729700,4930615,840938.77140000,2541162672.59634200,0
2024-05-13,2929.30000000,3146.98000000,2862.00000000,3071.19000000,2006314.86750000,2024-05-19 23:59:59.999,6004690659.15633600,4631174,986056.74620000,2950730096.87036800,0
2024-05-20,3071.20000000,3949.29000000,3047.67000000,3826.47000000,4432688.16280000,2024-05-26 23:59:59.999,16338483865.62290100,10813634,2233748.78720000,8228996685.94230400,0
2024-05-27,3826.47000000,3977.00000000,3702.58000000,3780.91000000,2008150.81320000,2024-06-02 23:59:59.999,7679253180.89615200,5221688,1009816.06230000,3861885625.17173200,0
2024-06-03,3780.92000000,3887.47000000,3600.00000000,3706.40000000,1598380.54360000,2024-06-09 23:59:59.999,6034179619.73421300,3934719,784550.73180000,2964470949.80779500,0
2024-06-10,3706.40000000,3713.67000000,3362.26000000,3624.41000000,2002012.37910000,2024-06-16 23:59:59.999,7087849909.85717800,4639534,977380.67740000,3460552735.81978500,0
2024-06-17,3624.41000000,3638.37000000,3355.00000000,3420.91000000,2029677.93770000,2024-06-23 23:59:59.999,7112323793.95352900,4694013,1008866.95620000,3535577209.97659800,0
2024-06-24,3420.91000000,3487.70000000,3240.00000000,3438.16000000,1642583.37630000,2024-06-30 23:59:59.999,5547126323.62766900,4783901,847716.59080000,2865027128.13621400,0
2024-07-01,3438.16000000,3524.94000000,2810.00000000,2931.00000000,2404392.04160000,2024-07-07 23:59:59.999,7498059619.35659700,9656515,1138904.00320000,3558581484.57447100,0
2024-07-08,2930.99000000,3268.72000000,2822.80000000,3245.08000000,1811337.98830000,2024-07-14 23:59:59.999,5573493038.89099600,8788382,917522.24460000,2825104727.79260800,0
2024-07-15,3245.20000000,3547.00000000,3233.22000000,3535.92000000,1896101.91830000,2024-07-21 23:59:59.999,6524810522.31550700,8595565,984163.90870000,3387055667.61355100,0
2024-07-22,3535.93000000,3562.82000000,3087.53000000,3270.16000000,2073949.17650000,2024-07-28 23:59:59.999,6911215081.86656100,8607676,1041042.88660000,3472587813.93256800,0
2024-07-29,3270.16000000,3396.77000000,2630.00000000,2688.92000000,2315109.23170000,2024-08-04 23:59:59.999,7129388578.98274100,11929086,1080067.46900000,3333251194.65422700,0
2024-08-05,2688.91000000,2724.10000000,2111.00000000,2555.38000000,5404357.43980000,2024-08-11 23:59:59.999,13153948177.47248300,18103693,2637870.90660000,6424329450.60458600,0
2024-08-12,2555.38000000,2780.00000000,2510.05000000,2612.15000000,2038545.33880000,2024-08-18 23:59:59.999,5386366733.82385600,9710387,1024670.26480000,2708811716.36736100,0
2024-08-19,2612.15000000,2820.00000000,2536.22000000,2746.13000000,1770389.37410000,2024-08-25 23:59:59.999,4723655770.48248800,8873541,889197.93590000,2373693267.60442800,0
2024-08-26,2746.12000000,2762.00000000,2392.96000000,2425.72000000,1972091.52640000,2024-09-01 23:59:59.999,5004467674.39841600,10876107,957964.22700000,2430044753.10172000,0
2024-09-02,2425.71000000,2564.83000000,2150.55000000,2297.30000000,2205410.41860000,2024-09-08 23:59:59.999,5206588826.16938100,11529653,1062961.31320000,2510941448.83753700,0
2024-09-09,2297.30000000,2464.82000000,2272.80000000,2316.10000000,1582774.64700000,2024-09-15 23:59:59.999,3729373125.16665200,8868423,762633.86700000,1797460807.25661200,0
2024-09-16,2316.09000000,2632.57000000,2252.39000000,2581.00000000,1934203.91780000,2024-09-22 23:59:59.999,4685733392.62897600,16068416,953504.19770000,2311459131.50015700,0
2024-09-23,2580.99000000,2728.60000000,2539.49000000,2657.62000000,1700523.16970000,2024-09-29 23:59:59.999,4498680076.50680700,16776038,844684.06870000,2235200713.85911300,0
2024-09-30,2657.62000000,2663.50000000,2310.00000000,2440.03000000,1866301.09600000,2024-10-06 23:59:59.999,4606589002.49064200,20406126,909034.48650000,2243574565.83760900,0
2024-10-07,2440.02000000,2521.00000000,2330.66000000,2468.91000000,1496864.65010000,2024-10-13 23:59:59.999,3643786014.98118700,14630516,744484.01220000,1812676295.50073700,0
2024-10-14,2468.92000000,2759.00000000,2443.39000000,2746.91000000,1988901.42050000,2024-10-20 23:59:59.999,5206160694.83030500,17633332,1007679.27500000,2638251873.77555200,0
2024-10-21,2746.91000000,2769.48000000,2382.59000000,2507.80000000,2121027.52610000,2024-10-27 23:59:59.999,5413040035.16948400,16638769,1033451.12120000,2638273248.79183400,0
2024-10-28,2507.80000000,2722.30000000,2411.00000000,2457.73000000,2528794.71420000,2024-11-03 23:59:59.999,6494533272.23644800,21041446,1238790.33540000,3184644172.38737100,0
2024-11-04,2457.73000000,3248.52000000,2357.59000000,3183.21000000,4332044.12160000,2024-11-10 23:59:59.999,12254283825.52621200,30927341,2221102.20080000,6288836074.86089100,0
2024-11-11,3183.20000000,3442.50000000,3014.50000000,3076.00000000,4891858.48230000,2024-11-17 23:59:59.999,15651514800.39769400,47864831,2422107.71940000,7752953425.43989000,0
2024-11-18,3075.99000000,3497.51000000,3029.41000000,3361.20000000,4422697.39450000,2024-11-24 23:59:59.999,14359951159.27903600,46122118,2261889.17660000,7342597031.75338000,0
2024-11-25,3361.21000000,3746.80000000,3252.00000000,3707.61000000,4295514.85050000,2024-12-01 23:59:59.999,15145348057.62744600,41481958,2198528.40050000,7758422472.22266100,0
2024-12-02,3707.61000000,4087.73000000,3500.00000000,4004.15000000,4669905.39120000,2024-12-08 23:59:59.999,17726491167.83058400,41015951,2402987.33260000,9115670799.78464900,0
2024-12-09,4004.15000000,4006.17000000,3509.00000000,3959.09000000,3822903.49750000,2024-12-15 23:59:59.999,14508040452.65661400,44163318,1897904.62890000,7205194261.85775500,0
2024-12-16,3959.09000000,4107.80000000,3101.90000000,3281.83000000,5094815.40580000,2024-12-22 23:59:59.999,18269374045.52080900,39242485,2429376.18910000,8730113669.24933800,0
2024-12-23,3281.83000000,3547.95000000,3216.97000000,3356.48000000,2008743.40210000,2024-12-29 23:59:59.999,6800837859.46738000,17222860,1019247.49170000,3450411064.24342800,0
2024-12-30,3356.48000000,3675.25000000,3305.00000000,3635.99000000,1971470.83740000,2025-01-05 23:59:59.999,6822460575.03992200,13600604,993130.26050000,3437253578.40796400,0
2025-01-06,3636.00000000,3744.83000000,3158.00000000,3267.30000000,2728455.89250000,2025-01-12 23:59:59.999,9209928045.90714900,19304463,1309783.53700000,4423914611.60277300,0
2025-01-13,3267.30000000,3525.72000000,2920.00000000,3215.12000000,4650735.56240000,2025-01-19 23:59:59.999,15205766897.58092900,26865610,2284440.02590000,7476388351.29750400,0
2025-01-20,3215.20000000,3453.69000000,3142.78000000,3232.61000000,3594143.09070000,2025-01-26 23:59:59.999,11857347989.50615300,22000631,1740507.76460000,5744462650.07145100,0
2025-01-27,3232.61000000,3437.31000000,2750.71000000,2869.68000000,3917894.04870000,2025-02-02 23:59:59.999,12298672037.76026800,26191788,1906661.84870000,5997017320.30567600,0
2025-02-03,2869.68000000,2921.00000000,2125.01000000,2627.18000000,6935945.71610000,2025-02-09 23:59:59.999,18570233463.34603700,30080201,3295945.69250000,8826851349.47640500,0
2025-02-10,2627.18000000,2795.45000000,2546.92000000,2661.41000000,2786533.34340000,2025-02-16 23:59:59.999,7434452424.12874400,18690482,1367196.71110000,3649719907.61338900,0
2025-02-17,2661.41000000,2857.34000000,2605.44000000,2819.69000000,3853924.81750000,2025-02-23 23:59:59.999,10527281955.20741100,21517690,1948472.63730000,5326118743.59341900,0
2025-02-24,2819.70000000,2839.95000000,2076.26000000,2518.11000000,6704218.92400000,2025-03-02 23:59:59.999,15867061335.79676900,34415210,3235100.44510000,7656547300.93859500,0
2025-03-03,2518.12000000,2523.56000000,1989.66000000,2020.41000000,5364278.66740000,2025-03-09 23:59:59.999,11684745412.53046300,26974335,2570732.91600000,5599490858.54588800,0
2025-03-10,2020.43000000,2152.40000000,1754.28000000,1887.00000000,4688568.54880000,2025-03-16 23:59:59.999,8968293090.22716300,20052703,2317784.80930000,4434448236.38061300,0
2025-03-17,1887.01000000,2069.90000000,1872.31000000,2005.99000000,2463197.07450000,2025-03-23 23:59:59.999,4853717930.17892900,10893128,1203096.04350000,2370608368.72185100,0
2025-03-24,2005.99000000,2104.11000000,1767.69000000,1807.74000000,2960069.09780000,2025-03-30 23:59:59.999,5815598225.19042000,11589219,1392977.83790000,2732441174.60515600,0
