datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01 00:00:00,3645.29000000,3645.95000000,3632.60000000,3634.01000000,5081.29850000,2024-04-01 00:29:59.999,18492614.48719300,15702,2440.39230000,8881526.18971800,0
2024-04-01 00:30:00,3634.01000000,3634.95000000,3614.60000000,3625.41000000,6984.15240000,2024-04-01 00:59:59.999,25307214.82733500,20109,3115.94960000,11289435.13605500,0
2024-04-01 01:00:00,3625.41000000,3627.00000000,3610.62000000,3612.20000000,4929.24810000,2024-04-01 01:29:59.999,17836057.62999300,14391,2314.85910000,8377880.34508600,0
2024-04-01 01:30:00,3612.20000000,3618.92000000,3606.26000000,3609.79000000,4401.56620000,2024-04-01 01:59:59.999,15897694.35673900,14889,2255.36220000,8145599.89467700,0
2024-04-01 02:00:00,3609.79000000,3613.21000000,3607.01000000,3608.36000000,3062.53810000,2024-04-01 02:29:59.999,11053812.72703800,10230,1459.35360000,5267242.92047000,0
2024-04-01 02:30:00,3608.35000000,3615.38000000,3606.06000000,3613.01000000,4048.73740000,2024-04-01 02:59:59.999,14620222.11546800,10919,2107.92160000,7612085.05408800,0
2024-04-01 03:00:00,3613.01000000,3616.15000000,3600.74000000,3601.99000000,3707.50330000,2024-04-01 03:29:59.999,13377520.50493200,11274,1928.73160000,6960032.87408700,0
2024-04-01 03:30:00,3602.00000000,3620.00000000,3600.77000000,3610.42000000,5113.59490000,2024-04-01 03:59:59.999,18453575.82666900,15771,3053.96760000,11017679.19639500,0
2024-04-01 04:00:00,3610.41000000,3613.30000000,3603.05000000,3607.80000000,3336.32400000,2024-04-01 04:29:59.999,12042053.40569300,13740,1539.04080000,5554658.77856400,0
2024-04-01 04:30:00,3607.79000000,3609.22000000,3600.00000000,3600.41000000,3334.77190000,2024-04-01 04:59:59.999,12021100.70166900,12774,1499.96350000,5407640.96422500,0
2024-04-01 05:00:00,3600.41000000,3605.90000000,3586.10000000,3591.59000000,8019.43300000,2024-04-01 05:29:59.999,28836292.27562600,25232,3826.52850000,13757805.89744500,0
2024-04-01 05:30:00,3591.59000000,3591.60000000,3500.00000000,3510.00000000,36513.72290000,2024-04-01 05:59:59.999,129022667.06822400,82790,16036.79530000,56648176.45600200,0
2024-04-01 06:00:00,3510.00000000,3539.29000000,3502.23000000,3532.40000000,20289.88290000,2024-04-01 06:29:59.999,71487974.29891200,43177,9663.26140000,34043054.48610100,0
