datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-01 00:00:00,1793.62000000,1819.00000000,1792.52000000,1807.99000000,54356.66990000,2025-05-01 03:59:59.999,98278386.35253900,289957,28611.08220000,51733739.29022100,0
2025-05-01 04:00:00,1807.99000000,1816.90000000,1802.14000000,1810.60000000,34775.76020000,2025-05-01 07:59:59.999,62929919.28214500,200240,17822.03790000,32253814.59019400,0
2025-05-01 08:00:00,1810.59000000,1859.23000000,1808.80000000,1845.58000000,136551.27610000,2025-05-01 11:59:59.999,250709446.65503200,512298,79057.83520000,145164346.72592000,0
2025-05-01 12:00:00,1845.58000000,1873.17000000,1825.20000000,1852.99000000,206809.77620000,2025-05-01 15:59:59.999,382471860.47745500,742366,107099.59200000,198157848.91660000,0
2025-05-01 16:00:00,1853.00000000,1870.25000000,1838.49000000,1842.82000000,71303.51780000,2025-05-01 19:59:59.999,132288870.13261300,394911,35759.16400000,66361126.84866000,0
2025-05-01 20:00:00,1842.89000000,1851.01000000,1833.50000000,1838.11000000,33401.72890000,2025-05-01 23:59:59.999,61528112.92510800,258993,16184.42690000,29814639.88623800,0
2025-05-02 00:00:00,1838.10000000,1851.30000000,1835.10000000,1847.74000000,36438.55460000,2025-05-02 03:59:59.999,67237953.05111100,302627,19395.09460000,35788431.23039100,0
2025-05-02 04:00:00,1847.74000000,1851.79000000,1816.22000000,1816.32000000,77200.05370000,2025-05-02 07:59:59.999,141392772.94030500,364032,35858.71240000,65721191.97715100,0
2025-05-02 08:00:00,1816.33000000,1835.53000000,1813.00000000,1833.39000000,64205.90350000,2025-05-02 11:59:59.999,117180340.52265500,261470,35219.72340000,64258442.72486500,0
2025-05-02 12:00:00,1833.39000000,1854.50000000,1823.34000000,1841.12000000,115720.84770000,2025-05-02 15:59:59.999,212853399.86018400,521929,61287.75380000,112762330.49473000,0
2025-05-02 16:00:00,1841.11000000,1871.00000000,1831.70000000,1839.68000000,86400.43950000,2025-05-02 19:59:59.999,160176223.53178700,422588,47462.89920000,88012480.36486100,0
2025-05-02 20:00:00,1839.68000000,1848.50000000,1832.49000000,1842.20000000,30702.07600000,2025-05-02 23:59:59.999,56483904.41287900,190277,14979.52550000,27561041.24734700,0
2025-05-03 00:00:00,1842.20000000,1843.05000000,1826.58000000,1834.80000000,28605.74580000,2025-05-03 03:59:59.999,52467462.28067700,187715,13096.35970000,24019132.23778900,0
2025-05-03 04:00:00,1834.80000000,1839.30000000,1824.60000000,1826.41000000,26200.21650000,2025-05-03 07:59:59.999,47957480.76092600,138967,13667.84520000,25018618.90196900,0
2025-05-03 08:00:00,1826.41000000,1830.51000000,1817.63000000,1824.10000000,38880.36100000,2025-05-03 11:59:59.999,70940435.02003100,198651,21621.45280000,39453387.84063900,0
2025-05-03 12:00:00,1824.10000000,1840.12000000,1823.74000000,1834.53000000,35406.83810000,2025-05-03 15:59:59.999,64925494.21063800,173303,16640.80590000,30513542.45156800,0
2025-05-03 16:00:00,1834.53000000,1839.20000000,1810.00000000,1838.21000000,47650.45810000,2025-05-03 19:59:59.999,86922058.14528400,251458,21425.40440000,39090079.42384800,0
2025-05-03 20:00:00,1838.21000000,1848.60000000,1828.40000000,1833.52000000,37007.97840000,2025-05-03 23:59:59.999,68054505.91450100,185625,15885.35230000,29215610.35536800,0
2025-05-04 00:00:00,1833.52000000,1849.60000000,1826.44000000,1831.89000000,37409.38940000,2025-05-04 03:59:59.999,68707207.48744700,284641,18763.54200000,34466340.26083100,0
2025-05-04 04:00:00,1831.89000000,1849.95000000,1829.66000000,1840.98000000,39293.29040000,2025-05-04 07:59:59.999,72383649.45902100,235535,21978.61100000,40488294.75741200,0
2025-05-04 08:00:00,1840.98000000,1841.34000000,1822.00000000,1827.60000000,41649.54150000,2025-05-04 11:59:59.999,76211070.71902100,233701,20851.20220000,38155308.66901200,0
2025-05-04 12:00:00,1827.61000000,1833.99000000,1818.57000000,1830.80000000,34143.72070000,2025-05-04 15:59:59.999,62434533.29748500,209484,15072.55060000,27565638.48153300,0
2025-05-04 16:00:00,1830.81000000,1833.49000000,1822.08000000,1828.40000000,26733.06320000,2025-05-04 19:59:59.999,48869084.66325200,182000,11347.80170000,20743811.07076200,0
2025-05-04 20:00:00,1828.40000000,1842.15000000,1803.00000000,1808.86000000,59025.35120000,2025-05-04 23:59:59.999,107394030.93912300,298635,27177.70400000,49459601.21587400,0
2025-05-05 00:00:00,1808.86000000,1818.49000000,1781.85000000,1794.51000000,86015.20420000,2025-05-05 03:59:59.999,154594412.01125200,412422,42741.27140000,76820380.90483400,0
2025-05-05 04:00:00,1794.50000000,1829.84000000,1792.82000000,1826.59000000,49441.43630000,2025-05-05 07:59:59.999,89639097.69593100,255916,28534.80700000,51730158.49058200,0
2025-05-05 08:00:00,1826.58000000,1831.55000000,1798.30000000,1804.63000000,57907.62300000,2025-05-05 11:59:59.999,105137809.64935300,286109,27475.44400000,49890149.69713300,0
2025-05-05 12:00:00,1804.64000000,1815.63000000,1794.47000000,1800.99000000,63242.58310000,2025-05-05 15:59:59.999,114088270.72183300,459228,32209.52610000,58109245.99959100,0
2025-05-05 16:00:00,1801.00000000,1828.50000000,1800.78000000,1816.44000000,43543.10020000,2025-05-05 19:59:59.999,79067781.47479900,293542,23024.45340000,41810868.29687600,0
2025-05-05 20:00:00,1816.44000000,1833.55000000,1799.52000000,1820.19000000,42191.06100000,2025-05-05 23:59:59.999,76782671.15183200,254038,20643.12710000,37585477.64100600,0
2025-05-06 00:00:00,1820.19000000,1820.90000000,1792.49000000,1806.35000000,48765.21870000,2025-05-06 03:59:59.999,88027458.87249700,302610,24544.30100000,44318596.96828900,0
2025-05-06 04:00:00,1806.35000000,1809.26000000,1797.78000000,1806.03000000,24102.54120000,2025-05-06 07:59:59.999,43493783.58151900,180479,11643.41960000,21012534.82142300,0
2025-05-06 08:00:00,1806.03000000,1806.10000000,1757.34000000,1769.92000000,79861.62900000,2025-05-06 11:59:59.999,142462392.00082900,417611,33626.49320000,60002085.75243700,0
2025-05-06 12:00:00,1769.92000000,1779.68000000,1752.00000000,1770.09000000,85715.84160000,2025-05-06 15:59:59.999,151603968.88248900,534611,44408.55930000,78558435.49073000,0
2025-05-06 16:00:00,1770.09000000,1798.80000000,1762.16000000,1784.79000000,59655.64480000,2025-05-06 19:59:59.999,106076060.57177000,429676,28417.35180000,50541385.74369300,0
2025-05-06 20:00:00,1784.80000000,1819.41000000,1765.50000000,1817.00000000,86483.36980000,2025-05-06 23:59:59.999,155386288.40478100,468054,45057.42120000,80979178.51006700,0
2025-05-07 00:00:00,1817.00000000,1850.00000000,1814.59000000,1826.48000000,125977.34630000,2025-05-07 03:59:59.999,231011937.61042800,522558,64814.24550000,118828381.47327500,0
2025-05-07 04:00:00,1826.48000000,1838.43000000,1824.57000000,1838.24000000,38011.04680000,2025-05-07 07:59:59.999,69568869.60210300,228951,20698.62560000,37881726.06845800,0
2025-05-07 08:00:00,1838.23000000,1847.05000000,1830.51000000,1836.35000000,56688.72970000,2025-05-07 11:59:59.999,104250611.34966500,249206,27213.93290000,50041868.39765100,0
2025-05-07 12:00:00,1836.35000000,1837.10000000,1814.29000000,1817.31000000,78534.18320000,2025-05-07 15:59:59.999,143420415.38976100,415412,42040.59540000,76777897.82457200,0
