datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,1.00340000,1.00760000,0.92600000,0.95080000,82372042.50000000,2024-04-01 23:59:59.999,78957959.90373000,188537,39652939.90000000,38003458.69460000,0
2024-04-02,0.95090000,0.95090000,0.88520000,0.90030000,82613281.90000000,2024-04-02 23:59:59.999,74920852.06361000,215524,39498591.20000000,35812791.75472000,0
2024-04-03,0.90040000,0.92330000,0.87380000,0.89500000,64770559.70000000,2024-04-03 23:59:59.999,58309366.03963000,190428,30665280.10000000,27610624.52726000,0
2024-04-04,0.89500000,0.92260000,0.87260000,0.90550000,52144080.90000000,2024-04-04 23:59:59.999,46893323.63511000,133382,25937109.10000000,23332292.37626000,0
2024-04-05,0.90550000,0.90910000,0.86000000,0.88390000,51831356.10000000,2024-04-05 23:59:59.999,45768030.31543000,121946,24792078.70000000,21895868.33365000,0
2024-04-06,0.88390000,0.90650000,0.88090000,0.89730000,37265198.60000000,2024-04-06 23:59:59.999,33323963.45155000,83036,17460773.50000000,15615525.47159000,0
2024-04-07,0.89710000,0.92500000,0.89380000,0.91140000,44548654.60000000,2024-04-07 23:59:59.999,40497560.50849000,89717,22392142.40000000,20353468.33493000,0
2024-04-08,0.91130000,0.94890000,0.89000000,0.94730000,66758841.50000000,2024-04-08 23:59:59.999,62007519.11291000,139276,33493659.60000000,31101333.15308000,0
2024-04-09,0.94740000,0.95020000,0.89350000,0.89740000,72834676.00000000,2024-04-09 23:59:59.999,67346556.99620000,154223,33905262.50000000,31349284.31567000,0
2024-04-10,0.89740000,0.90280000,0.85180000,0.88730000,80006737.60000000,2024-04-10 23:59:59.999,70394935.88471000,183069,40143297.10000000,35334811.00519000,0
2024-04-11,0.88730000,0.89610000,0.86100000,0.87800000,55339192.00000000,2024-04-11 23:59:59.999,48512914.94364000,109049,27749597.30000000,24324007.04766000,0
2024-04-12,0.87800000,0.89420000,0.72310000,0.76540000,178317788.10000000,2024-04-12 23:59:59.999,141113877.12051000,354074,87222273.70000000,69087293.87982000,0
2024-04-13,0.76540000,0.77250000,0.58850000,0.65300000,292760089.20000000,2024-04-13 23:59:59.999,200129049.30082000,542857,140472735.80000000,95915427.98214000,0
2024-04-14,0.65300000,0.71850000,0.63080000,0.71050000,173332152.60000000,2024-04-14 23:59:59.999,117253807.01179000,321003,86876501.40000000,58753727.10371000,0
2024-04-15,0.71060000,0.75190000,0.68340000,0.70780000,115096828.00000000,2024-04-15 23:59:59.999,82664886.30816000,219844,56116930.80000000,40315731.30790000,0
2024-04-16,0.70780000,0.73050000,0.67260000,0.70300000,86660006.10000000,2024-04-16 23:59:59.999,60503517.48451000,171038,42726530.80000000,29842767.48365000,0
