datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,1.00340000,1.00760000,0.86000000,0.91140000,415545174.30000000,2024-04-07 23:59:59.999,378671055.91755000,1022570,200398914.90000000,182624029.49301000,0
2024-04-08,0.91130000,0.95020000,0.58850000,0.71050000,919349477.00000000,2024-04-14 23:59:59.999,706758660.37058000,1803551,449863327.40000000,345865884.48727000,0
2024-04-15,0.71060000,0.75190000,0.61940000,0.71350000,607206764.60000000,2024-04-21 23:59:59.999,419974066.66216000,1094075,304763626.70000000,210715022.59858000,0
2024-04-22,0.71360000,0.76750000,0.68070000,0.72130000,435159412.60000000,2024-04-28 23:59:59.999,314694035.54693000,719418,221195705.90000000,160016345.91999000,0
2024-04-29,0.72140000,0.74210000,0.63220000,0.73360000,389082869.50000000,2024-05-05 23:59:59.999,270322575.89520000,674895,190956730.10000000,132833422.67510000,0
2024-05-06,0.73370000,0.77780000,0.66410000,0.67070000,329249920.80000000,2024-05-12 23:59:59.999,230605334.74678000,550271,162750549.90000000,113892141.08558000,0
2024-05-13,0.67070000,0.72200000,0.64200000,0.68300000,323909435.90000000,2024-05-19 23:59:59.999,220275083.49854000,539472,161763768.40000000,110039662.69665000,0
2024-05-20,0.68300000,0.75980000,0.67500000,0.71600000,507751078.70000000,2024-05-26 23:59:59.999,369238943.32689000,921300,254461632.30000000,185042519.03594000,0
2024-05-27,0.71600000,0.75100000,0.68150000,0.68960000,382339701.10000000,2024-06-02 23:59:59.999,274186675.46669000,707149,182364803.50000000,130853203.94347000,0
2024-06-03,0.68970000,0.74190000,0.61580000,0.65520000,341132992.30000000,2024-06-09 23:59:59.999,236390769.26183000,670030,168125141.40000000,116529647.37664000,0
2024-06-10,0.65520000,0.66800000,0.57010000,0.61950000,401341292.80000000,2024-06-16 23:59:59.999,249090285.17073000,675939,187958141.10000000,116710294.33429000,0
2024-06-17,0.61950000,0.62080000,0.51480000,0.56150000,397818672.70000000,2024-06-23 23:59:59.999,226097531.71458000,620236,190484321.80000000,108151520.43097000,0
2024-06-24,0.56140000,0.58000000,0.53290000,0.56100000,275349545.80000000,2024-06-30 23:59:59.999,153641085.82509000,450476,137856709.60000000,76934490.86935000,0
2024-07-01,0.56110000,0.57440000,0.42810000,0.47780000,492264320.00000000,2024-07-07 23:59:59.999,243329084.45409000,773436,233112373.80000000,115199929.95840000,0
2024-07-08,0.47790000,0.53620000,0.46000000,0.53080000,337133222.30000000,2024-07-14 23:59:59.999,170228636.63737000,579150,171274538.20000000,86548799.71369000,0
2024-07-15,0.53080000,0.56100000,0.50600000,0.54830000,417740031.90000000,2024-07-21 23:59:59.999,223675998.39543000,779732,217353043.60000000,116371947.52422000,0
2024-07-22,0.54840000,0.55810000,0.48130000,0.50860000,305805971.60000000,2024-07-28 23:59:59.999,160123296.02615000,621000,153941699.40000000,80598868.74139000,0
2024-07-29,0.50870000,0.53000000,0.40920000,0.42160000,398659579.60000000,2024-08-04 23:59:59.999,191533334.58611000,827245,199107132.70000000,95805300.59552000,0
2024-08-05,0.42150000,0.43780000,0.33420000,0.40300000,739130781.30000000,2024-08-11 23:59:59.999,286429792.23690000,1326911,359313521.70000000,139372629.18049000,0
2024-08-12,0.40300000,0.43290000,0.39210000,0.41160000,303744861.20000000,2024-08-18 23:59:59.999,125699178.66699000,697545,148989796.50000000,61625478.60658000,0
2024-08-19,0.41170000,0.58190000,0.40930000,0.52440000,749533526.20000000,2024-08-25 23:59:59.999,383389538.04706000,2383841,367981086.80000000,188201629.58352000,0
2024-08-26,0.52450000,0.52790000,0.39670000,0.40230000,634213943.00000000,2024-09-01 23:59:59.999,285880740.85825000,2176534,320843068.90000000,144548447.32488000,0
2024-09-02,0.40220000,0.41500000,0.35000000,0.37570000,444728266.20000000,2024-09-08 23:59:59.999,171965966.36458000,1039302,223159536.40000000,86488128.28577000,0
2024-09-09,0.37580000,0.38570000,0.37140000,0.37940000,57652199.20000000,2024-09-10 02:59:59.999,21826508.32572000,125322,29246688.00000000,11077478.42252000,0
