datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,3.68800000,3.69200000,3.38200000,3.49600000,16014729.62000000,2024-04-01 23:59:59.999,56288998.87353000,137701,7736145.98000000,27203448.07222000,0
2024-04-02,3.49600000,3.49600000,3.10300000,3.15600000,28353010.31000000,2024-04-02 23:59:59.999,91455667.42194000,173586,15435642.70000000,49751827.53506000,0
2024-04-03,3.15600000,3.23000000,3.02300000,3.05200000,19158118.24000000,2024-04-03 23:59:59.999,59997080.01792000,141730,9856514.37000000,30895821.04319000,0
2024-04-04,3.05200000,3.22700000,3.00000000,3.10500000,15300583.68000000,2024-04-04 23:59:59.999,47510835.97844000,85303,8093734.32000000,25139191.02963000,0
2024-04-05,3.10400000,3.10500000,2.86500000,2.87300000,20253294.68000000,2024-04-05 23:59:59.999,59772475.72406000,108670,10732299.72000000,31659899.23692000,0
2024-04-06,2.87400000,3.02900000,2.84800000,2.99300000,14289568.70000000,2024-04-06 23:59:59.999,42203417.50719000,66885,7465649.07000000,22044389.12654000,0
2024-04-07,2.99200000,3.20500000,2.98000000,3.19600000,14377356.45000000,2024-04-07 23:59:59.999,44175804.10444000,69766,7832967.96000000,24070965.65127000,0
2024-04-08,3.19600000,3.38000000,3.08300000,3.36500000,23401340.11000000,2024-04-08 23:59:59.999,75978951.61547000,118334,12084907.11000000,39232410.88556000,0
2024-04-09,3.36500000,3.41400000,3.02400000,3.04400000,22130080.49000000,2024-04-09 23:59:59.999,71255736.77474000,116186,10081988.73000000,32457308.68918000,0
2024-04-10,3.04400000,3.08600000,2.89500000,3.03600000,19370054.41000000,2024-04-10 23:59:59.999,58248496.38954000,102688,9884212.47000000,29738972.72364000,0
2024-04-11,3.03500000,3.11400000,2.92000000,2.93900000,16019945.51000000,2024-04-11 23:59:59.999,48113289.89422000,79338,8196014.19000000,24620698.01649000,0
2024-04-12,2.94000000,3.03700000,2.08000000,2.44800000,44956206.90000000,2024-04-12 23:59:59.999,117034459.39170000,271778,21788928.87000000,56932626.98044000,0
2024-04-13,2.44800000,2.45900000,1.80000000,2.11700000,70237662.15000000,2024-04-13 23:59:59.999,151755528.22318000,382833,35211840.90000000,76468422.23971000,0
2024-04-14,2.11800000,2.37200000,2.03900000,2.33000000,42077406.08000000,2024-04-14 23:59:59.999,93168271.46809000,245219,20893770.98000000,46333021.18329000,0
2024-04-15,2.33200000,2.43900000,2.19100000,2.26700000,38633599.17000000,2024-04-15 23:59:59.999,89934360.66503000,175118,19564578.52000000,45572235.47015000,0
2024-04-16,2.26600000,2.29300000,2.10600000,2.24300000,27895533.52000000,2024-04-16 23:59:59.999,61086796.62136000,123949,13428580.49000000,29433570.38563000,0
2024-04-17,2.24200000,2.27600000,2.07800000,2.16500000,18476380.24000000,2024-04-17 23:59:59.999,40260614.97112000,96695,9540237.03000000,20801469.01373000,0
2024-04-18,2.16500000,2.26800000,2.11700000,2.22500000,13265572.50000000,2024-04-18 23:59:59.999,29168747.85859000,70136,6747944.03000000,14856878.78051000,0
2024-04-19,2.22500000,2.32300000,2.04100000,2.23200000,25398414.15000000,2024-04-19 23:59:59.999,56184678.43460000,98507,12455684.97000000,27571276.74120000,0
2024-04-20,2.23200000,2.52500000,2.19900000,2.50500000,18218334.16000000,2024-04-20 23:59:59.999,43098584.57562000,70216,9252433.77000000,21916338.19093000,0
