datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,3.68800000,3.69200000,2.84800000,3.19600000,127746661.68000000,2024-04-07 23:59:59.999,401404279.62752000,783641,67152954.12000000,210765541.69483000,0
2024-04-08,3.19600000,3.41400000,1.80000000,2.33000000,238192695.65000000,2024-04-14 23:59:59.999,615554733.75694000,1316376,118141663.25000000,305783460.71831000,0
2024-04-15,2.33200000,2.53600000,2.04100000,2.44500000,153849315.52000000,2024-04-21 23:59:59.999,349179416.18956000,683679,76715762.07000000,174245389.66512000,0
2024-04-22,2.44400000,2.78600000,2.24600000,2.63400000,143519964.62000000,2024-04-28 23:59:59.999,363239017.56368000,627905,71462460.40000000,181108052.56596000,0
2024-04-29,2.63400000,3.04000000,2.27700000,2.90100000,210243203.72000000,2024-05-05 23:59:59.999,561327192.51700000,1131111,101296598.57000000,270268149.55568000,0
2024-05-06,2.90000000,2.99900000,2.47800000,2.52300000,68908968.47000000,2024-05-12 23:59:59.999,184787048.33395000,414901,33257145.38000000,89121817.83602000,0
2024-05-13,2.52400000,2.63300000,2.27500000,2.45200000,97830242.29000000,2024-05-19 23:59:59.999,241761315.11617000,480790,47638211.81000000,117961040.65613000,0
2024-05-20,2.45100000,3.02800000,2.41600000,2.53000000,251475240.52000000,2024-05-26 23:59:59.999,675054556.04248000,1246200,130457514.31000000,350541719.12700000,0
2024-05-27,2.53000000,2.64900000,2.34100000,2.37900000,118589571.40000000,2024-06-02 23:59:59.999,298774717.62106000,566964,58372901.87000000,147098316.37516000,0
2024-06-03,2.37900000,2.55900000,2.05500000,2.23100000,110960417.72000000,2024-06-09 23:59:59.999,261254189.53587000,536034,55691082.78000000,131094328.47909000,0
2024-06-10,2.23100000,2.24900000,1.89300000,2.09500000,122034394.40000000,2024-06-16 23:59:59.999,254290887.98209000,563663,62371139.66000000,129982314.54914000,0
2024-06-17,2.09400000,2.10300000,1.66000000,1.71200000,126482695.08000000,2024-06-23 23:59:59.999,236163380.62152000,592561,63382791.15000000,118331860.02061000,0
2024-06-24,1.71200000,1.84300000,1.61000000,1.80300000,88896362.20000000,2024-06-30 23:59:59.999,156327044.94699000,377186,44476260.84000000,78235108.72741000,0
2024-07-01,1.80400000,1.86800000,1.22200000,1.38200000,158990269.25000000,2024-07-07 23:59:59.999,233472740.74997000,568592,78792997.53000000,115335363.66793000,0
2024-07-08,1.38300000,1.82900000,1.31800000,1.80100000,116256818.39000000,2024-07-14 23:59:59.999,185604285.30268000,589310,57757055.51000000,92273389.52163000,0
2024-07-15,1.80000000,1.98300000,1.70700000,1.97300000,107959012.07000000,2024-07-21 23:59:59.999,198179499.04261000,655765,53789661.43000000,98772366.75946000,0
2024-07-22,1.97300000,1.98900000,1.62800000,1.70300000,69209692.89000000,2024-07-28 23:59:59.999,125306475.87342000,462872,33877076.81000000,61384193.16141000,0
2024-07-29,1.70300000,1.76900000,1.28600000,1.33000000,72551073.51000000,2024-08-04 23:59:59.999,110635632.54254000,446125,34955242.56000000,53373263.48040000,0
2024-08-05,1.33000000,1.48200000,1.06100000,1.30900000,149791935.70000000,2024-08-11 23:59:59.999,187773412.18553000,770046,72981467.21000000,91748948.21101000,0
2024-08-12,1.30900000,1.43000000,1.22400000,1.33500000,98340301.28000000,2024-08-18 23:59:59.999,130160724.19705000,653923,46811467.71000000,61993907.55722000,0
2024-08-19,1.33500000,1.64700000,1.30200000,1.55100000,78764450.47000000,2024-08-25 23:59:59.999,116153936.96457000,837568,38814697.01000000,57222519.87928000,0
2024-08-26,1.55100000,1.56600000,1.34600000,1.35700000,80233339.71000000,2024-09-01 23:59:59.999,115265993.19974000,1043238,37742126.50000000,54236294.58915000,0
2024-09-02,1.35700000,1.47300000,1.27100000,1.41800000,78796356.85000000,2024-09-08 23:59:59.999,107905623.99890000,826424,37024982.07000000,50694157.01126000,0
2024-09-09,1.41800000,1.63600000,1.41800000,1.47300000,64059903.79000000,2024-09-15 23:59:59.999,98729264.80037000,747234,29831215.12000000,45987183.59321000,0
2024-09-16,1.47300000,1.81000000,1.40800000,1.69000000,84878768.30000000,2024-09-22 23:59:59.999,134811630.99954000,847795,43154541.90000000,68576235.36218000,0
2024-09-23,1.69100000,1.94000000,1.59000000,1.90200000,86612216.19000000,2024-09-29 23:59:59.999,153563663.37432000,1546992,42400896.15000000,75193926.80401000,0
2024-09-30,1.90300000,1.92300000,1.47400000,1.68400000,96261238.65000000,2024-10-06 23:59:59.999,160458806.22001000,1804788,46938528.82000000,78134845.77306000,0
2024-10-07,1.68400000,1.75600000,1.48300000,1.71400000,75445589.36000000,2024-10-13 23:59:59.999,123515391.73413000,1298729,35357988.26000000,57966747.24190000,0
2024-10-14,1.71400000,1.82100000,1.65300000,1.81000000,63564136.24000000,2024-10-20 23:59:59.999,110455485.20976000,1173903,31237563.99000000,54304764.81853000,0
2024-10-21,1.81100000,1.83500000,1.49700000,1.59400000,75985668.82000000,2024-10-27 23:59:59.999,127166566.16953000,1096111,36893451.74000000,61713461.38644000,0
2024-10-28,1.59300000,1.80000000,1.35100000,1.43200000,86803435.85000000,2024-11-03 23:59:59.999,137287800.99531000,1022979,43847993.52000000,69367528.13834000,0
2024-11-04,1.43200000,1.73300000,1.29900000,1.64100000,184238429.44000000,2024-11-10 23:59:59.999,291084178.89278000,1360571,91241899.64000000,144128604.22715000,0
2024-11-11,1.64100000,1.86100000,1.47500000,1.67800000,328844474.14000000,2024-11-17 23:59:59.999,547231050.00462000,2791726,162764458.93000000,270999997.84058000,0
2024-11-18,1.67800000,2.35000000,1.60100000,2.20100000,370516329.08000000,2024-11-24 23:59:59.999,752673739.62985000,3840290,183465966.65000000,372480382.51559000,0
2024-11-25,2.20200000,2.62400000,2.10300000,2.46700000,268867066.27000000,2024-12-01 23:59:59.999,627022103.56047000,2076566,132811835.58000000,309857184.59019000,0
2024-12-02,2.46600000,2.77300000,2.28100000,2.67000000,281742399.74000000,2024-12-08 23:59:59.999,722687100.81544000,2202512,135362919.75000000,347101398.17369000,0
2024-12-09,2.67100000,2.69100000,2.00100000,2.53900000,263609306.49000000,2024-12-15 23:59:59.999,635859407.55160000,1883576,131983374.51000000,318418808.53189000,0
2024-12-16,2.53900000,2.63500000,1.61100000,1.76100000,261971267.18000000,2024-12-22 23:59:59.999,534190983.17465000,1434535,129267302.35000000,263344878.41590000,0
2024-12-23,1.76200000,1.98500000,1.70000000,1.80900000,127840003.93000000,2024-12-29 23:59:59.999,237251196.64761000,609705,62972632.17000000,116988312.73536000,0
2024-12-30,1.80900000,2.12000000,1.73400000,2.09400000,128824851.06000000,2025-01-05 23:59:59.999,245822915.20877000,564495,64213011.45000000,122466731.58921000,0
2025-01-06,2.09400000,2.18600000,1.70700000,1.78300000,104720993.35000000,2025-01-12 23:59:59.999,197849202.10767000,696625,49901475.32000000,94293772.89482000,0
2025-01-13,1.78300000,1.99900000,1.57800000,1.70700000,176783033.37000000,2025-01-19 23:59:59.999,319991431.58670000,1102100,86640391.45000000,156878270.41281000,0
2025-01-20,1.70700000,1.85600000,1.56000000,1.56200000,185529824.20000000,2025-01-26 23:59:59.999,318509694.98779000,1148268,91457665.58000000,157068230.72862000,0
2025-01-27,1.56200000,1.56200000,1.05100000,1.11700000,221413459.54000000,2025-02-02 23:59:59.999,301345416.48418000,1136595,110279752.20000000,150363234.12146000,0
