datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01 00:00:00,3.68800000,3.69200000,3.67500000,3.68000000,222947.59000000,2024-04-01 00:29:59.999,821061.25666000,1147,105317.54000000,387965.86734000,0
2024-04-01 00:30:00,3.67900000,3.68200000,3.65300000,3.66500000,299666.65000000,2024-04-01 00:59:59.999,1098012.08982000,1657,161755.82000000,592663.16226000,0
2024-04-01 01:00:00,3.66500000,3.67100000,3.63100000,3.63200000,229555.81000000,2024-04-01 01:29:59.999,837717.05530000,1610,101668.35000000,371194.84054000,0
2024-04-01 01:30:00,3.63200000,3.64200000,3.62300000,3.63600000,191363.75000000,2024-04-01 01:59:59.999,695239.04770000,1431,117615.64000000,427396.93335000,0
2024-04-01 02:00:00,3.63500000,3.64300000,3.62800000,3.63900000,156435.56000000,2024-04-01 02:29:59.999,568642.96312000,830,94489.34000000,343642.02863000,0
2024-04-01 02:30:00,3.63900000,3.65100000,3.63200000,3.64300000,115141.43000000,2024-04-01 02:59:59.999,419616.06964000,655,57448.14000000,209337.57330000,0
2024-04-01 03:00:00,3.64100000,3.64500000,3.62800000,3.63000000,236098.26000000,2024-04-01 03:29:59.999,858118.06223000,1849,130227.67000000,473260.80944000,0
2024-04-01 03:30:00,3.63000000,3.64200000,3.62100000,3.62900000,182586.15000000,2024-04-01 03:59:59.999,663153.52657000,1522,71813.23000000,260809.61917000,0
2024-04-01 04:00:00,3.62800000,3.63100000,3.60600000,3.61200000,243433.79000000,2024-04-01 04:29:59.999,881196.42046000,1482,119501.20000000,432694.73011000,0
2024-04-01 04:30:00,3.61200000,3.61600000,3.60100000,3.60200000,201277.69000000,2024-04-01 04:59:59.999,726171.14934000,1319,104985.64000000,378745.77650000,0
2024-04-01 05:00:00,3.60200000,3.61500000,3.58200000,3.58700000,315695.56000000,2024-04-01 05:29:59.999,1135172.01224000,2128,135294.54000000,486558.77527000,0
2024-04-01 05:30:00,3.58600000,3.59000000,3.43800000,3.47900000,3023987.41000000,2024-04-01 05:59:59.999,10599268.55825000,22216,1442483.43000000,5055396.48832000,0
2024-04-01 06:00:00,3.47600000,3.53200000,3.46500000,3.51800000,734410.63000000,2024-04-01 06:29:59.999,2573559.71397000,6793,374797.83000000,1313363.71753000,0
2024-04-01 06:30:00,3.51700000,3.53800000,3.51100000,3.52000000,346185.62000000,2024-04-01 06:59:59.999,1220625.43598000,2797,159367.28000000,562028.50117000,0
2024-04-01 07:00:00,3.51900000,3.53900000,3.51600000,3.53700000,237412.37000000,2024-04-01 07:29:59.999,838108.38404000,1666,115280.07000000,406945.41538000,0
2024-04-01 07:30:00,3.53700000,3.55800000,3.53200000,3.55000000,354647.55000000,2024-04-01 07:59:59.999,1257417.69486000,2204,182585.73000000,647326.94914000,0
2024-04-01 08:00:00,3.54900000,3.54900000,3.51200000,3.52200000,275614.74000000,2024-04-01 08:29:59.999,971866.17522000,2010,147376.58000000,519653.30108000,0
2024-04-01 08:30:00,3.52200000,3.53400000,3.50400000,3.51800000,285897.56000000,2024-04-01 08:59:59.999,1006647.97645000,1932,140173.28000000,493657.69141000,0
2024-04-01 09:00:00,3.51800000,3.55300000,3.51700000,3.53600000,363715.51000000,2024-04-01 09:29:59.999,1287651.80374000,2106,183096.13000000,648371.12985000,0
2024-04-01 09:30:00,3.53700000,3.55300000,3.52900000,3.53500000,199211.01000000,2024-04-01 09:59:59.999,705131.51399000,1426,85055.00000000,301065.45359000,0
2024-04-01 10:00:00,3.53500000,3.54300000,3.51500000,3.51600000,195251.39000000,2024-04-01 10:29:59.999,688323.78949000,1507,75605.21000000,266695.07033000,0
2024-04-01 10:30:00,3.51600000,3.54900000,3.51100000,3.54700000,153403.33000000,2024-04-01 10:59:59.999,542437.80736000,1171,85502.46000000,302278.09679000,0
2024-04-01 11:00:00,3.54700000,3.56600000,3.53900000,3.55700000,295360.06000000,2024-04-01 11:29:59.999,1050368.00641000,1728,154158.17000000,548232.95350000,0
2024-04-01 11:30:00,3.55700000,3.55700000,3.52700000,3.52800000,142710.08000000,2024-04-01 11:59:59.999,504916.55300000,1111,67697.18000000,239471.77375000,0
2024-04-01 12:00:00,3.52700000,3.55200000,3.52500000,3.55100000,203673.78000000,2024-04-01 12:29:59.999,721464.17130000,1225,88726.87000000,314270.06014000,0
2024-04-01 12:30:00,3.55000000,3.56300000,3.54600000,3.55700000,187670.11000000,2024-04-01 12:59:59.999,667143.08330000,1166,79224.19000000,281618.44544000,0
2024-04-01 13:00:00,3.55600000,3.56300000,3.53300000,3.56000000,170264.89000000,2024-04-01 13:29:59.999,604315.21135000,1792,61630.57000000,218805.76653000,0
2024-04-01 13:30:00,3.56000000,3.57700000,3.54600000,3.54700000,299466.15000000,2024-04-01 13:59:59.999,1067170.02715000,3660,155905.97000000,555607.82307000,0
2024-04-01 14:00:00,3.54700000,3.55800000,3.51900000,3.51900000,303624.02000000,2024-04-01 14:29:59.999,1074258.88055000,3660,141076.49000000,499504.72822000,0
2024-04-01 14:30:00,3.51900000,3.53100000,3.46600000,3.48700000,665605.67000000,2024-04-01 14:59:59.999,2326516.99907000,6119,296856.62000000,1037458.46150000,0
2024-04-01 15:00:00,3.48700000,3.50400000,3.43300000,3.48600000,1107227.80000000,2024-04-01 15:29:59.999,3834795.65361000,9625,541219.35000000,1874516.73163000,0
2024-04-01 15:30:00,3.48700000,3.48900000,3.42900000,3.43400000,509691.44000000,2024-04-01 15:59:59.999,1762544.58839000,4773,248269.45000000,858596.86430000,0
2024-04-01 16:00:00,3.43400000,3.46600000,3.42300000,3.46000000,594933.12000000,2024-04-01 16:29:59.999,2049405.87335000,5691,274086.05000000,944129.78860000,0
2024-04-01 16:30:00,3.46000000,3.46000000,3.42000000,3.42800000,535971.19000000,2024-04-01 16:59:59.999,1842619.71953000,5231,290234.09000000,997871.33700000,0
2024-04-01 17:00:00,3.42900000,3.43300000,3.41100000,3.42100000,268088.71000000,2024-04-01 17:29:59.999,917296.46827000,3829,146663.74000000,501906.26288000,0
2024-04-01 17:30:00,3.42000000,3.43200000,3.39900000,3.42500000,415798.54000000,2024-04-01 17:59:59.999,1420847.24334000,4240,138240.28000000,472472.35758000,0
2024-04-01 18:00:00,3.42500000,3.42500000,3.38200000,3.41600000,424007.47000000,2024-04-01 18:29:59.999,1443427.79011000,4268,179198.60000000,610331.38604000,0
2024-04-01 18:30:00,3.41600000,3.42700000,3.40000000,3.42700000,182822.78000000,2024-04-01 18:59:59.999,624419.21617000,2885,91620.90000000,313022.66506000,0
2024-04-01 19:00:00,3.42700000,3.46100000,3.42100000,3.45300000,188480.68000000,2024-04-01 19:29:59.999,650062.83764000,3228,82108.14000000,283056.42839000,0
2024-04-01 19:30:00,3.45300000,3.49400000,3.45000000,3.48800000,191804.71000000,2024-04-01 19:59:59.999,666605.48138000,3198,100281.18000000,348572.91706000,0
2024-04-01 20:00:00,3.48800000,3.49300000,3.47100000,3.47900000,121881.31000000,2024-04-01 20:29:59.999,423917.10310000,2675,47336.95000000,164644.94389000,0
2024-04-01 20:30:00,3.47900000,3.50100000,3.47400000,3.50100000,95614.05000000,2024-04-01 20:59:59.999,333386.90374000,2149,53143.63000000,185295.15782000,0
2024-04-01 21:00:00,3.50000000,3.50000000,3.48700000,3.49300000,91591.68000000,2024-04-01 21:29:59.999,319952.14482000,791,57528.51000000,200953.91413000,0
2024-04-01 21:30:00,3.49300000,3.50000000,3.47600000,3.48200000,67003.94000000,2024-04-01 21:59:59.999,233574.54471000,550,35985.77000000,125457.92390000,0
2024-04-01 22:00:00,3.48200000,3.49000000,3.47900000,3.48900000,75660.22000000,2024-04-01 22:29:59.999,263650.41640000,494,51256.66000000,178603.01918000,0
2024-04-01 22:30:00,3.49000000,3.49700000,3.48600000,3.48800000,94050.95000000,2024-04-01 22:59:59.999,328347.75690000,640,32129.15000000,112208.87167000,0
2024-04-01 23:00:00,3.48700000,3.51000000,3.48500000,3.50800000,113173.55000000,2024-04-01 23:29:59.999,396261.78031000,885,70967.78000000,248454.30054000,0
2024-04-01 23:30:00,3.50800000,3.50900000,3.49400000,3.49600000,104613.36000000,2024-04-01 23:59:59.999,366591.91320000,630,59159.58000000,207331.25990000,0
2024-04-02 00:00:00,3.49600000,3.49600000,3.47500000,3.48600000,87523.08000000,2024-04-02 00:29:59.999,305173.88855000,780,44346.58000000,154646.24771000,0
2024-04-02 00:30:00,3.48600000,3.48900000,3.45500000,3.47300000,173631.88000000,2024-04-02 00:59:59.999,602366.37855000,1280,75830.24000000,263189.87078000,0
2024-04-02 01:00:00,3.47400000,3.48800000,3.46500000,3.47700000,138161.19000000,2024-04-02 01:29:59.999,480307.71944000,980,79919.44000000,277807.10499000,0
2024-04-02 01:30:00,3.47800000,3.48100000,3.46700000,3.47400000,71449.90000000,2024-04-02 01:59:59.999,248228.25345000,565,33266.49000000,115586.58677000,0
2024-04-02 02:00:00,3.47300000,3.47300000,3.41300000,3.41300000,159697.56000000,2024-04-02 02:29:59.999,549352.88500000,1348,63805.02000000,219449.53280000,0
2024-04-02 02:30:00,3.41300000,3.42500000,3.21900000,3.33200000,2980272.75000000,2024-04-02 02:59:59.999,9878750.48089000,24844,1417186.73000000,4697509.27653000,0
2024-04-02 03:00:00,3.33200000,3.34800000,3.30400000,3.31700000,738549.06000000,2024-04-02 03:29:59.999,2455419.07637000,5260,368954.87000000,1226772.23337000,0
2024-04-02 03:30:00,3.31700000,3.32100000,3.29400000,3.31500000,493625.78000000,2024-04-02 03:59:59.999,1632086.78908000,2937,244375.25000000,807989.34351000,0
2024-04-02 04:00:00,3.31400000,3.32100000,3.28800000,3.31400000,611709.06000000,2024-04-02 04:29:59.999,2019679.13844000,4050,366926.95000000,1211568.87737000,0
2024-04-02 04:30:00,3.31300000,3.31800000,3.27600000,3.28500000,588313.34000000,2024-04-02 04:59:59.999,1940167.09148000,3350,313002.06000000,1032557.03748000,0
2024-04-02 05:00:00,3.28500000,3.28600000,3.24000000,3.24500000,1027020.00000000,2024-04-02 05:29:59.999,3349138.13726000,5588,704726.08000000,2297415.77011000,0
2024-04-02 05:30:00,3.24500000,3.27400000,3.23600000,3.27000000,719487.56000000,2024-04-02 05:59:59.999,2338400.33177000,4120,515983.20000000,1676776.67850000,0
2024-04-02 06:00:00,3.26900000,3.28700000,3.26700000,3.28300000,578112.40000000,2024-04-02 06:29:59.999,1896633.72307000,3221,348393.62000000,1143017.75999000,0
2024-04-02 06:30:00,3.28300000,3.30500000,3.27600000,3.29800000,273806.07000000,2024-04-02 06:59:59.999,902044.89772000,1879,167928.63000000,553154.45157000,0
2024-04-02 07:00:00,3.29800000,3.30200000,3.28800000,3.29500000,349787.95000000,2024-04-02 07:29:59.999,1152235.00417000,2037,176990.66000000,583293.86108000,0
2024-04-02 07:30:00,3.29600000,3.30700000,3.28400000,3.28500000,191087.77000000,2024-04-02 07:59:59.999,629336.61112000,1466,93232.84000000,307077.55777000,0
2024-04-02 08:00:00,3.28500000,3.29200000,3.25800000,3.27400000,185403.98000000,2024-04-02 08:29:59.999,606977.59764000,1376,103401.86000000,338513.54252000,0
2024-04-02 08:30:00,3.27600000,3.28100000,3.21000000,3.21600000,695898.44000000,2024-04-02 08:59:59.999,2255420.01787000,3894,264119.98000000,855368.63640000,0
2024-04-02 09:00:00,3.21400000,3.23500000,3.18300000,3.22500000,1382913.75000000,2024-04-02 09:29:59.999,4438848.63717000,6770,664656.57000000,2134065.11042000,0
2024-04-02 09:30:00,3.22400000,3.23400000,3.21100000,3.21900000,336115.88000000,2024-04-02 09:59:59.999,1083605.11813000,2302,200814.68000000,647382.24777000,0
2024-04-02 10:00:00,3.21700000,3.22000000,3.18700000,3.21700000,584845.75000000,2024-04-02 10:29:59.999,1872595.05095000,3533,277700.55000000,889199.39330000,0
