datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01,202.45000000,204.46000000,167.84000000,179.52000000,29029091.81000000,2024-04-07 23:59:59.999,5332048242.85560000,5793715,14299804.51000000,2628599450.83050000,0
2024-04-08,179.51000000,184.68000000,116.00000000,151.25000000,50222139.96000000,2024-04-14 23:59:59.999,7695432262.79310000,8245248,24765405.27000000,3800019865.26100000,0
2024-04-15,151.26000000,156.06000000,126.40000000,148.80000000,56139826.46000000,2024-04-21 23:59:59.999,7829460749.84140000,8855587,28375515.25000000,3959989353.00840000,0
2024-04-22,148.81000000,160.00000000,132.88000000,137.99000000,31501389.52000000,2024-04-28 23:59:59.999,4679779089.09330000,4953106,15790038.80000000,2345636358.24070000,0
2024-04-29,137.99000000,149.14000000,118.47000000,145.73000000,33493938.93600000,2024-05-05 23:59:59.999,4499878104.19105000,5377731,16826596.47900000,2261917117.88304000,0
2024-05-06,145.74000000,159.19000000,140.00000000,143.43000000,25283582.06100000,2024-05-12 23:59:59.999,3773603763.10155000,4610323,12604281.92800000,1882299528.25790000,0
2024-05-13,143.42000000,176.06000000,137.78000000,169.93000000,26551895.17400000,2024-05-19 23:59:59.999,4178110435.84858000,4660463,13576090.21900000,2137935709.15744000,0
2024-05-20,169.93000000,188.89000000,161.00000000,163.41000000,30147392.58500000,2024-05-26 23:59:59.999,5265092012.06102000,5623354,15449753.46500000,2698757034.51504000,0
2024-05-27,163.42000000,173.93000000,161.32000000,163.15000000,18626126.04100000,2024-06-02 23:59:59.999,3127444561.98698000,3505847,9241594.75700000,1552128377.05531000,0
2024-06-03,163.14000000,175.60000000,152.92000000,162.12000000,15953072.11100000,2024-06-09 23:59:59.999,2659495448.62108000,2862299,7870482.24600000,1312769062.24712000,0
2024-06-10,162.12000000,163.18000000,139.67000000,151.30000000,17768271.07800000,2024-06-16 23:59:59.999,2681305956.79825000,3650031,8760491.65900000,1322250161.81797000,0
2024-06-17,151.30000000,151.79000000,127.95000000,128.69000000,23137085.64700000,2024-06-23 23:59:59.999,3158548227.45352000,4373485,11446313.61300000,1562200729.42174000,0
2024-06-24,128.68000000,151.21000000,122.00000000,146.61000000,23396241.98200000,2024-06-30 23:59:59.999,3226551229.79949000,4403132,11738168.02000000,1619916098.52328000,0
2024-07-01,146.61000000,155.00000000,121.00000000,131.64000000,27610663.95500000,2024-07-07 23:59:59.999,3804049901.32239000,6962093,13621230.78500000,1879073075.10695000,0
2024-07-08,131.64000000,148.56000000,127.77000000,147.66000000,22420124.44600000,2024-07-14 23:59:59.999,3136415044.32154000,6452727,11318492.55800000,1584068817.97072000,0
2024-07-15,147.66000000,185.17000000,147.00000000,184.49000000,23260086.88700000,2024-07-21 23:59:59.999,3795073882.32133000,7808653,11554876.16400000,1885853398.09273000,0
2024-07-22,184.49000000,188.33000000,165.42000000,184.90000000,24396931.25700000,2024-07-28 23:59:59.999,4336641387.67146000,8419969,11950416.63200000,2125834561.22354000,0
2024-07-29,184.91000000,193.98000000,131.22000000,138.33000000,33909106.86100000,2024-08-04 23:59:59.999,5478457607.14010000,12307044,16644285.54600000,2684064561.69884000,0
2024-08-05,138.32000000,163.70000000,110.00000000,141.57000000,57758531.72100000,2024-08-11 23:59:59.999,8024153168.89659000,21947274,28472376.46300000,3961847003.06464000,0
2024-08-12,141.56000000,152.18000000,136.10000000,142.42000000,23917749.57600000,2024-08-18 23:59:59.999,3444738422.19045000,9207491,11772959.37200000,1696503499.78998000,0
2024-08-19,142.42000000,162.30000000,138.70000000,158.92000000,20456070.94000000,2024-08-25 23:59:59.999,3040287775.01764000,9000239,10220840.63500000,1521212112.61261000,0
2024-08-26,158.92000000,162.00000000,127.66000000,128.50000000,22358910.32500000,2024-09-01 23:59:59.999,3232395695.35243000,10520244,10819302.38100000,1563652030.18636000,0
2024-09-02,128.50000000,138.13000000,120.00000000,130.15000000,21927562.84100000,2024-09-08 23:59:59.999,2837925646.61792000,9427048,10627620.82000000,1376942276.29681000,0
2024-09-09,130.15000000,139.80000000,126.96000000,131.37000000,17344692.88800000,2024-09-15 23:59:59.999,2322969424.96338000,8040830,8603621.46100000,1152546252.07671000,0
2024-09-16,131.38000000,152.50000000,127.07000000,144.63000000,20487253.54300000,2024-09-22 23:59:59.999,2859628193.52109000,8691249,10227953.32300000,1427362783.12171000,0
2024-09-23,144.64000000,161.78000000,142.13000000,158.46000000,21878504.62800000,2024-09-29 23:59:59.999,3331768173.55033000,7814875,10977661.60600000,1672959826.90880000,0
2024-09-30,158.47000000,159.77000000,133.11000000,146.48000000,21796318.75800000,2024-10-06 23:59:59.999,3170217456.15665000,11576034,10753294.32200000,1562345463.13585000,0
2024-10-07,146.47000000,152.40000000,135.52000000,147.74000000,15338707.37100000,2024-10-13 23:59:59.999,2211708508.23111000,8035160,7504060.12500000,1082254783.29005000,0
2024-10-14,147.74000000,167.94000000,146.80000000,167.40000000,20632303.66300000,2024-10-20 23:59:59.999,3202258727.40872000,10061844,10451182.00000000,1623118981.31404000,0
2024-10-21,167.40000000,179.30000000,159.12000000,176.63000000,28661430.28900000,2024-10-27 23:59:59.999,4865551225.29293000,13478628,14565062.62500000,2474312465.46883000,0
2024-10-28,176.63000000,183.38000000,157.82000000,162.53000000,21152328.08800000,2024-11-03 23:59:59.999,3647297853.14356000,11753089,10285793.46600000,1775778019.33660000,0
2024-11-04,162.52000000,215.27000000,155.11000000,210.07000000,36984151.42200000,2024-11-10 23:59:59.999,7007018282.77223000,16769425,18777996.98300000,3561691680.31240000,0
2024-11-11,210.07000000,242.33000000,200.67000000,237.47000000,54138859.56200000,2024-11-17 23:59:59.999,11743379485.98631000,28886087,27273789.83800000,5919658102.79924000,0
2024-11-18,237.47000000,264.39000000,229.60000000,252.73000000,40806818.17700000,2024-11-24 23:59:59.999,10058979085.69175000,21366336,20543785.48500000,5064883240.68532000,0
2024-11-25,252.74000000,256.70000000,221.80000000,236.80000000,23819510.97900000,2024-12-01 23:59:59.999,5673311053.57699000,13621122,11800739.57500000,2811879916.93468000,0
2024-12-02,236.79000000,247.00000000,215.00000000,237.02000000,35438092.01700000,2024-12-08 23:59:59.999,8259706510.05830000,18875246,17813085.75900000,4153497731.32470000,0
2024-12-09,237.02000000,237.28000000,203.00000000,224.27000000,29833969.56400000,2024-12-15 23:59:59.999,6599172183.58642000,17814659,14876001.39100000,3291225528.94610000,0
2024-12-16,224.26000000,228.95000000,175.26000000,180.52000000,40620047.65500000,2024-12-22 23:59:59.999,8138480681.49576000,18629675,19687639.75100000,3945968796.82959000,0
2024-12-23,180.53000000,201.85000000,176.48000000,189.94000000,15932999.82000000,2024-12-29 23:59:59.999,3036784368.73139000,7998465,8112401.21400000,1546430054.19509000,0
2024-12-30,189.94000000,219.83000000,185.89000000,213.41000000,17053886.32500000,2025-01-05 23:59:59.999,3481274077.89077000,8334078,8716096.49300000,1778870871.63939000,0
2025-01-06,213.41000000,223.18000000,182.00000000,188.51000000,21829933.83800000,2025-01-12 23:59:59.999,4315704487.84196000,10376223,11025430.06800000,2183054597.35337000,0
2025-01-13,188.50000000,295.83000000,168.88000000,252.42000000,67294268.93200000,2025-01-19 23:59:59.999,15993478477.88283000,37143484,34207516.60100000,8138188869.37822000,0
2025-01-20,252.40000000,273.29000000,229.44000000,240.50000000,49734802.55100000,2025-01-26 23:59:59.999,12492077442.38958000,39429521,24651089.75700000,6194079948.32024000,0
2025-01-27,240.49000000,244.70000000,192.31000000,203.51000000,32632945.29000000,2025-02-02 23:59:59.999,7395058132.72160000,25323947,15754663.82900000,3577461442.59665000,0
2025-02-03,203.52000000,219.97000000,175.89000000,200.47000000,34233065.82100000,2025-02-09 23:59:59.999,6846150722.75885000,27287341,16762165.23100000,3355017462.60437000,0
2025-02-10,200.47000000,209.05000000,186.30000000,188.27000000,21667751.40400000,2025-02-16 23:59:59.999,4285833433.51911000,14236351,10619639.51200000,2102470206.72526000,0
2025-02-17,188.26000000,189.72000000,160.88000000,167.94000000,24502639.56600000,2025-02-23 23:59:59.999,4231986825.51549000,14897058,11791032.70100000,2035344915.37350000,0
2025-02-24,167.94000000,179.85000000,125.55000000,178.71000000,57102095.79500000,2025-03-02 23:59:59.999,8376194507.22596000,28665318,28216511.36800000,4149995910.32538000,0
2025-03-03,178.72000000,179.47000000,125.41000000,126.51000000,44145860.43600000,2025-03-09 23:59:59.999,6399199056.53472000,23959697,21474114.56800000,3113706111.31535000,0
