datetime,open,high,low,close,volume,close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-01 00:00:00,202.45000000,202.45000000,201.42000000,201.90000000,61991.96000000,2024-04-01 00:29:59.999,12515773.21670000,11932,30309.74000000,6119050.80220000,0
2024-04-01 00:30:00,201.89000000,202.07000000,200.82000000,201.99000000,52652.25000000,2024-04-01 00:59:59.999,10607153.61140000,10022,25340.83000000,5105728.35020000,0
2024-04-01 01:00:00,202.00000000,204.23000000,202.00000000,204.15000000,117539.72000000,2024-04-01 01:29:59.999,23877358.78480000,20530,74602.21000000,15158621.64000000,0
2024-04-01 01:30:00,204.15000000,204.46000000,201.93000000,203.10000000,97967.10000000,2024-04-01 01:59:59.999,19908559.77420000,20123,49407.88000000,10043294.16720000,0
2024-04-01 02:00:00,203.10000000,203.61000000,202.35000000,203.39000000,65980.29000000,2024-04-01 02:29:59.999,13393603.35550000,12732,33255.68000000,6750236.20990000,0
2024-04-01 02:30:00,203.38000000,203.47000000,202.38000000,202.67000000,40919.32000000,2024-04-01 02:59:59.999,8299759.23460000,8616,19131.87000000,3880527.79810000,0
2024-04-01 03:00:00,202.68000000,203.32000000,201.37000000,201.60000000,62698.03000000,2024-04-01 03:29:59.999,12687364.78820000,13267,27633.49000000,5593195.70830000,0
2024-04-01 03:30:00,201.59000000,203.00000000,201.35000000,202.58000000,50503.01000000,2024-04-01 03:59:59.999,10217511.54550000,10239,26269.07000000,5315621.20190000,0
2024-04-01 04:00:00,202.57000000,203.53000000,202.01000000,202.40000000,68890.73000000,2024-04-01 04:29:59.999,13980629.86630000,11495,38925.61000000,7899495.33100000,0
2024-04-01 04:30:00,202.41000000,203.30000000,199.82000000,201.08000000,120158.84000000,2024-04-01 04:59:59.999,24228598.27060000,17636,46688.68000000,9417815.86580000,0
2024-04-01 05:00:00,201.09000000,201.54000000,199.76000000,199.86000000,167428.19000000,2024-04-01 05:29:59.999,33572584.57130000,27659,74861.33000000,15010572.73330000,0
2024-04-01 05:30:00,199.85000000,199.90000000,193.25000000,194.74000000,411951.27000000,2024-04-01 05:59:59.999,80757722.96210000,81155,200645.60000000,39299205.99240000,0
2024-04-01 06:00:00,194.74000000,197.55000000,194.10000000,196.62000000,209951.27000000,2024-04-01 06:29:59.999,41149383.95820000,39944,106069.78000000,20784421.65410000,0
2024-04-01 06:30:00,196.62000000,198.44000000,196.10000000,198.21000000,123729.39000000,2024-04-01 06:59:59.999,24445789.17160000,23642,66853.11000000,13205103.22920000,0
2024-04-01 07:00:00,198.21000000,199.30000000,198.05000000,199.08000000,106118.68000000,2024-04-01 07:29:59.999,21088109.72480000,18193,41611.05000000,8270009.50140000,0
2024-04-01 07:30:00,199.08000000,199.19000000,197.77000000,197.96000000,72869.30000000,2024-04-01 07:59:59.999,14460230.27570000,13531,27474.68000000,5452666.97320000,0
2024-04-01 08:00:00,197.96000000,197.96000000,195.78000000,196.18000000,116044.86000000,2024-04-01 08:29:59.999,22825404.99380000,23307,53560.13000000,10534751.91770000,0
2024-04-01 08:30:00,196.18000000,197.30000000,195.31000000,196.45000000,85101.40000000,2024-04-01 08:59:59.999,16721825.45370000,18988,43649.39000000,8579081.44830000,0
2024-04-01 09:00:00,196.46000000,198.00000000,196.41000000,197.46000000,63509.53000000,2024-04-01 09:29:59.999,12537236.91280000,15679,34400.38000000,6789390.75730000,0
2024-04-01 09:30:00,197.46000000,197.87000000,196.67000000,196.67000000,43725.52000000,2024-04-01 09:59:59.999,8630161.27710000,12483,22270.49000000,4396572.97640000,0
