hour,avg_vol,freq
0,8431.014807692309,1w
0,3095.17098630137,1d
0,1170.6668219178086,4h
4,894.5840547945207,4h
8,922.1758904109588,4h
12,1586.570301369863,4h
16,1403.1267945205477,4h
20,1180.041346153846,4h
0,582.9940821917808,1h
1,629.4043013698629,1h
2,564.6746301369866,1h
3,454.0635342465753,1h
4,430.6643287671231,1h
5,407.59345205479457,1h
6,450.8696438356166,1h
7,460.2620273972604,1h
8,463.1572328767124,1h
9,448.4096164383563,1h
10,441.09816438356177,1h
11,445.4705753424658,1h
12,541.3200547945205,1h
13,716.2785753424661,1h
14,921.4716712328768,1h
15,830.4285479452057,1h
16,712.8753698630137,1h
17,684.5989315068498,1h
18,648.2201923076921,1h
19,660.0760439560438,1h
20,620.0505219780221,1h
21,583.4117857142859,1h
22,585.3321428571428,1h
23,486.8854945054943,1h
0,402.63346575342473,30m
1,425.9776575342466,30m
2,389.73213698630155,30m
3,316.6641095890409,30m
4,299.9551506849314,30m
5,281.6413561643838,30m
6,307.4246849315069,30m
7,315.2638767123287,30m
8,322.5005068493153,30m
9,310.80763013698635,30m
10,307.90158904109603,30m
11,307.49883561643856,30m
12,376.5545753424657,30m
13,489.6107671232878,30m
14,630.7132876712329,30m
15,574.5979178082191,30m
16,502.1579863013698,30m
17,477.14235939643373,30m
18,447.7192445054945,30m
19,453.17550824175817,30m
20,442.47190934065935,30m
21,407.1418543956045,30m
22,403.71947802197803,30m
23,347.24986263736275,30m
0,279.7698493150684,15m
1,294.03323972602743,15m
2,264.38082191780836,15m
3,222.051205479452,15m
4,206.14401369863015,15m
5,196.36352739726044,15m
6,208.97311643835613,15m
7,216.31385616438342,15m
8,222.81443835616452,15m
9,214.84985616438368,15m
10,213.20058904109595,15m
11,213.63963013698665,15m
12,262.85860273972605,15m
13,337.4860616438358,15m
14,432.6853767123288,15m
15,396.99118493150684,15m
16,351.84732191780813,15m
17,334.55190803019923,15m
18,311.6908104395605,15m
19,309.32866758241755,15m
20,305.4214079670329,15m
21,277.1822527472528,15m
22,274.3128777472527,15m
23,239.22013049450555,15m
0,151.8317283105022,5m
1,156.57223744292236,5m
2,141.45257305936087,5m
3,120.17811187214606,5m
4,110.06230593607305,5m
5,105.01861415525123,5m
6,110.63585616438351,5m
7,114.57728995433781,5m
8,119.11812785388136,5m
9,115.52717579908683,5m
10,113.40690639269414,5m
11,115.50453424657543,5m
12,142.38682876712323,5m
13,183.64423972602748,5m
14,236.00373059360726,5m
15,220.7034269406393,5m
16,194.62187899543383,5m
17,181.05913501144178,5m
18,173.56065018315027,5m
19,169.94497710622713,5m
20,167.93660485347988,5m
21,149.03904990842486,5m
22,145.64497023809514,5m
23,129.72459706959705,5m
0,57.87830319634699,1m
1,58.94859041095891,1m
2,53.65726666666659,1m
3,45.16937625570775,1m
4,40.67196347031957,1m
5,38.521433333333206,1m
6,40.104175342465574,1m
7,42.563428767123156,1m
8,44.69305068493142,1m
9,42.68854840182635,1m
10,42.06966027397258,1m
11,43.1170164383561,1m
12,54.25809817351589,1m
13,71.4063584474886,1m
14,92.6492150684931,1m
15,88.3166493150685,1m
16,77.05958675799084,1m
17,70.54752151226656,1m
18,67.96448260073257,1m
19,66.37506227106229,1m
20,64.65831043956038,1m
21,54.61509386446876,1m
22,53.59850595238089,1m
23,48.800146520146455,1m
