hour,avg_vol,freq
0,0.43192307692307697,1w
0,0.15436164383561643,1d
0,0.06300821917808218,4h
4,0.052556164383561636,4h
8,0.05383287671232876,4h
12,0.07033150684931506,4h
16,0.0655945205479452,4h
20,0.055368131868131866,4h
0,0.03166575342465755,1h
1,0.03367123287671233,1h
2,0.02984657534246574,1h
3,0.02608493150684932,1h
4,0.025424657534246584,1h
5,0.025197260273972604,1h
6,0.02627945205479453,1h
7,0.025087671232876727,1h
8,0.028427397260273966,1h
9,0.025802739726027406,1h
10,0.025372602739726025,1h
11,0.025186301369863013,1h
12,0.031120547945205478,1h
13,0.03485479452054795,1h
14,0.038515068493150686,1h
15,0.03544109589041096,1h
16,0.03418356164383561,1h
17,0.032600000000000004,1h
18,0.030774725274725283,1h
19,0.027249999999999996,1h
20,0.028035714285714292,1h
21,0.026865384615384635,1h
22,0.027249999999999996,1h
23,0.023260989010989008,1h
0,0.021872602739726035,30m
1,0.023094520547945207,30m
2,0.02051232876712328,30m
3,0.018209589041095896,30m
4,0.017689041095890416,30m
5,0.017289041095890415,30m
6,0.01807123287671233,30m
7,0.017656164383561657,30m
8,0.019586301369863012,30m
9,0.018297260273972604,30m
10,0.018097260273972602,30m
11,0.017660273972602735,30m
12,0.021526027397260283,30m
13,0.02434931506849316,30m
14,0.027035616438356166,30m
15,0.02507945205479453,30m
16,0.024015068493150684,30m
17,0.022486301369863022,30m
18,0.021076923076923083,30m
19,0.018869505494505487,30m
20,0.01964835164835165,30m
21,0.018872252747252752,30m
22,0.018752747252747254,30m
23,0.01646840659340659,30m
0,0.015690410958904114,15m
1,0.015986986301369865,15m
2,0.014142465753424658,15m
3,0.012738356164383562,15m
4,0.012417123287671236,15m
5,0.012022602739726027,15m
6,0.012514383561643838,15m
7,0.012491780821917818,15m
8,0.013578767123287674,15m
9,0.012993150684931511,15m
10,0.012727397260273974,15m
11,0.012644520547945208,15m
12,0.015040410958904115,15m
13,0.017004794520547945,15m
14,0.018692465753424658,15m
15,0.01757945205479453,15m
16,0.016794520547945207,15m
17,0.0156614119259767,15m
18,0.01480151098901099,15m
19,0.01318131868131868,15m
20,0.01377335164835165,15m
21,0.0129945054945055,15m
22,0.013039835164835168,15m
23,0.01159134615384615,15m
0,0.008681735159817353,5m
1,0.00862077625570776,5m
2,0.007760502283105023,5m
3,0.007023059360730597,5m
4,0.0067716894977168955,5m
5,0.006577168949771691,5m
6,0.0068687214611872155,5m
7,0.006955022831050232,5m
8,0.007434018264840186,5m
9,0.007215068493150687,5m
10,0.007035616438356165,5m
11,0.006994748858447489,5m
12,0.008253424657534245,5m
13,0.009376940639269407,5m
14,0.010420547945205477,5m
15,0.009873059360730595,5m
16,0.009447260273972604,5m
17,0.008606718464351005,5m
18,0.008229166666666668,5m
19,0.007382554945054947,5m
20,0.007647664835164837,5m
21,0.006999313186813188,5m
22,0.007009157509157507,5m
23,0.006440247252747252,5m
0,0.003406347031963471,1m
1,0.003365753424657534,1m
2,0.0030489954337899554,1m
3,0.0027667123287671244,1m
4,0.0026286301369863015,1m
5,0.002571141552511417,1m
6,0.0026726940639269403,1m
7,0.0027498630136986303,1m
8,0.0029689041095890428,1m
9,0.0028883105022831056,1m
10,0.0027984018264840178,1m
11,0.002792054794520549,1m
12,0.0032664383561643827,1m
13,0.0037768493150684935,1m
14,0.004184018264840181,1m
15,0.0040007305936073075,1m
16,0.0038168949771689507,1m
17,0.003433252593574334,1m
18,0.003296794871794873,1m
19,0.002957554945054945,1m
20,0.0029994047619047613,1m
21,0.0026376831501831507,1m
22,0.0026657051282051275,1m
23,0.0025320512820512816,1m
