hour,avg_vol,freq
0,33.95846153846154,1w
0,12.268301369863014,1d
0,4.975491803278689,4h
4,4.11360655737705,4h
8,4.131092896174863,4h
12,5.943661202185793,4h
16,5.2401912568306015,4h
20,4.613479452054794,4h
0,2.508169398907104,1h
1,2.5827049180327863,1h
2,2.422786885245902,1h
3,2.183251366120218,1h
4,2.113770491803279,1h
5,2.003770491803279,1h
6,2.046256830601093,1h
7,1.9143989071038257,1h
8,2.120163934426229,1h
9,2.0115300546448096,1h
10,2.01103825136612,1h
11,1.982158469945355,1h
12,2.348415300546448,1h
13,2.829153005464481,1h
14,3.2886612021857924,1h
15,3.0845628415300546,1h
16,2.8367759562841535,1h
17,2.597650273224044,1h
18,2.5139617486338794,1h
19,2.383032786885246,1h
20,2.421448087431694,1h
21,2.3631420765027324,1h
22,2.2657377049180334,1h
23,1.9654794520547938,1h
0,1.7625136612021859,30m
1,1.804357923497268,30m
2,1.674125683060109,30m
3,1.498934426229508,30m
4,1.4408469945355196,30m
5,1.4063251366120222,30m
6,1.433306010928962,30m
7,1.3676092896174867,30m
8,1.4534426229508195,30m
9,1.418838797814208,30m
10,1.403456284153006,30m
11,1.3875,30m
12,1.63948087431694,30m
13,1.9638524590163937,30m
14,2.285437158469945,30m
15,2.1493579234972677,30m
16,2.001830601092896,30m
17,1.805286885245902,30m
18,1.7262021857923495,30m
19,1.6529371584699448,30m
20,1.718579234972677,30m
21,1.6610245901639347,30m
22,1.6120218579234975,30m
23,1.4116689466484267,30m
0,1.2388661202185793,15m
1,1.2614822404371584,15m
2,1.1571311475409833,15m
3,1.038155737704918,15m
4,1.0056489071038255,15m
5,0.9907650273224046,15m
6,1.0006693989071038,15m
7,0.9597950819672133,15m
8,1.0176297814207653,15m
9,0.9971926229508196,15m
10,0.9788524590163938,15m
11,0.9794262295081967,15m
12,1.1496311475409835,15m
13,1.3615846994535523,15m
14,1.5743169398907102,15m
15,1.4989890710382514,15m
16,1.3966803278688522,15m
17,1.2573975409836065,15m
18,1.2073565573770493,15m
19,1.1546516393442623,15m
20,1.1875819672131147,15m
21,1.149064207650273,15m
22,1.1161133879781424,15m
23,0.9941558441558439,15m
0,0.6866575591985425,5m
1,0.6900068306010929,5m
2,0.636331967213115,5m
3,0.567037795992714,5m
4,0.5518306010928963,5m
5,0.5431466302367941,5m
6,0.5460200364298726,5m
7,0.5379166666666665,5m
8,0.5626662112932608,5m
9,0.5475204918032788,5m
10,0.5398383424408015,5m
11,0.5428574681238615,5m
12,0.634603825136612,5m
13,0.7506124772313297,5m
14,0.8681853369763204,5m
15,0.836794171220401,5m
16,0.7853984517304191,5m
17,0.701835154826958,5m
18,0.6782809653916213,5m
19,0.6461930783242259,5m
20,0.6609426229508197,5m
21,0.621712204007286,5m
22,0.6072973588342441,5m
23,0.5524247948951684,5m
0,0.278311475409836,1m
1,0.2788205828779599,1m
2,0.2580887978142077,1m
3,0.2304617486338798,1m
4,0.22296903460837894,1m
5,0.21925637522768662,1m
6,0.21872404371584714,1m
7,0.21929690346083766,1m
8,0.23022586520947186,1m
9,0.22375045537340613,1m
10,0.2214180327868853,1m
11,0.22224089253187612,1m
12,0.2600737704918032,1m
13,0.3059530965391622,1m
14,0.3552372495446265,1m
15,0.347025956284153,1m
16,0.32339116575591986,1m
17,0.28899772313296906,1m
18,0.2802982695810565,1m
19,0.26579599271402543,1m
20,0.2677636612021857,1m
21,0.24237340619307837,1m
22,0.23815664845173054,1m
23,0.2253445761166817,1m
