hour,price_level,avg_vol,freq
0,3figures-1,29.922926829268295,1w
0,3figures-2,49.0,1w
0,3figures-1,10.804713804713806,1d
0,3figures-2,18.660735294117647,1d
0,3figures-1,4.404222972972973,4h
0,3figures-2,7.3911428571428575,4h
4,3figures-1,3.6229251700680276,4h
4,3figures-2,6.117222222222225,4h
8,3figures-1,3.5538095238095235,4h
8,3figures-2,6.488333333333333,4h
12,3figures-1,5.404915254237288,4h
12,3figures-2,8.18211267605634,4h
16,3figures-1,4.691140939597316,4h
16,3figures-2,7.646323529411766,4h
20,3figures-1,3.888720538720538,4h
20,3figures-2,7.778970588235294,4h
0,3figures-1,2.2244256756756755,1h
0,3figures-2,3.7080000000000006,1h
1,3figures-1,2.3802356902356903,1h
1,3figures-2,3.4542028985507227,1h
2,3figures-1,2.1233559322033893,1h
2,3figures-2,3.6669014084507054,1h
3,3figures-1,1.8105067567567563,1h
3,3figures-2,3.759428571428571,1h
4,3figures-1,1.7724406779661022,1h
4,3figures-2,3.531971830985916,1h
5,3figures-1,1.7466440677966102,1h
5,3figures-2,3.072112676056339,1h
6,3figures-1,1.7979322033898308,1h
6,3figures-2,3.0780281690140834,1h
7,3figures-1,1.7427210884353745,1h
7,3figures-2,2.615416666666668,1h
8,3figures-1,1.8756756756756754,1h
8,3figures-2,3.153999999999999,1h
9,3figures-1,1.7818367346938788,1h
9,3figures-2,2.9494444444444436,1h
10,3figures-1,1.72486301369863,1h
10,3figures-2,3.140270270270269,1h
11,3figures-1,1.7049659863945577,1h
11,3figures-2,3.114027777777778,1h
12,3figures-1,2.062101694915254,1h
12,3figures-2,3.538028169014085,1h
13,3figures-1,2.5828716216216216,1h
13,3figures-2,3.8705714285714294,1h
14,3figures-1,2.9975838926174494,1h
14,3figures-2,4.564264705882354,1h
15,3figures-1,2.681661016949153,1h
15,3figures-2,4.758591549295776,1h
16,3figures-1,2.463838383838384,1h
16,3figures-2,4.442028985507248,1h
17,3figures-1,2.2933444816053514,1h
17,3figures-2,3.955671641791047,1h
18,3figures-1,2.3338255033557047,1h
18,3figures-2,3.303382352941174,1h
19,3figures-1,2.0818120805369125,1h
19,3figures-2,3.703088235294118,1h
20,3figures-1,2.0766778523489933,1h
20,3figures-2,3.9323529411764695,1h
21,3figures-1,1.998624161073826,1h
21,3figures-2,3.9605882352941166,1h
22,3figures-1,1.9295637583892624,1h
22,3figures-2,3.7389705882352953,1h
23,3figures-1,1.6229292929292924,1h
23,3figures-2,3.4616176470588216,1h
0,3figures-1,1.5378547297297296,30m
0,3figures-2,2.7125000000000012,30m
1,3figures-1,1.6356902356902363,30m
1,3figures-2,2.5303623188405786,30m
2,3figures-1,1.477559322033898,30m
2,3figures-2,2.4908450704225356,30m
3,3figures-1,1.2546192893401014,30m
3,3figures-2,2.522978723404255,30m
4,3figures-1,1.2092372881355935,30m
4,3figures-2,2.403169014084508,30m
5,3figures-1,1.2244237288135598,30m
5,3figures-2,2.1621126760563394,30m
6,3figures-1,1.2580508474576275,30m
6,3figures-2,2.1614788732394357,30m
7,3figures-1,1.224753820033956,30m
7,3figures-2,1.9560139860139876,30m
8,3figures-1,1.2898138747884937,30m
8,3figures-2,2.1392907801418444,30m
9,3figures-1,1.2490662139219024,30m
9,3figures-2,2.1181118881118874,30m
10,3figures-1,1.2208361774744032,30m
10,3figures-2,2.136438356164384,30m
11,3figures-1,1.1889643463497452,30m
11,3figures-2,2.2052447552447556,30m
12,3figures-1,1.4391694915254238,30m
12,3figures-2,2.4717605633802817,30m
13,3figures-1,1.7825506756756757,30m
13,3figures-2,2.730500000000001,30m
14,3figures-1,2.0635462184873945,30m
14,3figures-2,3.2491240875912415,30m
15,3figures-1,1.850490693739424,30m
15,3figures-2,3.402056737588653,30m
16,3figures-1,1.740806722689075,30m
16,3figures-2,3.135474452554745,30m
17,3figures-1,1.6105704697986578,30m
17,3figures-2,2.658602941176472,30m
18,3figures-1,1.5979731993299835,30m
18,3figures-2,2.2932592592592584,30m
19,3figures-1,1.4449832214765093,30m
19,3figures-2,2.564264705882354,30m
20,3figures-1,1.4679159663865544,30m
20,3figures-2,2.8072262773722607,30m
21,3figures-1,1.4118456375838928,30m
21,3figures-2,2.7530147058823524,30m
22,3figures-1,1.363842281879195,30m
22,3figures-2,2.699632352941176,30m
23,3figures-1,1.163886097152429,30m
23,3figures-2,2.5155970149253726,30m
0,3figures-1,1.082379746835443,15m
0,3figures-2,1.9035125448028682,15m
1,3figures-1,1.1383333333333332,15m
1,3figures-2,1.7915579710144929,15m
2,3figures-1,1.0172288135593215,15m
2,3figures-2,1.738415492957747,15m
3,3figures-1,0.8886982248520707,15m
3,3figures-2,1.6673665480427051,15m
4,3figures-1,0.8437933954276042,15m
4,3figures-2,1.6810954063604249,15m
5,3figures-1,0.8577608142493641,15m
5,3figures-2,1.5409824561403511,15m
6,3figures-1,0.8756694915254238,15m
6,3figures-2,1.5200352112676054,15m
7,3figures-1,0.8613497453310697,15m
7,3figures-2,1.3652797202797216,15m
8,3figures-1,0.9026333615580019,15m
8,3figures-2,1.497526501766785,15m
9,3figures-1,0.8742408821034775,15m
9,3figures-2,1.5058245614035082,15m
10,3figures-1,0.8505290102389084,15m
10,3figures-2,1.4939041095890413,15m
11,3figures-1,0.8372680851063828,15m
11,3figures-2,1.5574048442906574,15m
12,3figures-1,1.0186355932203388,15m
12,3figures-2,1.6939084507042252,15m
13,3figures-1,1.2384699915469148,15m
13,3figures-2,1.879893238434165,15m
14,3figures-1,1.417493692178301,15m
14,3figures-2,2.2523636363636363,15m
