weekday,hour,avg_vol,freq
0,0,4014.966037735849,1d
1,0,3480.7499999999995,1d
2,0,3303.5784615384614,1d
3,0,3355.960961538462,1d
4,0,3487.2065384615394,1d
5,0,1541.8165384615381,1d
6,0,2464.229999999999,1d
0,0,1524.8979245283026,4h
0,4,1282.3247169811318,4h
0,8,1139.2754716981137,4h
0,12,2119.452452830189,4h
0,16,1699.2292452830188,4h
0,20,1378.8299999999995,4h
1,0,1377.9525000000008,4h
1,4,1017.7500000000007,4h
1,8,1131.9159615384606,4h
1,12,1889.9948076923085,4h
1,16,1619.633846153846,4h
1,20,1221.4073076923078,4h
2,0,1159.5119230769228,4h
2,4,892.9194230769226,4h
2,8,932.7000000000002,4h
2,12,1712.1148076923077,4h
2,16,1639.9749999999997,4h
2,20,1165.0742307692294,4h
3,0,1334.9615384615395,4h
3,4,886.568269230769,4h
3,8,953.8494230769235,4h
3,12,1803.9780769230763,4h
3,16,1491.3984615384616,4h
3,20,1364.0140384615393,4h
4,0,1317.7623076923085,4h
4,4,995.2501923076924,4h
4,8,987.1717307692312,4h
4,12,1973.9134615384626,4h
4,16,1591.3603846153842,4h
4,20,1026.4924999999998,4h
5,0,737.4774999999985,4h
5,4,575.4659615384627,4h
5,8,597.8886538461526,4h
5,12,647.1696153846153,4h
5,16,729.7305769230763,4h
5,20,729.6680769230769,4h
6,0,735.2919230769237,4h
6,4,604.3532692307688,4h
6,8,708.2549999999993,4h
6,12,949.1211538461537,4h
6,16,1044.8657692307684,4h
6,20,1374.8032692307695,4h
0,0,785.0560377358499,1h
0,1,798.5222641509434,1h
0,2,632.5330188679252,1h
0,3,582.6550943396226,1h
0,4,471.1398113207549,1h
0,5,504.56867924528245,1h
0,6,736.3805660377362,1h
0,7,617.5156603773587,1h
0,8,592.8830188679256,1h
0,9,605.0596226415093,1h
0,10,546.3145283018869,1h
0,11,532.8333962264152,1h
0,12,636.3364150943398,1h
0,13,841.3473584905668,1h
0,14,1293.3686792452822,1h
0,15,1040.0686792452836,1h
0,16,828.3656603773586,1h
0,17,858.0890566037732,1h
0,18,773.7815384615387,1h
0,19,765.8742307692303,1h
0,20,688.0853846153846,1h
0,21,712.7194230769219,1h
0,22,678.6092307692311,1h
0,23,608.0505769230767,1h
1,0,759.1011538461545,1h
1,1,730.2232692307692,1h
1,2,671.6230769230762,1h
1,3,477.670192307692,1h
1,4,477.18557692307706,1h
1,5,484.2823076923074,1h
1,6,497.4594230769236,1h
1,7,525.9309615384615,1h
1,8,578.7438461538461,1h
1,9,514.6073076923078,1h
1,10,533.9150000000009,1h
1,11,495.89538461538456,1h
1,12,542.2463461538462,1h
1,13,873.2403846153853,1h
1,14,1227.3096153846159,1h
1,15,1018.8419230769225,1h
1,16,879.6844230769236,1h
1,17,722.3686538461541,1h
1,18,741.5753846153845,1h
1,19,753.9315384615386,1h
1,20,696.7736538461551,1h
1,21,652.9903846153836,1h
1,22,602.463653846153,1h
1,23,448.94615384615366,1h
2,0,577.4507692307693,1h
2,1,674.8459615384617,1h
2,2,584.7867307692303,1h
2,3,437.9540384615376,1h
2,4,458.62173076923096,1h
2,5,413.18673076922965,1h
2,6,425.75519230769265,1h
2,7,502.6488461538457,1h
2,8,468.36673076923074,1h
2,9,444.2717307692314,1h
2,10,485.67365384615397,1h
2,11,483.93884615384684,1h
2,12,610.4486538461529,1h
2,13,884.098653846154,1h
2,14,921.9507692307687,1h
2,15,849.6757692307698,1h
2,16,764.150576923077,1h
2,17,702.7698076923091,1h
2,18,837.3511538461528,1h
2,19,860.0617307692302,1h
2,20,756.014038461538,1h
2,21,625.0792307692308,1h
2,22,526.312692307693,1h
2,23,472.9965384615382,1h
3,0,586.3701923076919,1h
3,1,652.3121153846162,1h
3,2,665.2182692307704,1h
3,3,529.8475000000007,1h
3,4,478.4382692307694,1h
3,5,411.80288461538504,1h
3,6,445.26596153846197,1h
3,7,455.70115384615326,1h
3,8,502.58307692307733,1h
3,9,419.9082692307693,1h
3,10,461.4917307692306,1h
3,11,494.1598076923071,1h
3,12,655.3359615384613,1h
3,13,782.8767307692306,1h
3,14,1056.7303846153848,1h
3,15,978.1159615384611,1h
3,16,766.9786538461533,1h
3,17,747.3413461538468,1h
3,18,658.9048076923083,1h
3,19,762.4490384615385,1h
3,20,732.4044230769244,1h
3,21,619.1805769230779,1h
3,22,724.5375000000003,1h
3,23,454.98807692307633,1h
4,0,620.1013461538465,1h
4,1,760.4588461538459,1h
4,2,649.664807692309,1h
4,3,470.5324999999999,1h
4,4,461.7119230769223,1h
4,5,437.01211538461604,1h
4,6,502.0890384615381,1h
4,7,547.6223076923093,1h
4,8,493.5938461538457,1h
4,9,519.6148076923072,1h
4,10,443.6401923076925,1h
4,11,452.4632692307692,1h
4,12,634.0594230769226,1h
4,13,849.3736538461546,1h
4,14,1062.878461538462,1h
4,15,1052.8159615384616,1h
4,16,805.9969230769244,1h
4,17,816.451346153847,1h
4,18,738.4928846153836,1h
4,19,649.4363461538451,1h
4,20,621.2538461538447,1h
4,21,531.8567307692317,1h
4,22,439.26557692307745,1h
4,23,408.0809615384612,1h
5,0,410.99115384615203,1h
5,1,440.87538461538327,1h
5,2,358.4003846153842,1h
5,3,318.3686538461533,1h
5,4,316.8719230769224,1h
5,5,315.5025000000005,1h
5,6,270.6167307692312,1h
5,7,280.93173076923125,1h
5,8,283.4342307692304,1h
5,9,289.5069230769232,1h
5,10,299.14615384615325,1h
5,11,296.31057692307724,1h
5,12,311.23750000000024,1h
5,13,351.20365384615434,1h
5,14,339.3398076923082,1h
5,15,379.9807692307691,1h
5,16,389.2140384615378,1h
5,17,386.14211538461495,1h
5,18,317.2536538461536,1h
5,19,349.113461538462,1h
5,20,395.62634615384627,1h
5,21,355.6688461538464,1h
5,22,372.26365384615383,1h
5,23,342.272884615384,1h
6,0,338.00211538461525,1h
6,1,345.34000000000003,1h
6,2,389.19115384615475,1h
6,3,358.9438461538469,1h
6,4,349.9026923076918,1h
6,5,284.9340384615393,1h
6,6,273.0299999999994,1h
6,7,288.45942307692263,1h
6,8,320.0011538461532,1h
6,9,342.886153846154,1h
6,10,315.4825000000002,1h
6,11,361.0126923076918,1h
6,12,397.7488461538469,1h
6,13,429.4044230769222,1h
6,14,541.5721153846157,1h
6,15,489.46923076923133,1h
6,16,553.5163461538452,1h
6,17,555.6938461538467,1h
6,18,470.18192307692294,1h
6,19,479.6659615384615,1h
6,20,450.1959615384613,1h
6,21,586.387307692309,1h
6,22,753.8726923076912,1h
6,23,672.8632692307699,1h
0,0,525.8682075471705,30m
0,1,544.1203773584906,30m
0,2,442.5329245283025,30m
0,3,403.67301886792444,30m
0,4,330.8158490566034,30m
0,5,339.08594339622636,30m
0,6,476.37471698113217,30m
0,7,420.2182075471699,30m
0,8,420.1669811320762,30m
0,9,419.76556603773594,30m
0,10,372.8158490566038,30m
0,11,365.46481132075525,30m
0,12,450.88943396226375,30m
0,13,567.2233962264156,30m
0,14,828.9867924528297,30m
0,15,706.7346226415098,30m
0,16,582.3150943396223,30m
0,17,621.4671428571424,30m
0,18,523.4297115384622,30m
0,19,541.9211538461539,30m
0,20,493.7248076923078,30m
0,21,482.6326923076913,30m
0,22,465.99182692307755,30m
0,23,422.3405769230767,30m
1,0,524.3688461538467,30m
1,1,497.34442307692314,30m
1,2,458.1575961538461,30m
1,3,346.89432692307633,30m
1,4,338.1800961538465,30m
1,5,334.8505769230768,30m
1,6,349.15240384615413,30m
1,7,366.81634615384644,30m
1,8,396.18951923076935,30m
1,9,366.5646153846155,30m
1,10,377.5172115384622,30m
1,11,356.4725961538461,30m
1,12,389.818653846154,30m
1,13,595.6868269230768,30m
1,14,827.5975000000001,30m
1,15,713.9528846153844,30m
1,16,609.177403846154,30m
1,17,535.9832692307698,30m
1,18,506.6079807692308,30m
1,19,526.8920192307695,30m
1,20,490.89548076923114,30m
1,21,448.21692307692257,30m
1,22,412.4526923076924,30m
1,23,328.431538461539,30m
2,0,398.21778846153904,30m
2,1,455.9469230769234,30m
2,2,404.76884615384563,30m
2,3,314.87124999999924,30m
2,4,316.1917307692308,30m
2,5,289.21019230769224,30m
2,6,292.18903846153836,30m
2,7,337.5250961538461,30m
2,8,331.588557692308,30m
2,9,314.5175000000002,30m
2,10,341.2536538461542,30m
2,11,330.2607692307695,30m
2,12,419.47788461538437,30m
2,13,579.5000000000005,30m
2,14,664.4438461538462,30m
2,15,598.4267307692307,30m
2,16,561.1062500000002,30m
2,17,476.2252884615391,30m
2,18,574.0820192307693,30m
2,19,593.2179807692306,30m
2,20,540.41625,30m
2,21,439.170096153846,30m
2,22,375.7228846153849,30m
2,23,337.29653846153843,30m
3,0,405.87846153846107,30m
3,1,440.0437500000005,30m
3,2,452.47634615384686,30m
3,3,363.104711538462,30m
3,4,332.0328846153844,30m
3,5,288.53567307692344,30m
3,6,306.3198076923081,30m
3,7,314.3380769230762,30m
3,8,346.1988461538471,30m
3,9,296.7075961538461,30m
3,10,329.1196153846156,30m
3,11,344.3560576923077,30m
3,12,453.37086538461557,30m
3,13,551.0679807692305,30m
3,14,724.7515384615385,30m
3,15,668.1475961538456,30m
3,16,528.1249038461536,30m
3,17,504.82490384615426,30m
3,18,479.9103846153848,30m
3,19,516.3781730769227,30m
3,20,536.6970192307695,30m
3,21,439.02298076923086,30m
3,22,498.0999999999997,30m
3,23,332.7783653846153,30m
4,0,430.2466346153848,30m
4,1,496.6098076923075,30m
4,2,452.91125000000045,30m
4,3,324.45500000000004,30m
4,4,330.44807692307654,30m
4,5,303.5764423076929,30m
4,6,345.110288461538,30m
4,7,373.05682692307715,30m
4,8,346.1745192307687,30m
4,9,346.2175961538457,30m
4,10,312.57490384615386,30m
4,11,306.85923076923103,30m
4,12,437.2820192307689,30m
4,13,575.3645192307699,30m
4,14,740.3326923076927,30m
4,15,721.3131730769229,30m
4,16,580.3891346153852,30m
4,17,555.9220192307696,30m
4,18,506.230961538461,30m
4,19,451.64288461538405,30m
4,20,431.4567307692302,30m
4,21,398.1435576923087,30m
4,22,315.00740384615403,30m
4,23,297.1211538461542,30m
5,0,290.65336538461446,30m
5,1,308.0051923076916,30m
5,2,251.7648076923079,30m
5,3,220.99644230769138,30m
5,4,212.38211538461545,30m
5,5,213.57692307692344,30m
5,6,197.90836538461588,30m
5,7,196.85932692307668,30m
5,8,196.33374999999992,30m
5,9,201.40855769230802,30m
5,10,202.59624999999954,30m
5,11,202.21923076923122,30m
5,12,212.76067307692307,30m
5,13,252.25500000000017,30m
5,14,242.00586538461573,30m
5,15,254.45086538461538,30m
5,16,276.8202884615383,30m
5,17,267.4501923076921,30m
5,18,223.29653846153815,30m
5,19,232.37711538461582,30m
5,20,290.2078846153848,30m
5,21,244.1939423076928,30m
5,22,245.73105769230733,30m
5,23,242.12548076923045,30m
6,0,240.8310576923075,30m
6,1,237.50115384615395,30m
6,2,264.49778846153845,30m
6,3,240.98076923076957,30m
6,4,239.0418269230771,30m
6,5,201.54903846153908,30m
6,6,181.66913461538422,30m
6,7,196.0149038461536,30m
6,8,218.97317307692336,30m
6,9,228.37663461538475,30m
6,10,218.18528846153856,30m
6,11,245.7444230769229,30m
6,12,270.8529807692313,30m
6,13,304.68509615384596,30m
6,14,383.06182692307726,30m
6,15,356.6184615384619,30m
6,16,375.63134615384536,30m
6,17,376.735961538462,30m
6,18,320.4771153846152,30m
6,19,309.79923076923103,30m
6,20,313.9051923076919,30m
6,21,398.6127884615392,30m
6,22,513.0304807692306,30m
6,23,470.6553846153853,30m
0,0,369.3531603773591,15m
0,1,375.32528301886816,15m
0,2,306.8610849056606,15m
0,3,269.14702830188685,15m
0,4,227.1724056603773,15m
0,5,237.78537735849025,15m
0,6,307.3074056603773,15m
0,7,287.67971698113223,15m
0,8,288.886132075472,15m
0,9,288.3766981132075,15m
0,10,255.35367924528305,15m
0,11,254.42500000000064,15m
0,12,309.2939622641507,15m
0,13,399.76990566037756,15m
0,14,550.6277830188674,15m
0,15,477.4285849056606,15m
0,16,415.1513679245284,15m
0,17,454.11200956937773,15m
0,18,364.653605769231,15m
0,19,369.4336057692308,15m
0,20,339.0754326923077,15m
0,21,326.0206249999992,15m
0,22,316.4662980769236,15m
0,23,292.03177884615354,15m
1,0,359.87937500000044,15m
1,1,348.91875000000016,15m
1,2,306.9749519230771,15m
1,3,248.62894230769214,15m
1,4,238.38548076923095,15m
1,5,232.3598076923077,15m
1,6,238.88918269230777,15m
1,7,249.96663461538463,15m
1,8,273.2308653846155,15m
1,9,252.88894230769245,15m
1,10,258.52432692307764,15m
1,11,250.1827884615385,15m
1,12,277.4466826923077,15m
1,13,404.67033653846124,15m
1,14,569.8472115384619,15m
1,15,493.6498076923077,15m
1,16,434.2124038461539,15m
1,17,382.7258173076922,15m
1,18,348.7471634615382,15m
1,19,361.91639423076964,15m
1,20,341.88062500000007,15m
1,21,305.36331730769194,15m
1,22,286.42937499999977,15m
1,23,231.9165384615389,15m
2,0,278.9602884615389,15m
2,1,315.4897115384616,15m
2,2,273.25129807692275,15m
2,3,229.73899038461485,15m
2,4,224.587355769231,15m
2,5,199.84807692307703,15m
2,6,205.60721153846174,15m
2,7,233.24870192307665,15m
2,8,231.93500000000012,15m
2,9,220.25163461538503,15m
2,10,232.80403846153857,15m
2,11,230.04966346153878,15m
2,12,297.47572115384605,15m
2,13,396.92836538461586,15m
2,14,477.41557692307686,15m
2,15,418.0383173076922,15m
2,16,385.9165384615383,15m
2,17,340.6405288461543,15m
2,18,391.0574519230771,15m
2,19,404.55788461538435,15m
2,20,377.00788461538457,15m
2,21,308.15399038461567,15m
2,22,262.33605769230786,15m
2,23,235.49278846153842,15m
3,0,282.4345673076918,15m
3,1,301.6445673076924,15m
3,2,305.74543269230827,15m
3,3,252.61072115384653,15m
3,4,221.48499999999987,15m
3,5,203.81956730769247,15m
3,6,214.1869230769233,15m
3,7,216.07360576923062,15m
3,8,241.24086538461628,15m
3,9,209.25384615384635,15m
3,10,227.2317788461536,15m
3,11,234.09798076923093,15m
3,12,313.21326923076936,15m
3,13,382.4646153846153,15m
3,14,494.4065865384618,15m
3,15,473.2883173076917,15m
3,16,377.70129807692297,15m
3,17,349.62418269230807,15m
3,18,345.25951923076957,15m
3,19,344.35639423076896,15m
3,20,377.0945192307694,15m
3,21,299.91687499999966,15m
3,22,322.61048076923026,15m
3,23,231.03610576923063,15m
4,0,291.1809134615381,15m
4,1,334.38283653846156,15m
4,2,303.2451442307695,15m
4,3,230.66831730769232,15m
4,4,223.89600961538446,15m
4,5,209.2474519230773,15m
4,6,231.40307692307644,15m
4,7,251.10908653846144,15m
4,8,239.69451923076892,15m
4,9,234.7575,15m
