hour,vol,freq,holiday_filter_type
0,78.37884615384615,1w,include
0,81.04565217391306,1w,exclude
0,57.93333333333334,1w,only
0,28.425479452054798,1d,include
0,30.2096,1d,exclude
0,24.546956521739133,1d,only
0,12.507397260273974,4h,include
4,9.993972602739726,4h,include
8,9.564109589041093,4h,include
12,13.434246575342469,4h,include
16,11.303835616438356,4h,include
20,10.586263736263733,4h,include
0,13.2268,4h,exclude
4,10.873999999999997,4h,exclude
8,10.290399999999998,4h,exclude
12,14.969200000000003,4h,exclude
16,12.076799999999999,4h,exclude
20,10.799196787148592,4h,exclude
0,10.943478260869567,4h,only
4,8.080869565217396,4h,only
8,7.985217391304346,4h,only
12,10.09739130434783,4h,only
16,9.623478260869566,4h,only
20,10.125217391304346,4h,only
0,6.395342465753424,1h,include
1,6.656712328767123,1h,include
2,5.906301369863016,1h,include
3,4.902465753424658,1h,include
4,4.855616438356163,1h,include
5,4.773424657534248,1h,include
6,4.878082191780821,1h,include
7,4.890958904109588,1h,include
8,4.985753424657536,1h,include
9,4.899178082191778,1h,include
10,4.603561643835616,1h,include
11,4.556712328767124,1h,include
12,5.827945205479453,1h,include
13,6.607123287671231,1h,include
14,7.19123287671233,1h,include
15,6.60191780821918,1h,include
16,6.237808219178083,1h,include
17,5.798082191780822,1h,include
18,5.213461538461541,1h,include
19,5.083241758241757,1h,include
20,5.217857142857143,1h,include
21,5.012912087912089,1h,include
22,5.198626373626375,1h,include
23,4.643406593406594,1h,include
0,6.8244,1h,exclude
1,7.122399999999999,1h,exclude
2,6.2836000000000025,1h,exclude
3,5.2604,1h,exclude
4,5.169199999999997,1h,exclude
5,5.0776,1h,exclude
6,5.427199999999997,1h,exclude
7,5.341599999999999,1h,exclude
8,5.444800000000002,1h,exclude
9,5.215999999999998,1h,exclude
10,4.8936,1h,exclude
11,4.807600000000001,1h,exclude
12,6.122799999999999,1h,exclude
13,7.366399999999999,1h,exclude
14,8.192000000000002,1h,exclude
15,7.276000000000002,1h,exclude
16,6.460400000000002,1h,exclude
17,6.059599999999998,1h,exclude
18,5.653815261044177,1h,exclude
19,5.577510040160641,1h,exclude
20,5.66827309236948,1h,exclude
21,5.279518072289158,1h,exclude
22,5.120080321285143,1h,exclude
23,4.694779116465863,1h,exclude
0,5.462608695652174,1h,only
1,5.644347826086958,1h,only
2,5.086086956521742,1h,only
3,4.124347826086959,1h,only
4,4.173913043478265,1h,only
5,4.112173913043481,1h,only
6,3.684347826086957,1h,only
7,3.9113043478260843,1h,only
8,3.9878260869565207,1h,only
9,4.21043478260869,1h,only
10,3.9730434782608683,1h,only
11,4.011304347826089,1h,only
12,5.186956521739134,1h,only
13,4.956521739130435,1h,only
14,5.015652173913042,1h,only
15,5.136521739130438,1h,only
16,5.75391304347826,1h,only
17,5.229565217391311,1h,only
