hour,vol,freq,holiday_filter_type
0,75.30596153846153,1w,include
0,78.39847826086957,1w,exclude
0,51.59666666666664,1w,only
0,27.555561643835613,1d,include
0,29.6256,1d,exclude
0,23.055478260869567,1d,only
0,11.727978142076504,4h,include
4,9.810245901639343,4h,include
8,9.752486338797816,4h,include
12,12.778715846994537,4h,include
16,11.171994535519126,4h,include
20,9.776219178082188,4h,include
0,12.98406374501992,4h,exclude
4,10.516095617529878,4h,exclude
8,10.544621513944225,4h,exclude
12,14.349123505976095,4h,exclude
16,12.080836653386454,4h,exclude
20,9.895039999999996,4h,exclude
0,8.986434782608699,4h,only
4,8.269652173913043,4h,only
8,8.023565217391303,4h,only
12,9.351130434782611,4h,only
16,9.188347826086957,4h,only
20,9.517913043478261,4h,only
0,5.890546448087431,1h,include
1,6.280245901639347,1h,include
2,5.578907103825137,1h,include
3,4.509617486338795,1h,include
4,4.575628415300549,1h,include
5,4.556830601092895,1h,include
6,4.613907103825138,1h,include
7,4.890683060109287,1h,include
8,5.199426229508194,1h,include
9,4.627158469945355,1h,include
10,4.583005464480872,1h,include
11,4.445601092896177,1h,include
12,5.2817486338797845,1h,include
13,6.117786885245897,1h,include
14,7.0708196721311465,1h,include
15,6.51945355191257,1h,include
16,6.10931693989071,1h,include
17,5.444808743169401,1h,include
18,5.08893442622951,1h,include
19,4.896557377049182,1h,include
20,5.0461475409836085,1h,include
21,4.79275956284153,1h,include
22,4.810273224043715,1h,include
23,4.3303013698630135,1h,include
0,6.435059760956173,1h,exclude
1,6.9277689243027885,1h,exclude
2,6.196852589641432,1h,exclude
3,4.835776892430276,1h,exclude
4,4.916494023904385,1h,exclude
5,4.880039840637447,1h,exclude
6,5.060478087649404,1h,exclude
7,5.206653386454183,1h,exclude
8,5.753346613545814,1h,exclude
9,4.997011952191234,1h,exclude
10,4.911593625498009,1h,exclude
11,4.691434262948207,1h,exclude
12,5.8365737051792825,1h,exclude
13,6.937131474103581,1h,exclude
14,8.065418326693228,1h,exclude
15,7.23768924302789,1h,exclude
16,6.6201593625498,1h,exclude
17,5.706812749003985,1h,exclude
18,5.605816733067733,1h,exclude
19,5.242788844621517,1h,exclude
20,5.286015936254982,1h,exclude
21,5.021513944223108,1h,exclude
