hour,vol,freq,holiday_filter_type
0,8431.014807692309,1w,include
0,8500.40934782609,1w,exclude
0,7898.990000000002,1w,only
0,3095.17098630137,1d,include
0,3522.1536800000003,1d,exclude
0,2166.947739130434,1d,only
0,1170.6668219178086,4h,include
4,894.5840547945207,4h,include
8,922.1758904109588,4h,include
12,1586.570301369863,4h,include
16,1403.1267945205477,4h,include
20,1180.041346153846,4h,include
0,1339.5815200000004,4h,exclude
4,997.5938000000001,4h,exclude
8,1025.4977600000002,4h,exclude
12,1909.4276800000005,4h,exclude
16,1610.8702799999999,4h,exclude
20,1225.1383534136544,4h,exclude
0,803.4609565217389,4h,only
4,670.6498260869569,4h,only
8,697.5631304347817,4h,only
12,884.7064347826083,4h,only
16,951.51052173913,4h,only
20,1082.3965217391303,4h,only
0,582.9940821917808,1h,include
1,629.4043013698629,1h,include
2,564.6746301369866,1h,include
3,454.0635342465753,1h,include
4,430.6643287671231,1h,include
5,407.59345205479457,1h,include
6,450.8696438356166,1h,include
7,460.2620273972604,1h,include
8,463.1572328767124,1h,include
9,448.4096164383563,1h,include
10,441.09816438356177,1h,include
11,445.4705753424658,1h,include
12,541.3200547945205,1h,include
13,716.2785753424661,1h,include
14,921.4716712328768,1h,include
15,830.4285479452057,1h,include
16,712.8753698630137,1h,include
17,684.5989315068498,1h,include
18,648.2201923076921,1h,include
19,660.0760439560438,1h,include
20,620.0505219780221,1h,include
21,583.4117857142859,1h,include
22,585.3321428571428,1h,include
23,486.8854945054943,1h,include
0,665.6914000000003,1h,exclude
1,718.6778,1h,exclude
2,639.8067200000004,1h,exclude
3,495.1437199999998,1h,exclude
4,469.60408000000007,1h,exclude
5,448.93971999999985,1h,exclude
6,499.3130400000003,1h,exclude
7,523.6121600000001,1h,exclude
8,524.6208000000003,1h,exclude
9,497.47704000000016,1h,exclude
10,493.46732000000026,1h,exclude
11,488.7342799999999,1h,exclude
12,610.4297199999997,1h,exclude
13,857.4264400000005,1h,exclude
14,1128.71628,1h,exclude
15,985.79084,1h,exclude
16,809.1165200000003,1h,exclude
17,761.5142000000005,1h,exclude
18,755.2336144578311,1h,exclude
19,764.1391967871483,1h,exclude
20,703.8208032128514,1h,exclude
21,627.0000803212852,1h,exclude
22,587.4334939759037,1h,exclude
23,467.2322891566263,1h,exclude
0,403.21730434782535,1h,only
1,435.331478260869,1h,only
2,401.34400000000016,1h,only
3,364.75878260869587,1h,only
4,346.01269565217314,1h,only
5,317.71026086956573,1h,only
6,345.55791304347815,1h,only
7,322.54434782608706,1h,only
8,329.54078260869505,1h,only
9,341.7413043478261,1h,only
10,327.2521739130433,1h,only
11,351.41904347826096,1h,only
12,391.08165217391326,1h,only
13,409.43539130434755,1h,only
14,470.9399130434787,1h,only
15,492.68443478260895,1h,only
16,503.65547826086896,1h,only
17,517.3918260869566,1h,only
18,416.51286956521704,1h,only
19,434.7566956521741,1h,only
20,438.66965217391305,1h,only
21,489.0336521739136,1h,only
22,580.7822608695648,1h,only
23,529.4389565217389,1h,only
0,402.63346575342473,30m,include
1,425.9776575342466,30m,include
2,389.73213698630155,30m,include
3,316.6641095890409,30m,include
4,299.9551506849314,30m,include
5,281.6413561643838,30m,include
6,307.4246849315069,30m,include
7,315.2638767123287,30m,include
8,322.5005068493153,30m,include
9,310.80763013698635,30m,include
10,307.90158904109603,30m,include
11,307.49883561643856,30m,include
12,376.5545753424657,30m,include
13,489.6107671232878,30m,include
14,630.7132876712329,30m,include
15,574.5979178082191,30m,include
16,502.1579863013698,30m,include
17,477.14235939643373,30m,include
18,447.7192445054945,30m,include
19,453.17550824175817,30m,include
20,442.47190934065935,30m,include
21,407.1418543956045,30m,include
22,403.71947802197803,30m,include
23,347.24986263736275,30m,include
0,457.2218200000003,30m,exclude
1,485.46380000000016,30m,exclude
2,442.5117800000003,30m,exclude
3,347.3301599999998,30m,exclude
4,329.4776399999999,30m,exclude
5,309.68944000000016,30m,exclude
6,342.68077999999997,30m,exclude
7,357.46756,30m,exclude
8,366.4841000000004,30m,exclude
9,346.78686,30m,exclude
10,343.27520000000027,30m,exclude
11,338.4509000000002,30m,exclude
12,426.13685999999984,30m,exclude
13,579.8616200000004,30m,exclude
14,766.56368,30m,exclude
15,682.75394,30m,exclude
16,573.9129399999999,30m,exclude
17,530.3627855711426,30m,exclude
18,523.1612851405624,30m,exclude
19,529.0629919678712,30m,exclude
20,502.03789156626505,30m,exclude
21,441.4404016064256,30m,exclude
22,409.70855421686764,30m,exclude
23,335.1297590361447,30m,exclude
0,283.96313043478216,30m,only
1,296.65995652173876,30m,only
2,274.9937826086957,30m,only
3,249.9987826086954,30m,only
4,235.77582608695656,30m,only
5,220.66726086956564,30m,only
6,230.78100000000015,30m,only
7,223.51673913043453,30m,only
8,226.884,30m,only
9,232.59191304347837,30m,only
10,231.0024347826086,30m,only
11,240.21173913043492,30m,only
12,268.76700000000017,30m,only
13,293.4132608695652,30m,only
14,335.3863478260874,30m,only
15,339.4761304347827,30m,only
16,346.16895652173883,30m,only
17,361.6771739130436,30m,only
18,284.37082608695613,30m,only
19,288.8626086956525,30m,only
20,313.49860869565214,30m,only
21,332.8780434782613,30m,only
22,390.7518260869563,30m,only
23,373.4925217391305,30m,only
0,279.7698493150684,15m,include
1,294.03323972602743,15m,include
2,264.38082191780836,15m,include
3,222.051205479452,15m,include
4,206.14401369863015,15m,include
5,196.36352739726044,15m,include
6,208.97311643835613,15m,include
7,216.31385616438342,15m,include
8,222.81443835616452,15m,include
9,214.84985616438368,15m,include
10,213.20058904109595,15m,include
11,213.63963013698665,15m,include
12,262.85860273972605,15m,include
13,337.4860616438358,15m,include
14,432.6853767123288,15m,include
15,396.99118493150684,15m,include
16,351.84732191780813,15m,include
17,334.55190803019923,15m,include
18,311.6908104395605,15m,include
19,309.32866758241755,15m,include
20,305.4214079670329,15m,include
21,277.1822527472528,15m,include
22,274.3128777472527,15m,include
23,239.22013049450555,15m,include
0,316.12569000000013,15m,exclude
1,333.4010000000001,15m,exclude
2,299.3397800000002,15m,exclude
3,244.76521999999994,15m,exclude
4,227.44071000000002,15m,exclude
5,216.1498100000001,15m,exclude
6,234.0818,15m,exclude
7,244.46769999999995,15m,exclude
8,254.05273000000022,15m,exclude
9,239.34249000000017,15m,exclude
10,237.53093000000013,15m,exclude
11,235.75431000000037,15m,exclude
12,298.46332,15m,exclude
13,401.6173000000002,15m,exclude
14,524.4561,15m,exclude
15,473.29273,15m,exclude
16,403.38786000000005,15m,exclude
17,371.8084052156471,15m,exclude
18,363.4198694779118,15m,exclude
19,362.3608232931726,15m,exclude
20,349.04631526104407,15m,exclude
21,302.9846586345381,15m,exclude
22,279.5746485943775,15m,exclude
23,232.45309236947801,15m,exclude
0,200.7354130434779,15m,only
1,208.45115217391304,15m,only
2,188.38308695652174,15m,only
3,172.67291304347816,15m,only
4,159.84684782608687,15m,only
5,153.34986956521772,15m,only
6,154.38902173913036,15m,only
7,155.1098478260867,15m,only
