hour,vol,freq,holiday_filter_type
0,4.396923076923077,1w,include
0,4.455434782608696,1w,exclude
0,3.9483333333333337,1w,only
0,1.5875068493150686,1d,include
0,1.68428,1d,exclude
0,1.3771304347826088,1d,only
0,0.6793972602739726,4h,include
4,0.5394794520547946,4h,include
8,0.5484657534246575,4h,include
12,0.7449863013698631,4h,include
16,0.6370958904109589,4h,include
20,0.5856593406593408,4h,include
0,0.7259200000000001,4h,exclude
4,0.5770000000000001,4h,exclude
8,0.57952,4h,exclude
12,0.8157600000000002,4h,exclude
16,0.6759999999999999,4h,exclude
20,0.5924899598393576,4h,exclude
0,0.5782608695652174,4h,only
4,0.45791304347826106,4h,only
8,0.48095652173913034,4h,only
12,0.5911304347826086,4h,only
16,0.5525217391304348,4h,only
20,0.5708695652173914,4h,only
0,0.36572602739726023,1h,include
1,0.36808219178082174,1h,include
2,0.320027397260274,1h,include
3,0.2701643835616438,1h,include
4,0.2633150684931508,1h,include
5,0.2573150684931508,1h,include
6,0.26799999999999996,1h,include
7,0.26117808219178096,1h,include
8,0.29109589041095874,1h,include
9,0.2566027397260275,1h,include
10,0.25649315068493156,1h,include
11,0.2663013698630137,1h,include
12,0.31841095890410953,1h,include
13,0.36572602739726023,1h,include
14,0.39635616438356175,1h,include
15,0.3739452054794521,1h,include
16,0.34,1h,include
17,0.31778082191780826,1h,include
18,0.2974175824175825,1h,include
19,0.2822802197802197,1h,include
20,0.29412087912087903,1h,include
21,0.28796703296703313,1h,include
22,0.28747252747252744,1h,include
23,0.240357142857143,1h,include
0,0.38732,1h,exclude
1,0.3935999999999998,1h,exclude
2,0.34004000000000006,1h,exclude
3,0.2824799999999999,1h,exclude
4,0.27780000000000005,1h,exclude
5,0.26671999999999996,1h,exclude
6,0.29095999999999994,1h,exclude
7,0.2834400000000001,1h,exclude
8,0.31079999999999985,1h,exclude
9,0.27092000000000005,1h,exclude
10,0.27376,1h,exclude
11,0.2734800000000001,1h,exclude
12,0.33756,1h,exclude
13,0.40707999999999994,1h,exclude
14,0.4482800000000001,1h,exclude
15,0.40412,1h,exclude
16,0.35467999999999994,1h,exclude
17,0.32764000000000004,1h,exclude
18,0.32530120481927705,1h,exclude
19,0.3028915662650602,1h,exclude
20,0.3061044176706827,1h,exclude
21,0.3030522088353415,1h,exclude
22,0.2838152610441767,1h,exclude
23,0.2371887550200805,1h,exclude
0,0.318782608695652,1h,only
1,0.3126086956521738,1h,only
2,0.27652173913043476,1h,only
3,0.24339130434782627,1h,only
4,0.23182608695652177,1h,only
5,0.23686956521739164,1h,only
6,0.21808695652173915,1h,only
7,0.21278260869565246,1h,only
8,0.2482608695652172,1h,only
9,0.2254782608695652,1h,only
10,0.21895652173913055,1h,only
11,0.25069565217391293,1h,only
12,0.2767826086956521,1h,only
13,0.2758260869565216,1h,only
14,0.28347826086956524,1h,only
15,0.3083478260869566,1h,only
16,0.30808695652173923,1h,only
17,0.2963478260869567,1h,only
18,0.23704347826086977,1h,only
19,0.23765217391304336,1h,only
20,0.2681739130434782,1h,only
21,0.2553043478260871,1h,only
22,0.29539130434782596,1h,only
23,0.24721739130434786,1h,only
0,0.2503835616438355,30m,include
1,0.25036986301369857,30m,include
2,0.2210273972602741,30m,include
3,0.18749315068493153,30m,include
4,0.1825616438356165,30m,include
5,0.1757671232876713,30m,include
6,0.183,30m,include
7,0.18120547945205487,30m,include
8,0.19898630136986292,30m,include
9,0.18147945205479457,30m,include
10,0.18263013698630137,30m,include
11,0.18246575342465757,30m,include
12,0.22121917808219171,30m,include
13,0.2516712328767124,30m,include
14,0.27704109589041104,30m,include
15,0.2613150684931507,30m,include
16,0.24161643835616445,30m,include
17,0.22127397260273968,30m,include
18,0.20866758241758246,30m,include
19,0.19565934065934065,30m,include
20,0.20236263736263724,30m,include
21,0.20171703296703303,30m,include
22,0.1965796703296703,30m,include
23,0.17164835164835174,30m,include
0,0.2618599999999999,30m,exclude
1,0.26914,30m,exclude
2,0.23594000000000018,30m,exclude
3,0.19382,30m,exclude
4,0.19258000000000006,30m,exclude
5,0.18244000000000002,30m,exclude
6,0.19691999999999996,30m,exclude
7,0.19596000000000008,30m,exclude
8,0.2121599999999999,30m,exclude
9,0.19240000000000015,30m,exclude
10,0.19411999999999993,30m,exclude
11,0.18792000000000003,30m,exclude
12,0.23609999999999992,30m,exclude
13,0.27785999999999994,30m,exclude
14,0.31324,30m,exclude
15,0.2817600000000001,30m,exclude
16,0.2524800000000001,30m,exclude
17,0.22783999999999993,30m,exclude
18,0.2266265060240963,30m,exclude
19,0.21002008032128514,30m,exclude
20,0.2098995983935742,30m,exclude
21,0.21218875502008042,30m,exclude
22,0.19736947791164663,30m,exclude
23,0.16961847389558243,30m,exclude
0,0.22543478260869554,30m,only
1,0.20956521739130426,30m,only
2,0.1886086956521739,30m,only
3,0.17373913043478265,30m,only
4,0.16078260869565217,30m,only
5,0.1612608695652176,30m,only
6,0.15273913043478266,30m,only
7,0.14913043478260882,30m,only
8,0.17034782608695645,30m,only
9,0.1577391304347825,30m,only
10,0.15765217391304356,30m,only
11,0.17060869565217393,30m,only
12,0.1888695652173913,30m,only
13,0.19473913043478275,30m,only
14,0.19834782608695672,30m,only
15,0.21686956521739134,30m,only
16,0.21800000000000014,30m,only
17,0.20700000000000007,30m,only
18,0.16978260869565234,30m,only
19,0.16456521739130434,30m,only
20,0.18604347826086937,30m,only
21,0.17904347826086964,30m,only
22,0.1948695652173912,30m,only
23,0.1760434782608696,30m,only
0,0.17523287671232865,15m,include
1,0.1714109589041095,15m,include
2,0.1516506849315069,15m,include
