hour,vol,freq,holiday_filter_type
0,447.0259615384615,1w,include
0,461.96152173913043,1w,exclude
0,332.52,1w,only
0,160.22430136986299,1d,include
0,176.31107999999995,1d,exclude
0,125.25304347826086,1d,only
0,63.81956164383561,4h,include
4,49.059890410958886,4h,include
8,51.74142465753425,4h,include
12,75.56408219178083,4h,include
16,68.15876712328767,4h,include
20,59.78414835164834,4h,include
0,71.89379999999998,4h,exclude
4,53.40327999999998,4h,exclude
8,56.102199999999996,4h,exclude
12,86.79375999999999,4h,exclude
16,74.83843999999999,4h,exclude
20,61.293574297188734,4h,exclude
0,46.266869565217405,4h,only
4,39.61773913043475,4h,only
8,42.261478260869595,4h,only
12,51.151739130434805,4h,only
16,53.637739130434795,4h,only
20,56.51591304347826,4h,only
0,31.0891506849315,1h,include
1,34.2346301369863,1h,include
2,30.486136986301375,1h,include
3,24.570164383561647,1h,include
4,23.430904109589008,1h,include
5,23.231068493150662,1h,include
6,23.676767123287657,1h,include
7,24.152109589041096,1h,include
8,26.231013698630132,1h,include
9,24.27153424657535,1h,include
10,24.30887671232877,1h,include
11,23.82112328767123,1h,include
12,29.15128767123286,1h,include
13,35.23539726027398,1h,include
14,42.87789041095892,1h,include
15,38.706520547945225,1h,include
16,34.781178082191786,1h,include
17,33.9348219178082,1h,include
18,31.764065934065936,1h,include
19,31.040961538461534,1h,include
20,31.123873626373612,1h,include
21,30.43706043956044,1h,include
22,29.986593406593382,1h,include
23,24.070164835164828,1h,include
0,34.410039999999995,1h,exclude
1,38.48571999999998,1h,exclude
2,34.368680000000005,1h,exclude
3,26.21296000000001,1h,exclude
4,25.237559999999963,1h,exclude
5,24.772239999999982,1h,exclude
6,26.42707999999998,1h,exclude
7,26.80792,1h,exclude
8,28.70039999999999,1h,exclude
9,26.048320000000007,1h,exclude
10,26.27228,1h,exclude
11,25.199520000000003,1h,exclude
12,32.351999999999975,1h,exclude
13,40.26256000000001,1h,exclude
14,50.08104000000001,1h,exclude
15,44.051040000000015,1h,exclude
16,37.370280000000015,1h,exclude
17,36.27755999999997,1h,exclude
18,35.892931726907634,1h,exclude
19,34.422730923694786,1h,exclude
20,34.153975903614445,1h,exclude
21,31.90353413654619,1h,exclude
22,29.69437751004013,1h,exclude
23,23.622449799196776,1h,exclude
0,23.86982608695651,1h,only
1,24.993130434782632,1h,only
2,22.04582608695652,1h,only
3,20.99886956521737,1h,only
4,19.503391304347804,1h,only
5,19.880695652173877,1h,only
6,17.69782608695652,1h,only
7,18.378608695652183,1h,only
8,20.86278260869565,1h,only
9,20.408956521739142,1h,only
10,20.04060869565219,1h,only
11,20.824608695652167,1h,only
12,22.19321739130436,1h,only
13,24.30678260869566,1h,only
14,27.218869565217425,1h,only
15,27.088000000000015,1h,only
16,29.152695652173904,1h,only
17,28.84191304347825,1h,only
18,22.824173913043477,1h,only
19,23.718695652173885,1h,only
20,24.563043478260862,1h,only
21,27.261826086956503,1h,only
22,30.619304347826088,1h,only
23,25.039565217391313,1h,only
0,21.18045205479451,30m,include
1,23.046684931506842,30m,include
2,20.809301369863018,30m,include
3,17.015753424657525,30m,include
4,16.181438356164364,30m,include
5,15.956999999999981,30m,include
6,16.331808219178075,30m,include
7,16.690589041095894,30m,include
8,18.090136986301363,30m,include
9,17.09682191780822,30m,include
10,17.20147945205479,30m,include
11,16.421424657534235,30m,include
12,19.98917808219177,30m,include
13,24.26187671232876,30m,include
14,29.33935616438356,30m,include
15,26.654808219178086,30m,include
16,24.33398630136986,30m,include
17,23.29090534979423,30m,include
18,21.929656593406595,30m,include
19,21.282802197802198,30m,include
20,21.719258241758233,30m,include
21,21.16369505494505,30m,include
22,20.72763736263735,30m,include
23,17.01773351648351,30m,include
0,23.346259999999994,30m,exclude
1,25.81279999999999,30m,exclude
2,23.48298,30m,exclude
3,18.233859999999996,30m,exclude
4,17.514419999999976,30m,exclude
5,17.03357999999999,30m,exclude
6,18.07845999999999,30m,exclude
7,18.487820000000003,30m,exclude
8,19.850779999999997,30m,exclude
9,18.38722,30m,exclude
10,18.410179999999993,30m,exclude
11,17.45047999999999,30m,exclude
12,22.22227999999998,30m,exclude
13,27.479959999999995,30m,exclude
14,34.066799999999986,30m,exclude
15,30.12872000000001,30m,exclude
16,26.256199999999996,30m,exclude
17,24.83993987975951,30m,exclude
18,24.66050200803213,30m,exclude
19,23.787108433734943,30m,exclude
20,23.74232931726906,30m,exclude
21,22.206445783132533,30m,exclude
22,20.753835341365445,30m,exclude
23,16.659618473895573,30m,exclude
0,16.47217391304347,30m,only
1,17.033391304347834,30m,only
2,14.996956521739143,30m,only
3,14.367695652173888,30m,only
4,13.283652173913026,30m,only
5,13.616608695652134,30m,only
6,12.53473913043479,30m,only
7,12.783565217391313,30m,only
8,14.262652173913033,30m,only
9,14.291608695652187,30m,only
10,14.573869565217393,30m,only
11,14.18434782608694,30m,only
12,15.134608695652181,30m,only
13,17.266043478260855,30m,only
14,19.06230434782611,30m,only
15,19.10282608695651,30m,only
16,20.155260869565204,30m,only
17,19.93017391304347,30m,only
18,16.01678260869566,30m,only
19,15.86043478260869,30m,only
20,17.33886956521739,30m,only
21,18.905913043478247,30m,only
22,20.67091304347826,30m,only
23,17.793130434782604,30m,only
0,14.755027397260267,15m,include
1,15.861595890410952,15m,include
2,14.186773972602746,15m,include
3,11.88906164383561,15m,include
4,11.107472602739719,15m,include
5,11.100041095890399,15m,include
6,11.28286986301369,15m,include
7,11.513,15m,include
8,12.478595890410956,15m,include
9,11.897246575342468,15m,include
10,11.90006164383561,15m,include
11,11.50161643835616,15m,include
12,13.89796575342465,15m,include
13,16.772445205479446,15m,include
14,20.18251369863013,15m,include
15,18.51831506849315,15m,include
16,17.00417123287671,15m,include
17,16.08094650205761,15m,include
18,15.256717032967032,15m,include
19,14.63585164835164,15m,include
20,14.956249999999995,15m,include
21,14.405295329670322,15m,include
22,14.165631868131861,15m,include
23,11.873784340659332,15m,include
0,16.178019999999997,15m,exclude
1,17.694539999999986,15m,exclude
2,15.879430000000005,15m,exclude
3,12.74801,15m,exclude
4,12.013369999999997,15m,exclude
5,11.905519999999994,15m,exclude
6,12.493979999999986,15m,exclude
7,12.674640000000002,15m,exclude
8,13.729129999999998,15m,exclude
9,12.77232,15m,exclude
10,12.825699999999989,15m,exclude
11,12.222369999999994,15m,exclude
12,15.390039999999988,15m,exclude
13,19.09163999999999,15m,exclude
14,23.33863999999999,15m,exclude
15,20.984990000000003,15m,exclude
16,18.4351,15m,exclude
17,17.088146292585165,15m,exclude
18,17.023192771084332,15m,exclude
19,16.410632530120477,15m,exclude
20,16.402028112449788,15m,exclude
21,15.212751004016063,15m,exclude
22,14.184859437750996,15m,exclude
23,11.64312248995983,15m,exclude
0,11.661565217391294,15m,only
1,11.876934782608704,15m,only
2,10.507086956521755,15m,only
3,10.021782608695633,15m,only
4,9.138130434782594,15m,only
5,9.348999999999975,15m,only
6,8.650021739130434,15m,only
7,8.987695652173914,15m,only
8,9.760043478260869,15m,only
9,9.994913043478268,15m,only
10,9.887804347826087,15m,only
11,9.934760869565213,15m,only
12,10.654326086956521,15m,only
13,11.730717391304342,15m,only
14,13.321369565217397,15m,only
15,13.155978260869563,15m,only
16,13.893456521739123,15m,only
17,13.895760869565217,15m,only
18,11.43191304347827,15m,only
19,10.793065217391288,15m,only
20,11.825826086956525,15m,only
21,12.656978260869547,15m,only
22,14.124,15m,only
23,12.373217391304342,15m,only
0,8.0782808219178,5m,include
1,8.477945205479445,5m,include
2,7.696924657534248,5m,include
3,6.457634703196341,5m,include
4,6.061050228310498,5m,include
5,5.919920091324196,5m,include
6,6.072824200913238,5m,include
7,6.287342465753422,5m,include
8,6.745557077625568,5m,include
9,6.509892694063926,5m,include
10,6.450534246575339,5m,include
11,6.320780821917803,5m,include
12,7.5539817351598115,5m,include
13,9.166239726027394,5m,include
14,11.120495433789948,5m,include
15,10.294385844748854,5m,include
16,9.48280136986301,5m,include
17,8.767382258802005,5m,include
18,8.477239010989004,5m,include
19,8.026943681318674,5m,include
20,8.13880494505494,5m,include
21,7.7439514652014605,5m,include
22,7.507543498168494,5m,include
23,6.5149793956043895,5m,include
0,8.829349999999993,5m,exclude
1,9.46342666666666,5m,exclude
2,8.621419999999999,5m,exclude
3,6.960469999999996,5m,exclude
4,6.558553333333331,5m,exclude
5,6.382576666666664,5m,exclude
6,6.699456666666663,5m,exclude
7,6.920526666666667,5m,exclude
8,7.455906666666661,5m,exclude
9,7.023690000000001,5m,exclude
10,6.975073333333327,5m,exclude
11,6.767463333333331,5m,exclude
12,8.374763333333325,5m,exclude
13,10.467493333333328,5m,exclude
14,12.915083333333323,5m,exclude
15,11.714836666666665,5m,exclude
16,10.32685333333333,5m,exclude
17,9.355587842351358,5m,exclude
18,9.429307228915654,5m,exclude
19,9.015224230254345,5m,exclude
20,8.961653279785802,5m,exclude
