hour,vol,freq,holiday_filter_type
0,0.43192307692307697,1w,include
0,0.4549130434782609,1w,exclude
0,0.25566666666666665,1w,only
0,0.15436164383561643,1d,include
0,0.164632,1d,exclude
0,0.13203478260869567,1d,only
0,0.06300821917808218,4h,include
4,0.052556164383561636,4h,include
8,0.05383287671232876,4h,include
12,0.07033150684931506,4h,include
16,0.0655945205479452,4h,include
20,0.055368131868131866,4h,include
0,0.06682799999999998,4h,exclude
4,0.056384,4h,exclude
8,0.05705599999999999,4h,exclude
12,0.078244,4h,exclude
16,0.06961599999999998,4h,exclude
20,0.056610441767068274,4h,exclude
0,0.05470434782608696,4h,only
4,0.04423478260869564,4h,only
8,0.046826086956521754,4h,only
12,0.053130434782608704,4h,only
16,0.05685217391304349,4h,only
20,0.052678260869565216,4h,only
0,0.03166575342465755,1h,include
1,0.03367123287671233,1h,include
2,0.02984657534246574,1h,include
3,0.02608493150684932,1h,include
4,0.025424657534246584,1h,include
5,0.025197260273972604,1h,include
6,0.02627945205479453,1h,include
7,0.025087671232876727,1h,include
8,0.028427397260273966,1h,include
9,0.025802739726027406,1h,include
10,0.025372602739726025,1h,include
11,0.025186301369863013,1h,include
12,0.031120547945205478,1h,include
13,0.03485479452054795,1h,include
14,0.038515068493150686,1h,include
15,0.03544109589041096,1h,include
16,0.03418356164383561,1h,include
17,0.032600000000000004,1h,include
18,0.030774725274725283,1h,include
19,0.027249999999999996,1h,include
20,0.028035714285714292,1h,include
21,0.026865384615384635,1h,include
22,0.027249999999999996,1h,include
23,0.023260989010989008,1h,include
0,0.033188000000000016,1h,exclude
1,0.035972000000000004,1h,exclude
2,0.031491999999999985,1h,exclude
3,0.026924000000000003,1h,exclude
4,0.02686000000000001,1h,exclude
5,0.02602400000000001,1h,exclude
6,0.028436000000000003,1h,exclude
7,0.026984000000000008,1h,exclude
8,0.030172000000000004,1h,exclude
9,0.026848000000000004,1h,exclude
10,0.026567999999999994,1h,exclude
11,0.02606399999999999,1h,exclude
12,0.033460000000000004,1h,exclude
13,0.0389,1h,exclude
14,0.043156,1h,exclude
15,0.038967999999999996,1h,exclude
16,0.035975999999999994,1h,exclude
17,0.033872,1h,exclude
18,0.03376706827309237,1h,exclude
19,0.029192771084337342,1h,exclude
20,0.029586345381526113,1h,exclude
21,0.02781927710843375,1h,exclude
22,0.027325301204819276,1h,exclude
23,0.02337751004016064,1h,exclude
0,0.028356521739130443,1h,only
1,0.02866956521739131,1h,only
2,0.026269565217391294,1h,only
3,0.0242608695652174,1h,only
4,0.02230434782608696,1h,only
5,0.023399999999999983,1h,only
6,0.0215913043478261,1h,only
7,0.02096521739130437,1h,only
8,0.024634782608695633,1h,only
9,0.02353043478260871,1h,only
10,0.022773913043478266,1h,only
11,0.02327826086956523,1h,only
12,0.02603478260869566,1h,only
13,0.026060869565217425,1h,only
14,0.02842608695652174,1h,only
15,0.027773913043478277,1h,only
16,0.03028695652173913,1h,only
17,0.029834782608695657,1h,only
18,0.024295652173913062,1h,only
19,0.023043478260869568,1h,only
20,0.024678260869565215,1h,only
21,0.024800000000000016,1h,only
22,0.027086956521739123,1h,only
23,0.023008695652173925,1h,only
0,0.021872602739726035,30m,include
1,0.023094520547945207,30m,include
2,0.02051232876712328,30m,include
3,0.018209589041095896,30m,include
4,0.017689041095890416,30m,include
5,0.017289041095890415,30m,include
6,0.01807123287671233,30m,include
7,0.017656164383561657,30m,include
