hour,vol,freq,holiday_filter_type
0,33.95846153846154,1w,include
0,34.77413043478261,1w,exclude
0,27.70500000000001,1w,only
0,12.268301369863014,1d,include
0,12.905040000000001,1d,exclude
0,10.88408695652174,1d,only
0,4.975491803278689,4h,include
4,4.11360655737705,4h,include
8,4.131092896174863,4h,include
12,5.943661202185793,4h,include
16,5.2401912568306015,4h,include
20,4.613479452054794,4h,include
0,5.382828685258965,4h,exclude
4,4.302988047808766,4h,exclude
8,4.334701195219123,4h,exclude
12,6.5554183266932275,4h,exclude
16,5.6117928286852585,4h,exclude
20,4.54632,4h,exclude
0,4.086434782608695,4h,only
4,3.700260869565218,4h,only
8,3.6866956521739134,4h,only
12,4.608434782608696,4h,only
16,4.429130434782611,4h,only
20,4.759478260869566,4h,only
0,2.508169398907104,1h,include
1,2.5827049180327863,1h,include
2,2.422786885245902,1h,include
3,2.183251366120218,1h,include
4,2.113770491803279,1h,include
5,2.003770491803279,1h,include
6,2.046256830601093,1h,include
7,1.9143989071038257,1h,include
8,2.120163934426229,1h,include
9,2.0115300546448096,1h,include
10,2.01103825136612,1h,include
11,1.982158469945355,1h,include
12,2.348415300546448,1h,include
13,2.829153005464481,1h,include
14,3.2886612021857924,1h,include
15,3.0845628415300546,1h,include
16,2.8367759562841535,1h,include
17,2.597650273224044,1h,include
18,2.5139617486338794,1h,include
19,2.383032786885246,1h,include
20,2.421448087431694,1h,include
21,2.3631420765027324,1h,include
22,2.2657377049180334,1h,include
23,1.9654794520547938,1h,include
0,2.667330677290837,1h,exclude
1,2.8030677290836645,1h,exclude
2,2.5726693227091633,1h,exclude
3,2.253904382470119,1h,exclude
4,2.1672908366533865,1h,exclude
5,2.1013545816733075,1h,exclude
6,2.168127490039841,1h,exclude
7,2.0323904382470124,1h,exclude
8,2.2853386454183267,1h,exclude
9,2.0845816733067735,1h,exclude
10,2.0843426294820717,1h,exclude
11,2.0951394422310754,1h,exclude
12,2.526095617529881,1h,exclude
13,3.179003984063745,1h,exclude
14,3.757689243027889,1h,exclude
15,3.3462948207171315,1h,exclude
16,2.9702390438247,1h,exclude
17,2.688446215139442,1h,exclude
18,2.7506374501992035,1h,exclude
19,2.580637450199203,1h,exclude
20,2.543426294820717,1h,exclude
21,2.4005179282868525,1h,exclude
22,2.1731474103585664,1h,exclude
23,1.886479999999999,1h,exclude
0,2.160782608695652,1h,only
1,2.1017391304347823,1h,only
2,2.0956521739130434,1h,only
3,2.0290434782608684,1h,only
4,1.9969565217391312,1h,only
5,1.790782608695652,1h,only
6,1.7802608695652176,1h,only
7,1.6568695652173924,1h,only
8,1.7596521739130426,1h,only
9,1.8520869565217406,1h,only
10,1.851043478260869,1h,only
11,1.7355652173913043,1h,only
12,1.9606086956521727,1h,only
13,2.065565217391305,1h,only
14,2.264956521739129,1h,only
15,2.5133043478260877,1h,only
16,2.5454782608695683,1h,only
17,2.3994782608695666,1h,only
18,1.997391304347825,1h,only
19,1.9517391304347824,1h,only
20,2.1552173913043475,1h,only
21,2.2815652173913055,1h,only
22,2.467826086956523,1h,only
23,2.1372173913043477,1h,only
0,1.7625136612021859,30m,include
1,1.804357923497268,30m,include
2,1.674125683060109,30m,include
3,1.498934426229508,30m,include
4,1.4408469945355196,30m,include
5,1.4063251366120222,30m,include
6,1.433306010928962,30m,include
7,1.3676092896174867,30m,include
8,1.4534426229508195,30m,include
9,1.418838797814208,30m,include
10,1.403456284153006,30m,include
11,1.3875,30m,include
12,1.63948087431694,30m,include
13,1.9638524590163937,30m,include
14,2.285437158469945,30m,include
15,2.1493579234972677,30m,include
16,2.001830601092896,30m,include
17,1.805286885245902,30m,include
18,1.7262021857923495,30m,include
19,1.6529371584699448,30m,include
20,1.718579234972677,30m,include
21,1.6610245901639347,30m,include
22,1.6120218579234975,30m,include
23,1.4116689466484267,30m,include
0,1.871175298804781,30m,exclude
1,1.960219123505976,30m,exclude
2,1.788247011952191,30m,exclude
3,1.560478087649402,30m,exclude
4,1.480776892430279,30m,exclude
5,1.4590239043824704,30m,exclude
6,1.5259561752988051,30m,exclude
7,1.4602191235059765,30m,exclude
