hour,vol,freq
0,461.96152173913043,1w
0,176.31107999999995,1d
0,71.89379999999998,4h
4,53.40327999999998,4h
8,56.102199999999996,4h
12,86.79375999999999,4h
16,74.83843999999999,4h
20,61.293574297188734,4h
0,34.410039999999995,1h
1,38.48571999999998,1h
2,34.368680000000005,1h
3,26.21296000000001,1h
4,25.237559999999963,1h
5,24.772239999999982,1h
6,26.42707999999998,1h
7,26.80792,1h
8,28.70039999999999,1h
9,26.048320000000007,1h
10,26.27228,1h
11,25.199520000000003,1h
12,32.351999999999975,1h
13,40.26256000000001,1h
14,50.08104000000001,1h
15,44.051040000000015,1h
16,37.370280000000015,1h
17,36.27755999999997,1h
18,35.892931726907634,1h
19,34.422730923694786,1h
20,34.153975903614445,1h
21,31.90353413654619,1h
22,29.69437751004013,1h
23,23.622449799196776,1h
0,23.346259999999994,30m
1,25.81279999999999,30m
2,23.48298,30m
3,18.233859999999996,30m
4,17.514419999999976,30m
5,17.03357999999999,30m
6,18.07845999999999,30m
7,18.487820000000003,30m
8,19.850779999999997,30m
9,18.38722,30m
10,18.410179999999993,30m
11,17.45047999999999,30m
12,22.22227999999998,30m
13,27.479959999999995,30m
14,34.066799999999986,30m
15,30.12872000000001,30m
16,26.256199999999996,30m
17,24.83993987975951,30m
18,24.66050200803213,30m
19,23.787108433734943,30m
20,23.74232931726906,30m
21,22.206445783132533,30m
22,20.753835341365445,30m
23,16.659618473895573,30m
0,16.178019999999997,15m
1,17.694539999999986,15m
2,15.879430000000005,15m
3,12.74801,15m
4,12.013369999999997,15m
5,11.905519999999994,15m
6,12.493979999999986,15m
7,12.674640000000002,15m
8,13.729129999999998,15m
9,12.77232,15m
10,12.825699999999989,15m
11,12.222369999999994,15m
12,15.390039999999988,15m
13,19.09163999999999,15m
14,23.33863999999999,15m
15,20.984990000000003,15m
16,18.4351,15m
17,17.088146292585165,15m
18,17.023192771084332,15m
19,16.410632530120477,15m
20,16.402028112449788,15m
21,15.212751004016063,15m
22,14.184859437750996,15m
23,11.64312248995983,15m
0,8.829349999999993,5m
1,9.46342666666666,5m
2,8.621419999999999,5m
3,6.960469999999996,5m
4,6.558553333333331,5m
5,6.382576666666664,5m
6,6.699456666666663,5m
7,6.920526666666667,5m
8,7.455906666666661,5m
9,7.023690000000001,5m
10,6.975073333333327,5m
11,6.767463333333331,5m
12,8.374763333333325,5m
13,10.467493333333328,5m
14,12.915083333333323,5m
15,11.714836666666665,5m
16,10.32685333333333,5m
17,9.355587842351358,5m
18,9.429307228915654,5m
19,9.015224230254345,5m
20,8.961653279785802,5m
21,8.219869477911642,5m
22,7.519999999999994,5m
23,6.3597824631860735,5m
0,3.489828666666662,1m
1,3.714755999999993,1m
2,3.3971826666666627,1m
3,2.7903299999999973,1m
4,2.566440666666666,1m
5,2.48553,1m
6,2.619494666666665,1m
7,2.7286573333333344,1m
8,2.9482173333333312,1m
9,2.7705286666666655,1m
10,2.755976666666665,1m
11,2.6797986666666658,1m
12,3.3291773333333308,1m
13,4.222896666666664,1m
14,5.22988666666666,1m
15,4.834131999999994,1m
16,4.231540666666663,1m
17,3.788795510722152,1m
18,3.8048567603748276,1m
19,3.682526773761709,1m
20,3.5535602409638516,1m
21,3.134095046854082,1m
22,2.8965066934404264,1m
23,2.503317938420343,1m
