hour,vol,freq
0,34.77413043478261,1w
0,12.905040000000001,1d
0,5.382828685258965,4h
4,4.302988047808766,4h
8,4.334701195219123,4h
12,6.5554183266932275,4h
16,5.6117928286852585,4h
20,4.54632,4h
0,2.667330677290837,1h
1,2.8030677290836645,1h
2,2.5726693227091633,1h
3,2.253904382470119,1h
4,2.1672908366533865,1h
5,2.1013545816733075,1h
6,2.168127490039841,1h
7,2.0323904382470124,1h
8,2.2853386454183267,1h
9,2.0845816733067735,1h
10,2.0843426294820717,1h
11,2.0951394422310754,1h
12,2.526095617529881,1h
13,3.179003984063745,1h
14,3.757689243027889,1h
15,3.3462948207171315,1h
16,2.9702390438247,1h
17,2.688446215139442,1h
18,2.7506374501992035,1h
19,2.580637450199203,1h
20,2.543426294820717,1h
21,2.4005179282868525,1h
22,2.1731474103585664,1h
23,1.886479999999999,1h
0,1.871175298804781,30m
1,1.960219123505976,30m
2,1.788247011952191,30m
3,1.560478087649402,30m
4,1.480776892430279,30m
5,1.4590239043824704,30m
6,1.5259561752988051,30m
7,1.4602191235059765,30m
8,1.5567330677290836,30m
9,1.4944223107569725,30m
10,1.4586454183266937,30m
11,1.4568924302788842,30m
12,1.7602589641434268,30m
13,2.1907968127490043,30m
14,2.5978286852589645,30m
15,2.352669322709163,30m
16,2.104820717131473,30m
17,1.8683665338645414,30m
18,1.867589641434263,30m
19,1.7995418326693224,30m
20,1.8049800796812747,30m
21,1.684501992031872,30m
22,1.5702191235059761,30m
23,1.3518163672654693,30m
0,1.3114641434262948,15m
1,1.3612250996015933,15m
2,1.2397609561752987,15m
3,1.0865737051792828,15m
4,1.0380776892430281,15m
5,1.0256274900398403,15m
6,1.0677091633466136,15m
7,1.0201792828685263,15m
8,1.0933466135458174,15m
9,1.0461852589641432,15m
10,1.020916334661355,15m
11,1.0227888446215136,15m
12,1.2318525896414345,15m
13,1.5229980079681278,15m
14,1.780159362549801,15m
15,1.6429581673306777,15m
16,1.475209163346613,15m
17,1.297420318725099,15m
18,1.301972111553785,15m
19,1.2600398406374502,15m
20,1.2534960159362551,15m
21,1.1654382470119522,15m
22,1.0846912350597608,15m
23,0.9521136590229308,15m
0,0.7231075697211151,5m
1,0.7449468791500663,5m
2,0.6852755644090309,5m
3,0.59601593625498,5m
4,0.5741467463479417,5m
5,0.5634661354581673,5m
6,0.5817397078353255,5m
7,0.5718891102257634,5m
8,0.6032503320053124,5m
9,0.5747841965471449,5m
10,0.5648970783532539,5m
11,0.5678353253652056,5m
12,0.6810192563081008,5m
13,0.8380876494023907,5m
14,0.9831175298804781,5m
15,0.9184362549800803,5m
16,0.8255810092961487,5m
17,0.7217994687915007,5m
18,0.7297177954847277,5m
19,0.7029780876494025,5m
20,0.7007470119521911,5m
21,0.6342729083665339,5m
22,0.5909661354581672,5m
23,0.5256117021276593,5m
0,0.2926042496679945,1m
1,0.3000458167330677,1m
2,0.27930610889774243,1m
3,0.24418924302788844,1m
4,0.23242828685258973,1m
5,0.2287250996015935,1m
6,0.2336985391766269,1m
7,0.23445617529880455,1m
8,0.24741102257636133,1m
9,0.2354661354581673,1m
10,0.2323300132802126,1m
11,0.23311088977423633,1m
12,0.2791666666666666,1m
13,0.34271381142098295,1m
14,0.40352191235059753,1m
15,0.384206507304117,1m
16,0.3417629482071713,1m
17,0.2994687915006641,1m
18,0.3019223107569721,1m
19,0.28922908366533845,1m
20,0.28422111553784846,1m
21,0.24808698539176638,1m
22,0.23338711819389116,1m
23,0.21466223404255305,1m
