hour,vol,freq
0,332.52,1w
0,125.25304347826086,1d
0,46.266869565217405,4h
4,39.61773913043475,4h
8,42.261478260869595,4h
12,51.151739130434805,4h
16,53.637739130434795,4h
20,56.51591304347826,4h
0,23.86982608695651,1h
1,24.993130434782632,1h
2,22.04582608695652,1h
3,20.99886956521737,1h
4,19.503391304347804,1h
5,19.880695652173877,1h
6,17.69782608695652,1h
7,18.378608695652183,1h
8,20.86278260869565,1h
9,20.408956521739142,1h
10,20.04060869565219,1h
11,20.824608695652167,1h
12,22.19321739130436,1h
13,24.30678260869566,1h
14,27.218869565217425,1h
15,27.088000000000015,1h
16,29.152695652173904,1h
17,28.84191304347825,1h
18,22.824173913043477,1h
19,23.718695652173885,1h
20,24.563043478260862,1h
21,27.261826086956503,1h
22,30.619304347826088,1h
23,25.039565217391313,1h
0,16.47217391304347,30m
1,17.033391304347834,30m
2,14.996956521739143,30m
3,14.367695652173888,30m
4,13.283652173913026,30m
5,13.616608695652134,30m
6,12.53473913043479,30m
7,12.783565217391313,30m
8,14.262652173913033,30m
9,14.291608695652187,30m
10,14.573869565217393,30m
11,14.18434782608694,30m
12,15.134608695652181,30m
13,17.266043478260855,30m
14,19.06230434782611,30m
15,19.10282608695651,30m
16,20.155260869565204,30m
17,19.93017391304347,30m
18,16.01678260869566,30m
19,15.86043478260869,30m
20,17.33886956521739,30m
21,18.905913043478247,30m
22,20.67091304347826,30m
23,17.793130434782604,30m
0,11.661565217391294,15m
1,11.876934782608704,15m
2,10.507086956521755,15m
3,10.021782608695633,15m
4,9.138130434782594,15m
5,9.348999999999975,15m
6,8.650021739130434,15m
7,8.987695652173914,15m
8,9.760043478260869,15m
9,9.994913043478268,15m
10,9.887804347826087,15m
11,9.934760869565213,15m
12,10.654326086956521,15m
13,11.730717391304342,15m
14,13.321369565217397,15m
15,13.155978260869563,15m
16,13.893456521739123,15m
17,13.895760869565217,15m
18,11.43191304347827,15m
19,10.793065217391288,15m
20,11.825826086956525,15m
21,12.656978260869547,15m
22,14.124,15m
23,12.373217391304342,15m
0,6.445521739130424,5m
1,6.33559420289855,5m
2,5.687152173913053,5m
3,5.36451449275361,5m
4,4.979521739130428,5m
5,4.9141449275362215,5m
6,4.710579710144924,5m
7,4.910855072463761,5m
8,5.201318840579712,5m
9,5.3929420289855035,5m
10,5.310231884057971,5m
11,5.349731884057962,5m
12,5.769673913043478,5m
13,6.337427536231883,5m
14,7.219217391304354,5m
15,7.206449275362312,5m
16,7.6479057971014415,5m
17,7.491231884057969,5m
18,6.415804347826082,5m
19,5.887101449275351,5m
20,6.35715942028985,5m
21,6.713485507246372,5m
22,7.480572463768115,5m
23,6.851014492753615,5m
0,2.5265579710144905,1m
1,2.5004362318840574,1m
2,2.197637681159426,1m
3,2.057247826086954,1m
4,1.8843550724637685,1m
5,1.848107246376814,1m
6,1.774288405797101,1m
7,1.847750724637682,1m
8,1.9908927536231886,1m
9,2.0364507246376795,1m
10,2.0285942028985557,1m
11,2.060107246376812,1m
12,2.244182608695653,1m
13,2.4846,1m
14,2.8510550724637653,1m
15,2.855647826086953,1m
16,2.9938710144927496,1m
17,2.962411594202897,1m
18,2.515997101449276,1m
19,2.312811594202894,1m
20,2.482518840579708,1m
21,2.4837507246376838,1m
22,2.7992463768115967,1m
23,2.7030681159420205,1m
