hour,vol,freq
0,27.70500000000001,1w
0,10.88408695652174,1d
0,4.086434782608695,4h
4,3.700260869565218,4h
8,3.6866956521739134,4h
12,4.608434782608696,4h
16,4.429130434782611,4h
20,4.759478260869566,4h
0,2.160782608695652,1h
1,2.1017391304347823,1h
2,2.0956521739130434,1h
3,2.0290434782608684,1h
4,1.9969565217391312,1h
5,1.790782608695652,1h
6,1.7802608695652176,1h
7,1.6568695652173924,1h
8,1.7596521739130426,1h
9,1.8520869565217406,1h
10,1.851043478260869,1h
11,1.7355652173913043,1h
12,1.9606086956521727,1h
13,2.065565217391305,1h
14,2.264956521739129,1h
15,2.5133043478260877,1h
16,2.5454782608695683,1h
17,2.3994782608695666,1h
18,1.997391304347825,1h
19,1.9517391304347824,1h
20,2.1552173913043475,1h
21,2.2815652173913055,1h
22,2.467826086956523,1h
23,2.1372173913043477,1h
0,1.5253478260869566,30m
1,1.464173913043479,30m
2,1.42504347826087,30m
3,1.3646086956521741,30m
4,1.3536956521739139,30m
5,1.2913043478260877,30m
6,1.2310869565217386,30m
7,1.1654782608695657,30m
8,1.2279999999999993,30m
9,1.2538695652173921,30m
10,1.2830000000000006,30m
11,1.2360434782608702,30m
12,1.375869565217391,30m
13,1.468521739130435,30m
14,1.6036086956521736,30m
15,1.7056086956521732,30m
16,1.777043478260871,30m
17,1.6676086956521756,30m
18,1.417608695652174,30m
19,1.3329565217391297,30m
20,1.5299999999999987,30m
21,1.6097826086956535,30m
22,1.703260869565219,30m
23,1.542043478260869,30m
0,1.0804130434782613,15m
1,1.0437826086956525,15m
2,0.9767826086956519,15m
3,0.9324782608695651,15m
4,0.9348695652173923,15m
5,0.9146739130434792,15m
6,0.8543478260869564,15m
7,0.8280000000000001,15m
8,0.8523695652173906,15m
9,0.890260869565218,15m
10,0.8870434782608697,15m
11,0.8847826086956526,15m
12,0.9701739130434776,15m
13,1.0092826086956523,15m
14,1.1250434782608694,15m
15,1.1847608695652163,15m
16,1.2252826086956523,15m
17,1.1700434782608702,15m
18,1.0008478260869567,15m
19,0.9246304347826086,15m
20,1.0437173913043474,15m
21,1.1133260869565218,15m
22,1.184695652173914,15m
23,1.0858260869565215,15m
0,0.6071014492753625,5m
1,0.5700942028985511,5m
2,0.5295072463768115,5m
3,0.5037898550724638,5m
4,0.5031231884057971,5m
5,0.4987971014492752,5m
6,0.468057971014493,5m
7,0.4637681159420289,5m
8,0.47408695652173916,5m
9,0.48801449275362346,5m
10,0.48514492753623173,5m
11,0.4883405797101452,5m
12,0.5332971014492757,5m
13,0.559688405797101,5m
14,0.6173333333333327,5m
15,0.6586014492753621,5m
16,0.6976956521739135,5m
17,0.6582608695652173,5m
18,0.5660144927536237,5m
19,0.5222536231884061,5m
20,0.5740652173913047,5m
21,0.5942971014492752,5m
22,0.6429420289855075,5m
23,0.6108695652173913,5m
0,0.24711594202898576,1m
1,0.23249420289855077,1m
2,0.21177971014492747,1m
3,0.20050000000000004,1m
4,0.20232318840579716,1m
5,0.19858985507246382,1m
6,0.18604057971014518,1m
7,0.18621014492753601,1m
8,0.1927173913043479,1m
9,0.19817971014492738,1m
10,0.1976014492753622,1m
11,0.1985159420289856,1m
12,0.21840144927536223,1m
13,0.22571884057970987,1m
14,0.24985072463768093,1m
15,0.2658753623188403,1m
16,0.2832927536231884,1m
17,0.26614347826086954,1m
18,0.23310144927536247,1m
19,0.21465072463768126,1m
20,0.23184347826086943,1m
21,0.2299028985507246,1m
22,0.2485666666666669,1m
23,0.24862898550724621,1m
