index,volatility,freq
count,52.0,1w
mean,78.37884615384617,1w
std,45.79190927997301,1w
min,16.600000000000023,1w
25%,46.300000000000026,1w
50%,68.15000000000003,1w
75%,99.65,1w
max,269.9,1w
count,365.0,1d
mean,28.42547945205479,1d
std,19.296288221414237,1d
min,5.0,1d
25%,15.5,1d
50%,23.0,1d
75%,34.700000000000045,1d
max,131.09999999999997,1d
count,2189.0,4h
mean,11.231932389218821,4h
std,9.173049357671559,4h
min,1.6000000000000227,4h
25%,5.600000000000023,4h
50%,8.599999999999966,4h
75%,13.800000000000068,4h
max,95.19999999999999,4h
count,8754.0,1h
mean,5.456008681745488,1h
std,4.684888343319213,1h
min,0.6999999999999886,1h
25%,2.6999999999999886,1h
50%,4.099999999999966,1h
75%,6.600000000000023,1h
max,68.40000000000003,1h
count,17508.0,30m
mean,3.782362348640621,30m
std,3.3361389550656795,30m
min,0.4000000000000341,30m
25%,1.8000000000000114,30m
50%,2.8000000000000114,30m
75%,4.5,30m
max,59.30000000000007,30m
count,35015.0,15m
mean,2.6286620019991425,15m
std,2.392388438960968,15m
min,0.10000000000002274,15m
25%,1.2999999999999545,15m
50%,1.900000000000034,15m
75%,3.1999999999999886,15m
max,59.30000000000007,15m
count,105043.0,5m
mean,1.4310501413706767,5m
std,1.3852307855065422,5m
min,0.0,5m
25%,0.6000000000000227,5m
50%,1.0,5m
75%,1.7000000000000455,5m
max,59.10000000000002,5m
count,525217.0,1m
mean,0.5451580965581841,1m
std,0.6232252100933583,1m
min,0.0,1m
25%,0.19999999999998863,1m
50%,0.39999999999997726,1m
75%,0.6999999999999886,1m
max,43.19999999999999,1m
