index,volatility,freq
count,52.0,1w
mean,4.396923076923077,1w
std,2.5913646480310057,1w
min,1.0599999999999987,1w
25%,2.522499999999999,1w
50%,3.965,1w
75%,5.520000000000003,1w
max,13.23,1w
count,365.0,1d
mean,1.5875068493150684,1d
std,1.1794725856543258,1d
min,0.3200000000000003,1d
25%,0.8200000000000003,1d
50%,1.240000000000002,1d
75%,2.0,1d
max,9.100000000000001,1d
count,2189.0,4h
mean,0.6225308359981727,4h
std,0.5426521720917978,4h
min,0.08999999999999986,4h
25%,0.29999999999999716,4h
50%,0.46000000000000085,4h
75%,0.759999999999998,4h
max,6.189999999999998,4h
count,8754.0,1h
mean,0.3019362577107608,1h
std,0.27644411812061137,1h
min,0.029999999999997584,1h
25%,0.14000000000000057,1h
50%,0.22000000000000242,1h
75%,0.36999999999999744,1h
max,4.469999999999999,1h
count,17508.0,30m
mean,0.20951507882111034,30m
std,0.19646362038232137,30m
min,0.019999999999999574,30m
25%,0.09999999999999787,30m
50%,0.15000000000000213,30m
75%,0.259999999999998,30m
max,4.469999999999999,30m
count,35015.0,15m
mean,0.14529658717692417,15m
std,0.1395573233468876,15m
min,0.00999999999999801,15m
25%,0.07000000000000028,15m
50%,0.10999999999999943,15m
75%,0.17999999999999972,15m
max,4.469999999999999,15m
count,105044.0,5m
mean,0.0786525646395796,5m
std,0.08016961280553803,5m
min,0.0,5m
25%,0.030000000000001137,5m
50%,0.05999999999999872,5m
75%,0.09999999999999787,5m
max,3.9800000000000004,5m
count,525219.0,1m
mean,0.029007671085775642,1m
std,0.035775189532641624,1m
min,0.0,1m
25%,0.00999999999999801,1m
50%,0.019999999999999574,1m
75%,0.03999999999999915,1m
max,2.2900000000000027,1m
