index,volatility,freq
count,52.0,1w
mean,447.0259615384615,1w
std,206.800080481833,1w
min,189.11000000000013,1w
25%,289.8625000000002,1w
50%,383.5350000000001,1w
75%,547.1324999999999,1w
max,1005.9000000000001,1w
count,365.0,1d
mean,160.224301369863,1d
std,96.36752390790006,1d
min,32.4699999999998,1d
25%,98.94000000000005,1d
50%,135.5999999999999,1d
75%,195.76000000000022,1d
max,795.9899999999998,1d
count,2189.0,4h
mean,61.355363179534024,4h
std,45.19925868288944,4h
min,8.359999999999673,4h
25%,33.48999999999978,4h
50%,50.629999999999654,4h
75%,74.48999999999978,4h
max,747.7399999999998,4h
count,8754.0,1h
mean,29.4420185058259,1h
std,23.494072640161423,1h
min,2.9100000000003092,1h
25%,15.400000000000091,1h
50%,23.34999999999991,1h
75%,35.9699999999998,1h
max,444.2800000000002,1h
count,17507.0,30m
mean,20.32185354429656,30m
std,16.73454278588192,30m
min,1.7999999999997272,30m
25%,10.5,30m
50%,16.039999999999964,30m
75%,24.835000000000036,30m
max,438.55999999999995,30m
count,35014.0,15m
mean,14.050739989718394,15m
std,11.981593769095095,15m
min,1.0499999999997272,15m
25%,7.230000000000018,15m
50%,11.0,15m
75%,17.2199999999998,15m
max,438.55999999999995,15m
count,105042.0,5m
mean,7.661279583404728,5m
std,6.895669857814419,5m
min,0.009999999999763531,5m
25%,3.7799999999997453,5m
50%,5.910000000000309,5m
75%,9.409999999999854,5m
max,379.22999999999956,5m
count,525209.0,1m
mean,3.028366821589119,1m
std,3.09364606414751,1m
min,0.009999999999763531,1m
25%,1.3099999999999454,1m
50%,2.2799999999997453,1m
75%,3.8099999999999454,1m
max,293.4499999999998,1m
