index,volatility,freq
count,24.0,1w
mean,0.106925,1w
std,0.06601598126672585,1w
min,0.01429999999999998,1w
25%,0.074525,1w
50%,0.10075,1w
75%,0.12737500000000002,1w
max,0.3617,1w
count,163.0,1d
mean,0.03687300613496932,1d
std,0.024360852174855195,1d
min,0.005199999999999982,1d
25%,0.021600000000000008,1d
50%,0.031200000000000006,1d
75%,0.04580000000000001,1d
max,0.18399999999999994,1d
count,973.0,4h
mean,0.01405601233299075,4h
std,0.010670049489042363,4h
min,0.0020999999999999908,4h
25%,0.007799999999999974,4h
50%,0.011199999999999988,4h
75%,0.016800000000000037,4h
max,0.12540000000000007,4h
count,3891.0,1h
mean,0.006696736057568748,1h
std,0.005331297428819033,1h
min,0.0009000000000000119,1h
25%,0.0036000000000000476,1h
50%,0.005300000000000082,1h
75%,0.008099999999999996,1h
max,0.0816,1h
count,7782.0,30m
mean,0.0046478925726034445,30m
std,0.0037996428453528955,30m
min,0.00040000000000001146,30m
25%,0.0025000000000000022,30m
50%,0.003699999999999981,30m
75%,0.005600000000000049,30m
max,0.0816,30m
count,15564.0,15m
mean,0.003220071960935492,15m
std,0.002722650528882224,15m
min,0.00029999999999996696,15m
25%,0.0017000000000000348,15m
50%,0.0025000000000000577,15m
75%,0.0039000000000000146,15m
max,0.07710000000000006,15m
count,46692.0,5m
mean,0.0017405337102715669,5m
std,0.0015603181279003461,5m
min,9.999999999998899e-05,5m
25%,0.0009000000000000119,5m
50%,0.0013999999999999568,5m
75%,0.0020999999999999908,5m
max,0.0706,5m
count,233460.0,1m
mean,0.0006694315942773924,1m
std,0.0006872217031999595,1m
min,0.0,1m
25%,0.00029999999999996696,1m
50%,0.0005000000000000004,1m
75%,0.0008000000000000229,1m
max,0.047700000000000076,1m
