index,volatility,freq
count,52.0,1w
mean,0.43192307692307697,1w
std,0.2493416308376487,1w
min,0.1070000000000001,1w
25%,0.276,1w
50%,0.39400000000000013,1w
75%,0.5057499999999999,1w
max,1.614,1w
count,365.0,1d
mean,0.15436164383561643,1d
std,0.10355285138641722,1d
min,0.029000000000000026,1d
25%,0.08700000000000019,1d
50%,0.127,1d
75%,0.18500000000000005,1d
max,0.9569999999999999,1d
count,2189.0,4h
mean,0.06011740520785747,4h
std,0.04739969119368462,4h
min,0.010000000000000009,4h
25%,0.03200000000000003,4h
50%,0.04799999999999982,4h
75%,0.07299999999999995,4h
max,0.8460000000000001,4h
count,8754.0,1h
mean,0.029092871830020565,1h
std,0.023597256507987968,1h
min,0.0040000000000000036,1h
25%,0.015000000000000124,1h
50%,0.02300000000000013,1h
75%,0.03500000000000014,1h
max,0.605,1h
count,17508.0,30m
mean,0.020259881197167012,30m
std,0.01668469767113096,30m
min,0.0029999999999998916,30m
25%,0.010999999999999899,30m
50%,0.016000000000000014,30m
75%,0.02499999999999991,30m
max,0.5509999999999997,30m
count,35015.0,15m
mean,0.014171555047836645,15m
std,0.01189398159172971,15m
min,0.0010000000000000009,15m
25%,0.007000000000000117,15m
50%,0.01100000000000012,15m
75%,0.017000000000000126,15m
max,0.5509999999999997,15m
count,105044.0,5m
mean,0.00781800959597883,5m
std,0.006763488015549414,5m
min,0.0,5m
25%,0.0040000000000000036,5m
50%,0.006000000000000005,5m
75%,0.009999999999999787,5m
max,0.3679999999999999,5m
count,525221.0,1m
mean,0.0030928713817612026,1m
std,0.003029669339981427,1m
min,0.0,1m
25%,0.001000000000000112,1m
50%,0.0020000000000000018,1m
75%,0.0040000000000000036,1m
max,0.3679999999999999,1m
