index,volatility,freq
count,52.0,1w
mean,33.958461538461535,1w
std,18.81791213696594,1w
min,12.610000000000014,1w
25%,22.87000000000002,1w
50%,29.025000000000006,1w
75%,39.005,1w
max,126.94999999999999,1w
count,365.0,1d
mean,12.268301369863014,1d
std,7.414169228476452,1d
min,2.3100000000000023,1d
25%,7.509999999999991,1d
50%,10.460000000000008,1d
75%,15.080000000000013,1d
max,59.14999999999998,1d
count,2195.0,4h
mean,4.836355353075171,4h
std,3.4383562142634903,4h
min,0.7600000000000193,4h
25%,2.7299999999999898,4h
50%,3.9000000000000057,4h
75%,5.865000000000009,4h
max,41.75,4h
count,8783.0,1h
mean,2.366629853125356,1h
std,1.8398986487133724,1h
min,0.29000000000002046,1h
25%,1.289999999999992,1h
50%,1.8700000000000045,1h
75%,2.8400000000000034,1h
max,28.160000000000025,1h
count,17567.0,30m
mean,1.6533027836283942,30m
std,1.3174472185476704,30m
min,0.18000000000000682,30m
25%,0.8900000000000148,30m
50%,1.3100000000000023,30m
75%,1.9899999999999807,30m
max,19.560000000000002,30m
count,35135.0,15m
mean,1.1530519425074712,15m
std,0.93863959772721,15m
min,0.11000000000001364,15m
25%,0.6199999999999761,15m
50%,0.9099999999999966,15m
75%,1.3799999999999955,15m
max,19.360000000000014,15m
count,105404.0,5m
mean,0.6373411824978179,5m
std,0.5463643527206756,5m
min,0.01999999999999602,5m
25%,0.3299999999999841,5m
50%,0.5,5m
75%,0.7700000000000102,5m
max,17.120000000000005,5m
count,527020.0,1m
mean,0.2593336116276421,1m
std,0.24301060305731248,1m
min,0.009999999999990905,1m
25%,0.12000000000000455,1m
50%,0.19999999999998863,1m
75%,0.3199999999999932,1m
max,11.139999999999986,1m
