index,volatility,freq,price_level
count,2.0,1w,3f-6
mean,151.54999999999998,1w,3f-6
std,8.838834764831804,1w,3f-6
min,145.3,1w,3f-6
25%,148.425,1w,3f-6
50%,151.54999999999998,1w,3f-6
75%,154.67499999999995,1w,3f-6
max,157.79999999999995,1w,3f-6
count,5.0,1w,3f-5
mean,148.26,1w,3f-5
std,73.88344198803951,1w,3f-5
min,69.0,1w,3f-5
25%,123.90000000000003,1w,3f-5
50%,138.59999999999997,1w,3f-5
75%,139.89999999999998,1w,3f-5
max,269.9,1w,3f-5
count,18.0,1w,3f-4
mean,76.99444444444445,1w,3f-4
std,30.738220550552025,1w,3f-4
min,35.900000000000034,1w,3f-4
25%,59.775000000000034,1w,3f-4
50%,71.04999999999998,1w,3f-4
75%,79.60000000000001,1w,3f-4
max,166.60000000000002,1w,3f-4
count,26.0,1w,3f-3
mean,61.426923076923075,1w,3f-3
std,31.894018971491292,1w,3f-3
min,16.600000000000023,1w,3f-3
25%,38.875,1w,3f-3
50%,51.650000000000006,1w,3f-3
75%,84.675,1w,3f-3
max,128.89999999999998,1w,3f-3
count,1.0,1w,3f-2
mean,48.30000000000001,1w,3f-2
std,,1w,3f-2
min,48.30000000000001,1w,3f-2
25%,48.30000000000001,1w,3f-2
50%,48.30000000000001,1w,3f-2
75%,48.30000000000001,1w,3f-2
max,48.30000000000001,1w,3f-2
count,13.0,1d,3f-6
mean,54.09999999999999,1d,3f-6
std,24.516830953449094,1d,3f-6
min,22.40000000000009,1d,3f-6
25%,34.89999999999998,1d,3f-6
50%,60.19999999999993,1d,3f-6
75%,74.5,1d,3f-6
max,92.5,1d,3f-6
count,30.0,1d,3f-5
mean,51.26666666666668,1d,3f-5
std,29.45606117982995,1d,3f-5
min,18.0,1d,3f-5
25%,27.200000000000017,1d,3f-5
50%,40.99999999999997,1d,3f-5
75%,77.375,1d,3f-5
max,131.09999999999997,1d,3f-5
count,127.0,1d,3f-4
mean,30.87244094488189,1d,3f-4
std,17.054453764364602,1d,3f-4
min,7.399999999999977,1d,3f-4
25%,19.950000000000017,1d,3f-4
50%,26.69999999999999,1d,3f-4
75%,35.79999999999998,1d,3f-4
max,108.70000000000005,1d,3f-4
count,188.0,1d,3f-3
mean,21.61170212765958,1d,3f-3
std,13.047899057493543,1d,3f-3
min,5.0,1d,3f-3
25%,13.375000000000014,1d,3f-3
50%,18.05000000000001,1d,3f-3
75%,25.299999999999997,1d,3f-3
max,90.60000000000002,1d,3f-3
count,7.0,1d,3f-2
mean,21.457142857142856,1d,3f-2
std,10.210755300638827,1d,3f-2
min,13.399999999999977,1d,3f-2
25%,14.75,1d,3f-2
50%,17.0,1d,3f-2
75%,24.150000000000006,1d,3f-2
max,42.0,1d,3f-2
count,83.0,4h,3f-6
mean,22.855421686746983,4h,3f-6
std,12.966497665532344,4h,3f-6
min,7.5,4h,3f-6
25%,14.099999999999909,4h,3f-6
50%,18.5,4h,3f-6
75%,29.400000000000034,4h,3f-6
max,64.5,4h,3f-6
count,185.0,4h,3f-5
mean,18.937297297297295,4h,3f-5
std,14.622747438689464,4h,3f-5
min,4.699999999999932,4h,3f-5
25%,10.699999999999989,4h,3f-5
50%,15.200000000000045,4h,3f-5
75%,21.100000000000023,4h,3f-5
max,95.19999999999999,4h,3f-5
count,3.0,4h,3f-7
mean,32.433333333333316,4h,3f-7
std,22.738147095428246,4h,3f-7
min,15.600000000000023,4h,3f-7
25%,19.5,4h,3f-7
50%,23.399999999999977,4h,3f-7
75%,40.849999999999966,4h,3f-7
max,58.299999999999955,4h,3f-7
count,738.0,4h,3f-4
mean,12.355962059620596,4h,3f-4
std,8.248173908090036,4h,3f-4
min,2.3000000000000114,4h,3f-4
25%,6.925000000000026,4h,3f-4
50%,10.099999999999966,4h,3f-4
75%,15.200000000000045,4h,3f-4
max,57.0,4h,3f-4
count,1148.0,4h,3f-3
mean,8.274564459930314,4h,3f-3
std,5.670603411752818,4h,3f-3
min,1.6000000000000227,4h,3f-3
25%,4.600000000000023,4h,3f-3
50%,6.7999999999999545,4h,3f-3
75%,9.725000000000037,4h,3f-3
max,49.0,4h,3f-3
count,32.0,4h,3f-2
mean,14.721875000000002,4h,3f-2
std,16.077568713142128,4h,3f-2
min,3.0,4h,3f-2
25%,7.825000000000017,4h,3f-2
50%,10.299999999999983,4h,3f-2
75%,15.549999999999983,4h,3f-2
max,90.60000000000002,4h,3f-2
count,346.0,1h,3f-6
mean,11.511560693641618,1h,3f-6
std,7.147597905453602,1h,3f-6
min,2.3999999999999773,1h,3f-6
25%,6.525000000000006,1h,3f-6
50%,9.899999999999977,1h,3f-6
75%,14.0,1h,3f-6
max,47.700000000000045,1h,3f-6
count,729.0,1h,3f-5
mean,9.269958847736627,1h,3f-5
std,7.069506963508514,1h,3f-5
min,2.1000000000000227,1h,3f-5
25%,5.099999999999909,1h,3f-5
50%,7.100000000000023,1h,3f-5
75%,10.799999999999955,1h,3f-5
max,68.40000000000003,1h,3f-5
count,7.0,1h,3f-7
mean,14.057142857142887,1h,3f-7
std,5.171027345656174,1h,3f-7
min,7.2000000000000455,1h,3f-7
25%,10.75,1h,3f-7
50%,14.100000000000023,1h,3f-7
75%,16.600000000000023,1h,3f-7
max,22.40000000000009,1h,3f-7
count,2945.0,1h,3f-4
mean,5.942003395585739,1h,3f-4
std,4.342358597137018,1h,3f-4
min,0.8000000000000114,1h,3f-4
25%,3.1999999999999886,1h,3f-4
50%,4.699999999999989,1h,3f-4
75%,7.300000000000011,1h,3f-4
max,47.30000000000001,1h,3f-4
count,4593.0,1h,3f-3
mean,4.046832135858915,1h,3f-3
std,3.14047410670593,1h,3f-3
min,0.6999999999999886,1h,3f-3
25%,2.1999999999999886,1h,3f-3
50%,3.1999999999999886,1h,3f-3
75%,4.800000000000011,1h,3f-3
max,63.19999999999999,1h,3f-3
count,134.0,1h,3f-2
mean,6.241791044776121,1h,3f-2
std,5.08026253698874,1h,3f-2
min,1.3000000000000114,1h,3f-2
25%,3.1999999999999886,1h,3f-2
50%,5.150000000000034,1h,3f-2
75%,7.574999999999974,1h,3f-2
max,39.60000000000002,1h,3f-2
count,681.0,30m,3f-6
mean,8.020411160058735,30m,3f-6
std,5.135700634496662,30m,3f-6
min,1.1000000000000227,30m,3f-6
25%,4.5,30m,3f-6
50%,6.599999999999909,30m,3f-6
75%,10.100000000000023,30m,3f-6
max,38.700000000000045,30m,3f-6
count,1470.0,30m,3f-5
mean,6.4393877551020395,30m,3f-5
std,4.94679448360473,30m,3f-5
min,0.7999999999999545,30m,3f-5
25%,3.5249999999999773,30m,3f-5
50%,5.0,30m,3f-5
75%,7.5,30m,3f-5
max,59.30000000000007,30m,3f-5
count,19.0,30m,3f-7
mean,10.910526315789477,30m,3f-7
std,4.13305035816864,30m,3f-7
min,5.2000000000000455,30m,3f-7
25%,7.699999999999989,30m,3f-7
50%,10.5,30m,3f-7
75%,13.350000000000023,30m,3f-7
max,20.200000000000045,30m,3f-7
count,5887.0,30m,3f-4
mean,4.1190759300152875,30m,3f-4
std,3.1323416722193853,30m,3f-4
min,0.4000000000000341,30m,3f-4
25%,2.1999999999999886,30m,3f-4
50%,3.2999999999999545,30m,3f-4
75%,5.0,30m,3f-4
max,47.30000000000001,30m,3f-4
count,9191.0,30m,3f-3
mean,2.8006419323251004,30m,3f-3
std,2.2614132295147904,30m,3f-3
min,0.5,30m,3f-3
25%,1.5,30m,3f-3
50%,2.1999999999999886,30m,3f-3
75%,3.3000000000000114,30m,3f-3
max,56.39999999999998,30m,3f-3
count,260.0,30m,3f-2
mean,4.218461538461537,30m,3f-2
std,3.2651969523309234,30m,3f-2
min,0.6999999999999886,30m,3f-2
25%,2.0,30m,3f-2
50%,3.3999999999999773,30m,3f-2
75%,5.424999999999983,30m,3f-2
max,25.80000000000001,30m,3f-2
count,1370.0,15m,3f-6
mean,5.6313868613138665,15m,3f-6
std,3.83975307796663,15m,3f-6
min,0.7999999999999545,15m,3f-6
25%,3.1000000000000227,15m,3f-6
50%,4.599999999999909,15m,3f-6
