index,volatility,freq,price_level
count,23.0,1w,3f-5
mean,62.9708695652174,1w,3f-5
std,26.222493278766237,1w,3f-5
min,31.399999999999977,1w,3f-5
25%,42.19999999999999,1w,3f-5
50%,65.20000000000005,1w,3f-5
75%,70.10000000000002,1w,3f-5
max,135.79999999999995,1w,3f-5
count,24.0,1w,3f-6
mean,79.87416666666665,1w,3f-6
std,32.388061664844905,1w,3f-6
min,27.899999999999977,1w,3f-6
25%,52.30499999999998,1w,3f-6
50%,73.875,1w,3f-6
75%,100.03749999999994,1w,3f-6
max,148.13,1w,3f-6
count,2.0,1w,3f-4
mean,122.49999999999997,1w,3f-4
std,15.556349186104006,1w,3f-4
min,111.5,1w,3f-4
25%,116.99999999999999,1w,3f-4
50%,122.49999999999997,1w,3f-4
75%,127.99999999999996,1w,3f-4
max,133.49999999999994,1w,3f-4
count,3.0,1w,3f-7
mean,101.86666666666667,1w,3f-7
std,68.47023027077776,1w,3f-7
min,34.09000000000003,1w,3f-7
25%,67.29500000000002,1w,3f-7
50%,100.5,1w,3f-7
75%,135.755,1w,3f-7
max,171.01,1w,3f-7
count,192.0,1d,3f-5
mean,23.965104166666663,1d,3f-5
std,12.206279689710463,1d,3f-5
min,5.600000000000023,1d,3f-5
25%,15.899999999999977,1d,3f-5
50%,21.399999999999977,1d,3f-5
75%,28.924999999999983,1d,3f-5
max,92.20000000000005,1d,3f-5
count,137.0,1d,3f-6
mean,30.622554744525555,1d,3f-6
std,17.89378338603847,1d,3f-6
min,7.2000000000000455,1d,3f-6
25%,17.389999999999986,1d,3f-6
50%,26.17999999999995,1d,3f-6
75%,38.960000000000036,1d,3f-6
max,119.19000000000005,1d,3f-6
count,28.0,1d,3f-7
mean,32.15678571428572,1d,3f-7
std,23.203185773217754,1d,3f-7
min,11.200000000000045,1d,3f-7
25%,18.43500000000006,1d,3f-7
50%,26.399999999999977,1d,3f-7
75%,34.65500000000003,1d,3f-7
max,127.15999999999997,1d,3f-7
count,8.0,1d,3f-4
mean,45.1,1d,3f-4
std,25.66220121947007,1d,3f-4
min,16.600000000000023,1d,3f-4
25%,30.574999999999974,1d,3f-4
50%,38.400000000000006,1d,3f-4
75%,49.60000000000004,1d,3f-4
max,99.89999999999998,1d,3f-4
count,1180.0,4h,3f-5
mean,9.504279661016948,4h,3f-5
std,6.879352192495311,4h,3f-5
min,1.6999999999999318,4h,3f-5
25%,5.5,4h,3f-5
50%,7.720000000000027,4h,3f-5
75%,11.317500000000052,4h,3f-5
max,118.89999999999998,4h,3f-5
count,780.0,4h,3f-6
mean,11.895358974358976,4h,3f-6
std,8.006825281625932,4h,3f-6
min,1.7000000000000455,4h,3f-6
25%,6.53249999999997,4h,3f-6
50%,9.989999999999952,4h,3f-6
75%,14.862500000000011,4h,3f-6
max,77.36000000000001,4h,3f-6
count,189.0,4h,3f-7
mean,13.09973544973545,4h,3f-7
std,8.65134459072769,4h,3f-7
min,2.240000000000009,4h,3f-7
25%,7.690000000000055,4h,3f-7
50%,10.779999999999973,4h,3f-7
75%,15.940000000000055,4h,3f-7
max,62.23000000000002,4h,3f-7
count,46.0,4h,3f-4
mean,17.769565217391303,4h,3f-4
std,14.155562229349474,4h,3f-4
min,5.099999999999966,4h,3f-4
25%,7.75,4h,3f-4
50%,15.199999999999989,4h,3f-4
75%,21.500000000000014,4h,3f-4
max,67.89999999999998,4h,3f-4
count,3156.0,1h,3f-6
mean,5.772088086185045,1h,3f-6
std,4.168486472773586,1h,3f-6
min,0.6399999999999864,1h,3f-6
25%,3.1700000000000443,1h,3f-6
50%,4.7000000000000455,1h,3f-6
75%,7.029999999999973,1h,3f-6
max,56.10000000000002,1h,3f-6
count,4699.0,1h,3f-5
mean,4.54880187273888,1h,3f-5
std,3.455309367563682,1h,3f-5
min,0.6000000000000227,1h,3f-5
25%,2.599999999999909,1h,3f-5
50%,3.6000000000000227,1h,3f-5
75%,5.5,1h,3f-5
max,77.16999999999996,1h,3f-5
count,746.0,1h,3f-7
mean,6.424892761394101,1h,3f-7
std,4.81747432245828,1h,3f-7
min,1.1600000000000819,1h,3f-7
25%,3.412500000000051,1h,3f-7
50%,4.980000000000018,1h,3f-7
75%,7.600000000000023,1h,3f-7
max,38.960000000000036,1h,3f-7
count,182.0,1h,3f-4
mean,8.002747252747252,1h,3f-4
std,6.56243647751361,1h,3f-4
min,1.599999999999966,1h,3f-4
25%,3.8000000000000114,1h,3f-4
50%,5.849999999999994,1h,3f-4
75%,9.599999999999966,1h,3f-4
max,46.10000000000002,1h,3f-4
count,6309.0,30m,3f-6
mean,3.998744650499287,30m,3f-6
std,2.94358385845796,30m,3f-6
min,0.1999999999999318,30m,3f-6
25%,2.17999999999995,30m,3f-6
50%,3.240000000000009,30m,3f-6
75%,4.889999999999986,30m,3f-6
max,56.10000000000002,30m,3f-6
count,9400.0,30m,3f-5
mean,3.1655606382978725,30m,3f-5
std,2.47932025847469,30m,3f-5
min,0.39999999999997726,30m,3f-5
25%,1.7899999999999636,30m,3f-5
50%,2.5,30m,3f-5
75%,3.7999999999999545,30m,3f-5
max,65.8599999999999,30m,3f-5
