index,volatility,freq,price_level
count,24.0,1w,5f-6
mean,6138.697916666669,1w,5f-6
std,1786.9782069885446,1w,5f-6
min,3959.25,1w,5f-6
25%,4936.127500000004,1w,5f-6
50%,5930.990000000005,1w,5f-6
75%,7003.225,1w,5f-6
max,12137.420000000006,1w,5f-6
count,7.0,1w,5f-5
mean,9053.19142857143,1w,5f-5
std,3306.255206324465,1w,5f-5
min,5721.459999999999,1w,5f-5
25%,6646.345000000001,1w,5f-5
50%,7280.0,1w,5f-5
75%,11666.525000000005,1w,5f-5
max,13745.14,1w,5f-5
count,6.0,1w,5f-8
mean,10725.706666666667,1w,5f-8
std,3754.3397129544223,1w,5f-8
min,6319.009999999995,1w,5f-8
25%,7576.249999999996,1w,5f-8
50%,10876.670000000006,1w,5f-8
75%,14074.752500000006,1w,5f-8
max,14665.0,1w,5f-8
count,11.0,1w,5f-9
mean,10133.250000000002,1w,5f-9
std,4110.851866912744,1w,5f-9
min,4737.770000000004,1w,5f-9
25%,7445.080000000002,1w,5f-9
50%,10211.11,1w,5f-9
75%,11394.86,1w,5f-9
max,18241.479999999996,1w,5f-9
count,4.0,1w,6f-1
mean,12972.922499999997,1w,6f-1
std,3166.4825377735747,1w,6f-1
min,10038.0,1w,6f-1
25%,10834.462499999998,1w,6f-1
50%,12343.974999999999,1w,6f-1
75%,14482.434999999998,1w,6f-1
max,17165.73999999999,1w,6f-1
count,163.0,1d,5f-6
mean,2395.306441717791,1d,5f-6
std,1272.4258945332022,1d,5f-6
min,414.179999999993,1d,5f-6
25%,1512.4099999999962,1d,5f-6
50%,2242.75,1d,5f-6
75%,2849.375,1d,5f-6
max,8015.139999999999,1d,5f-6
count,16.0,1d,5f-7
mean,3143.8049999999994,1d,5f-7
std,1859.0142639115684,1d,5f-7
min,1185.3399999999965,1d,5f-7
25%,1629.332500000004,1d,5f-7
50%,2656.094999999994,1d,5f-7
75%,3781.092499999999,1d,5f-7
max,7102.0,1d,5f-7
count,45.0,1d,5f-5
mean,2763.42911111111,1d,5f-5
std,1409.2961682501823,1d,5f-5
min,718.3799999999974,1d,5f-5
25%,1876.0699999999997,1d,5f-5
50%,2457.0,1d,5f-5
75%,3366.8199999999997,1d,5f-5
max,9305.589999999997,1d,5f-5
count,37.0,1d,5f-8
mean,4187.745405405406,1d,5f-8
std,2208.2947637809116,1d,5f-8
min,914.0699999999924,1d,5f-8
25%,2415.0,1d,5f-8
50%,3930.6699999999983,1d,5f-8
75%,5121.789999999994,1d,5f-8
max,9314.529999999999,1d,5f-8
count,76.0,1d,5f-9
mean,3716.438157894736,1d,5f-9
std,2112.5512299723982,1d,5f-9
min,748.679999999993,1d,5f-9
25%,2232.8924999999945,1d,5f-9
50%,3404.590000000004,1d,5f-9
75%,4690.2425,1d,5f-9
max,13588.0,1d,5f-9
count,28.0,1d,6f-1
mean,4544.6925,1d,6f-1
std,2299.871015819065,1d,6f-1
min,1180.4300000000076,1d,6f-1
25%,3018.5224999999955,1d,6f-1
50%,4097.4000000000015,1d,6f-1
75%,5669.4025,1d,6f-1
