index,volatility,freq,price_level
count,5.0,1w,2f-3
mean,7.508000000000001,1w,2f-3
std,1.4890164539050603,1w,2f-3
min,5.859999999999999,1w,2f-3
25%,6.620000000000001,1w,2f-3
50%,6.890000000000004,1w,2f-3
75%,9.02,1w,2f-3
max,9.150000000000002,1w,2f-3
count,31.0,1w,2f-2
mean,4.737096774193549,1w,2f-2
std,2.6294894226172336,1w,2f-2
min,1.8399999999999999,1w,2f-2
25%,3.080000000000002,1w,2f-2
50%,4.199999999999999,1w,2f-2
75%,5.220000000000001,1w,2f-2
max,13.23,1w,2f-2
count,16.0,1w,2f-1
mean,2.765625,1w,2f-1
std,1.4518768026247955,1w,2f-1
min,1.0599999999999987,1w,2f-1
25%,1.615000000000001,1w,2f-1
50%,2.5999999999999996,1w,2f-1
75%,3.1200000000000014,1w,2f-1
max,5.919999999999998,1w,2f-1
count,41.0,1d,2f-3
mean,2.841463414634146,1d,2f-3
std,1.6448427903231508,1d,2f-3
min,0.9099999999999966,1d,2f-3
25%,1.7800000000000011,1d,2f-3
50%,2.3500000000000014,1d,2f-3
75%,3.289999999999999,1d,2f-3
max,9.100000000000001,1d,2f-3
count,201.0,1d,2f-2
mean,1.7198507462686565,1d,2f-2
std,1.1029743775863246,1d,2f-2
min,0.34999999999999787,1d,2f-2
25%,1.009999999999998,1d,2f-2
50%,1.4199999999999982,1d,2f-2
75%,2.0500000000000007,1d,2f-2
max,7.280000000000001,1d,2f-2
count,123.0,1d,2f-1
mean,0.9532520325203253,1d,2f-1
std,0.5535303920972571,1d,2f-1
min,0.3200000000000003,1d,2f-1
25%,0.6050000000000004,1d,2f-1
50%,0.8000000000000007,1d,2f-1
75%,1.0600000000000005,1d,2f-1
max,3.450000000000001,1d,2f-1
count,259.0,4h,2f-3
mean,1.1516216216216217,4h,2f-3
std,0.7477763390039192,4h,2f-3
min,0.21999999999999886,4h,2f-3
25%,0.6600000000000001,4h,2f-3
50%,0.9500000000000028,4h,2f-3
75%,1.4299999999999997,4h,2f-3
max,6.189999999999998,4h,2f-3
count,1185.0,4h,2f-2
mean,0.6600759493670887,4h,2f-2
std,0.5039424747681728,4h,2f-2
min,0.10000000000000142,4h,2f-2
25%,0.34999999999999787,4h,2f-2
50%,0.5199999999999996,4h,2f-2
75%,0.8000000000000007,4h,2f-2
max,6.030000000000001,4h,2f-2
count,745.0,4h,2f-1
mean,0.3788724832214766,4h,2f-1
std,0.32984815031466047,4h,2f-1
min,0.08999999999999986,4h,2f-1
25%,0.21000000000000085,4h,2f-1
50%,0.2900000000000027,4h,2f-1
75%,0.4400000000000013,4h,2f-1
max,5.430000000000003,4h,2f-1
count,1045.0,1h,2f-3
mean,0.5685454545454547,1h,2f-3
std,0.3988549091998553,1h,2f-3
min,0.10999999999999943,1h,2f-3
25%,0.3200000000000003,1h,2f-3
50%,0.45000000000000284,1h,2f-3
75%,0.6799999999999997,1h,2f-3
max,4.469999999999999,1h,2f-3
count,4724.0,1h,2f-2
mean,0.3160372565622354,1h,2f-2
std,0.25518755788209724,1h,2f-2
min,0.03999999999999915,1h,2f-2
25%,0.16999999999999815,1h,2f-2
50%,0.25,1h,2f-2
75%,0.379999999999999,1h,2f-2
max,4.219999999999999,1h,2f-2
count,2985.0,1h,2f-1
mean,0.18628475711892795,1h,2f-1
std,0.16386184140462678,1h,2f-1
min,0.029999999999997584,1h,2f-1
25%,0.10000000000000142,1h,2f-1
50%,0.14000000000000057,1h,2f-1
75%,0.21999999999999886,1h,2f-1
max,3.9299999999999997,1h,2f-1
count,2091.0,30m,2f-3
mean,0.3952271640363464,30m,2f-3
std,0.28784662241701164,30m,2f-3
min,0.03999999999999915,30m,2f-3
25%,0.22000000000000242,30m,2f-3
50%,0.3200000000000003,30m,2f-3
75%,0.4800000000000004,30m,2f-3
max,4.469999999999999,30m,2f-3
count,9457.0,30m,2f-2
mean,0.21902611821930845,30m,2f-2
std,0.18157101671382103,30m,2f-2
min,0.019999999999999574,30m,2f-2
25%,0.11000000000000298,30m,2f-2
50%,0.1700000000000017,30m,2f-2
75%,0.2699999999999996,30m,2f-2
max,3.75,30m,2f-2
count,5960.0,30m,2f-1
mean,0.12926845637583892,30m,2f-1
std,0.11548129980258458,30m,2f-1
min,0.019999999999999574,30m,2f-1
25%,0.07000000000000028,30m,2f-1
50%,0.10000000000000142,30m,2f-1
75%,0.15000000000000213,30m,2f-1
max,3.3099999999999987,30m,2f-1
count,4193.0,15m,2f-3
mean,0.2742761745766754,15m,2f-3
std,0.20582223636968283,15m,2f-3
min,0.02999999999999403,15m,2f-3
25%,0.14999999999999858,15m,2f-3
50%,0.21999999999999886,15m,2f-3
75%,0.3300000000000054,15m,2f-3
max,4.469999999999999,15m,2f-3
count,18898.0,15m,2f-2
mean,0.15180654037464283,15m,2f-2
