index,volatility,freq,price_level
count,26.0,1w,4位-3
mean,475.026923076923,1w,4位-3
std,216.5294498172335,1w,4位-3
min,247.69999999999982,1w,4位-3
25%,311.62749999999994,1w,4位-3
50%,435.5799999999999,1w,4位-3
75%,496.5775000000001,1w,4位-3
max,1005.9000000000001,1w,4位-3
count,23.0,1w,4位-2
mean,416.19043478260863,1w,4位-2
std,205.85490146919807,1w,4位-2
min,189.11000000000013,1w,4位-2
25%,260.92499999999995,1w,4位-2
50%,353.5,1w,4位-2
75%,573.4999999999999,1w,4位-2
max,795.9899999999998,1w,4位-2
count,1.0,1w,4位-4
mean,587.73,1w,4位-4
std,,1w,4位-4
min,587.73,1w,4位-4
25%,587.73,1w,4位-4
50%,587.73,1w,4位-4
75%,587.73,1w,4位-4
max,587.73,1w,4位-4
count,2.0,1w,4位-1
mean,367.2700000000001,1w,4位-1
std,43.62848839921001,1w,4位-1
min,336.4200000000001,1w,4位-1
25%,351.8450000000001,1w,4位-1
50%,367.2700000000001,1w,4位-1
75%,382.6950000000001,1w,4位-1
max,398.1200000000001,1w,4位-1
count,195.0,1d,4位-3
mean,175.44661538461537,1d,4位-3
std,91.70562500499896,1d,4位-3
min,36.460000000000036,1d,4位-3
25%,115.31000000000017,1d,4位-3
50%,153.02999999999975,1d,4位-3
75%,211.16499999999996,1d,4位-3
max,646.3299999999999,1d,4位-3
count,153.0,1d,4位-2
mean,146.34973856209146,1d,4位-2
std,100.91977291098549,1d,4位-2
min,32.4699999999998,1d,4位-2
25%,85.38999999999987,1d,4位-2
50%,122.64000000000033,1d,4位-2
75%,166.80000000000018,1d,4位-2
max,795.9899999999998,1d,4位-2
count,1.0,1d,4位-4
mean,92.07999999999993,1d,4位-4
std,,1d,4位-4
min,92.07999999999993,1d,4位-4
25%,92.07999999999993,1d,4位-4
50%,92.07999999999993,1d,4位-4
75%,92.07999999999993,1d,4位-4
max,92.07999999999993,1d,4位-4
count,16.0,1d,4位-1
mean,111.63687500000002,1d,4位-1
std,74.69517054613819,1d,4位-1
min,42.26999999999998,1d,4位-1
25%,70.28750000000008,1d,4位-1
50%,82.82500000000005,1d,4位-1
75%,119.86999999999989,1d,4位-1
max,342.3900000000001,1d,4位-1
count,1175.0,4h,4位-3
mean,67.4163914893617,4h,4位-3
std,42.967126139703694,4h,4位-3
min,10.849999999999909,4h,4位-3
25%,39.72499999999991,4h,4位-3
50%,56.24000000000024,4h,4位-3
75%,83.41499999999996,4h,4位-3
max,403.0,4h,4位-3
count,915.0,4h,4位-2
mean,55.585836065573766,4h,4位-2
std,47.8035425181192,4h,4位-2
min,8.359999999999673,4h,4位-2
25%,29.079999999999927,4h,4位-2
50%,43.75,4h,4位-2
75%,66.58500000000004,4h,4位-2
max,747.7399999999998,4h,4位-2
count,6.0,4h,4位-4
mean,77.97333333333336,4h,4位-4
std,53.43133075889718,4h,4位-4
min,32.26000000000022,4h,4位-4
25%,35.867499999999836,4h,4位-4
50%,66.96499999999992,4h,4位-4
75%,97.55250000000012,4h,4位-4
max,168.4000000000001,4h,4位-4
count,93.0,4h,4位-1
mean,40.47043010752689,4h,4位-1
std,30.18858227563852,4h,4位-1
min,9.86999999999989,4h,4位-1
25%,23.430000000000064,4h,4位-1
50%,31.450000000000045,4h,4位-1
75%,49.65000000000009,4h,4位-1
max,215.28999999999996,4h,4位-1
count,4693.0,1h,4位-3
mean,32.37532069038994,1h,4位-3
std,23.079237220367357,1h,4位-3
min,4.099999999999909,1h,4位-3
25%,18.13000000000011,1h,4位-3
50%,26.109999999999673,1h,4位-3
75%,39.820000000000164,1h,4位-3
max,315.6300000000001,1h,4位-3
count,3653.0,1h,4位-2
mean,26.58329592116068,1h,4位-2
std,24.086591067529902,1h,4位-2
min,2.9100000000003092,1h,4位-2
25%,13.529999999999745,1h,4位-2
50%,20.179999999999836,1h,4位-2
75%,31.649999999999636,1h,4位-2
max,444.2800000000002,1h,4位-2
count,35.0,1h,4位-4
mean,35.51799999999995,1h,4位-4
std,16.75511525053841,1h,4位-4
