index,volatility,freq,price_level
count,1.0,1w,1f-3
mean,0.8440000000000003,1w,1f-3
std,,1w,1f-3
min,0.8440000000000003,1w,1f-3
25%,0.8440000000000003,1w,1f-3
50%,0.8440000000000003,1w,1f-3
75%,0.8440000000000003,1w,1f-3
max,0.8440000000000003,1w,1f-3
count,15.0,1w,1f-2
mean,0.5939333333333333,1w,1f-2
std,0.3141661222680644,1w,1f-2
min,0.30799999999999983,1w,1f-2
25%,0.43900000000000006,1w,1f-2
50%,0.5209999999999999,1w,1f-2
75%,0.651,1w,1f-2
max,1.614,1w,1f-2
count,32.0,1w,1f-1
mean,0.37124999999999997,1w,1f-1
std,0.1683717086035077,1w,1f-1
min,0.16799999999999993,1w,1f-1
25%,0.2629999999999999,1w,1f-1
50%,0.35550000000000004,1w,1f-1
75%,0.44450000000000023,1w,1f-1
max,1.0239999999999998,1w,1f-1
count,4.0,1w,1f-0
mean,0.20675000000000004,1w,1f-0
std,0.09306046421547653,1w,1f-0
min,0.1070000000000001,1w,1f-0
25%,0.17000000000000007,1w,1f-0
50%,0.19400000000000006,1w,1f-0
75%,0.23075000000000004,1w,1f-0
max,0.33199999999999996,1w,1f-0
count,8.0,1d,1f-3
mean,0.2799999999999999,1d,1f-3
std,0.08030477658805325,1d,1f-3
min,0.19099999999999984,1d,1f-3
25%,0.22050000000000003,1d,1f-3
50%,0.2619999999999998,1d,1f-3
75%,0.33000000000000007,1d,1f-3
max,0.3929999999999998,1d,1f-3
count,101.0,1d,1f-2
mean,0.22146534653465344,1d,1f-2
std,0.14262142646576184,1d,1f-2
min,0.0389999999999997,1d,1f-2
25%,0.1280000000000001,1d,1f-2
50%,0.18299999999999983,1d,1f-2
75%,0.27200000000000024,1d,1f-2
max,0.9569999999999999,1d,1f-2
count,227.0,1d,1f-1
mean,0.13026431718061673,1d,1f-1
std,0.06254669551089474,1d,1f-1
min,0.04200000000000004,1d,1f-1
25%,0.08400000000000007,1d,1f-1
50%,0.1180000000000001,1d,1f-1
75%,0.15700000000000003,1d,1f-1
max,0.42599999999999993,1d,1f-1
count,29.0,1d,1f-0
mean,0.07462068965517243,1d,1f-0
std,0.03900221037060723,1d,1f-0
min,0.029000000000000026,1d,1f-0
25%,0.04700000000000004,1d,1f-0
50%,0.06900000000000006,1d,1f-0
75%,0.08899999999999986,1d,1f-0
max,0.21099999999999997,1d,1f-0
count,53.0,4h,1f-3
mean,0.09924528301886788,4h,1f-3
std,0.046474105966646924,4h,1f-3
min,0.0389999999999997,4h,1f-3
25%,0.06799999999999962,4h,1f-3
50%,0.08499999999999996,4h,1f-3
75%,0.11699999999999999,4h,1f-3
max,0.27700000000000014,4h,1f-3
count,602.0,4h,1f-2
mean,0.08580066445182723,4h,1f-2
std,0.06615380756840357,4h,1f-2
min,0.01499999999999968,4h,1f-2
25%,0.04899999999999993,4h,1f-2
50%,0.07000000000000028,4h,1f-2
75%,0.1030000000000002,4h,1f-2
max,0.8460000000000001,4h,1f-2
count,1365.0,4h,1f-1
mean,0.05094871794871796,4h,1f-1
std,0.030799279353458622,4h,1f-1
min,0.01200000000000001,4h,1f-1
25%,0.030999999999999917,4h,1f-1
50%,0.04299999999999993,4h,1f-1
75%,0.06299999999999994,4h,1f-1
max,0.29899999999999993,4h,1f-1
count,169.0,4h,1f-0
mean,0.030414201183431962,4h,1f-0
std,0.02859664127767536,4h,1f-0
min,0.010000000000000009,4h,1f-0
25%,0.017000000000000015,4h,1f-0
50%,0.025000000000000022,4h,1f-0
75%,0.03400000000000003,4h,1f-0
max,0.3320000000000001,4h,1f-0
count,212.0,1h,1f-3
mean,0.04589622641509434,1h,1f-3
std,0.02660200941891135,1h,1f-3
min,0.013000000000000345,1h,1f-3
25%,0.029749999999999943,1h,1f-3
50%,0.03950000000000009,1h,1f-3
75%,0.053999999999999826,1h,1f-3
max,0.254,1h,1f-3
count,2406.0,1h,1f-2
mean,0.04165586034912718,1h,1f-2
std,0.03234810050025609,1h,1f-2
min,0.006000000000000227,1h,1f-2
25%,0.02300000000000013,1h,1f-2
50%,0.03399999999999981,1h,1f-2
75%,0.05099999999999971,1h,1f-2
max,0.605,1h,1f-2
count,5461.0,1h,1f-1
mean,0.024667643288774955,1h,1f-1
std,0.016065375667637865,1h,1f-1
min,0.004999999999999893,1h,1f-1
25%,0.014999999999999902,1h,1f-1
50%,0.020999999999999908,1h,1f-1
75%,0.030000000000000027,1h,1f-1
max,0.31299999999999994,1h,1f-1
count,675.0,1h,1f-0
mean,0.014837037037037041,1h,1f-0
std,0.013068415844757333,1h,1f-0
min,0.0040000000000000036,1h,1f-0
25%,0.009000000000000008,1h,1f-0
50%,0.01200000000000001,1h,1f-0
75%,0.016999999999999904,1h,1f-0
max,0.21499999999999997,1h,1f-0
count,422.0,30m,1f-3
mean,0.0318436018957346,30m,1f-3
std,0.018195538444892724,30m,1f-3
min,0.008999999999999897,30m,1f-3
25%,0.021999999999999797,30m,1f-3
50%,0.027000000000000135,30m,1f-3
75%,0.038000000000000145,30m,1f-3
max,0.20599999999999996,30m,1f-3
count,4816.0,30m,1f-2
mean,0.028872508305647842,30m,1f-2
std,0.022971478636735133,30m,1f-2
min,0.0040000000000000036,30m,1f-2
25%,0.016000000000000014,30m,1f-2
50%,0.02300000000000013,30m,1f-2
75%,0.03500000000000014,30m,1f-2
max,0.5509999999999997,30m,1f-2
count,10925.0,30m,1f-1
mean,0.017252082379862706,30m,1f-1
std,0.01143371102549491,30m,1f-1
min,0.0029999999999998916,30m,1f-1
25%,0.010000000000000009,30m,1f-1
50%,0.014000000000000012,30m,1f-1
75%,0.020999999999999908,30m,1f-1
max,0.31299999999999994,30m,1f-1
count,1345.0,30m,1f-0
mean,0.010217843866171007,30m,1f-0
std,0.00932838297769663,30m,1f-0
min,0.0030000000000000027,30m,1f-0
25%,0.006000000000000005,30m,1f-0
50%,0.008000000000000007,30m,1f-0
75%,0.01100000000000001,30m,1f-0
max,0.20299999999999996,30m,1f-0
count,852.0,15m,1f-3
mean,0.02228638497652582,15m,1f-3
std,0.013524844270200304,15m,1f-3
min,0.0019999999999997797,15m,1f-3
25%,0.01499999999999968,15m,1f-3
50%,0.020000000000000018,15m,1f-3
75%,0.026999999999999802,15m,1f-3
max,0.20599999999999996,15m,1f-3
count,9620.0,15m,1f-2
mean,0.020141891891891896,15m,1f-2
std,0.016299812510737116,15m,1f-2
min,0.0029999999999996696,15m,1f-2
25%,0.01100000000000012,15m,1f-2
50%,0.016999999999999904,15m,1f-2
75%,0.02499999999999991,15m,1f-2
max,0.5509999999999997,15m,1f-2
count,21858.0,15m,1f-1
