index,volatility,freq,price_level
count,41.0,1w,3f-1
mean,29.922926829268295,1w,3f-1
std,13.65037549738146,1w,3f-1
min,12.610000000000014,1w,3f-1
25%,21.139999999999986,1w,3f-1
50%,25.430000000000007,1w,3f-1
75%,34.34,1w,3f-1
max,68.68,1w,3f-1
count,11.0,1w,3f-2
mean,49.0,1w,3f-2
std,27.294799504667548,1w,3f-2
min,32.0,1w,3f-2
25%,34.535,1w,3f-2
50%,41.660000000000025,1w,3f-2
75%,48.235,1w,3f-2
max,126.94999999999999,1w,3f-2
count,297.0,1d,3f-1
mean,10.804713804713806,1d,3f-1
std,5.770727447432018,1d,3f-1
min,2.3100000000000023,1d,3f-1
25%,6.9199999999999875,1d,3f-1
50%,9.549999999999983,1d,3f-1
75%,13.099999999999994,1d,3f-1
max,40.25999999999999,1d,3f-1
count,68.0,1d,3f-2
mean,18.660735294117643,1d,3f-2
std,10.027546732931432,1d,3f-2
min,4.640000000000015,1d,3f-2
25%,12.809999999999988,1d,3f-2
50%,16.819999999999993,1d,3f-2
75%,20.684999999999995,1d,3f-2
max,59.14999999999998,1d,3f-2
count,421.0,4h,3f-2
mean,7.256128266033254,4h,3f-2
std,4.669421089098539,4h,3f-2
min,1.7300000000000182,4h,3f-2
25%,4.350000000000023,4h,3f-2
50%,6.030000000000001,4h,3f-2
75%,8.909999999999997,4h,3f-2
max,41.75,4h,3f-2
count,1774.0,4h,3f-1
mean,4.262102593010147,4h,3f-1
std,2.7828495032557994,4h,3f-1
min,0.7600000000000193,4h,3f-1
25%,2.552500000000009,4h,3f-1
50%,3.530000000000001,4h,3f-1
75%,5.210000000000008,4h,3f-1
max,28.0,4h,3f-1
count,1677.0,1h,3f-2
mean,3.59664877757901,1h,3f-2
std,2.5954217501085934,1h,3f-2
min,0.46999999999999886,1h,3f-2
25%,2.039999999999992,1h,3f-2
50%,2.859999999999985,1h,3f-2
75%,4.319999999999993,1h,3f-2
max,28.160000000000025,1h,3f-2
count,7106.0,1h,3f-1
mean,2.0763481564874753,1h,3f-1
std,1.4676037876427297,1h,3f-1
min,0.29000000000002046,1h,3f-1
25%,1.1925000000000168,1h,3f-1
50%,1.700000000000017,1h,3f-1
75%,2.490000000000009,1h,3f-1
max,22.909999999999997,1h,3f-1
count,3350.0,30m,3f-2
mean,2.5301104477611944,30m,3f-2
std,1.8897181416450561,30m,3f-2
min,0.4099999999999966,30m,3f-2
25%,1.4099999999999966,30m,3f-2
50%,2.019999999999982,30m,3f-2
75%,2.980000000000018,30m,3f-2
max,19.560000000000002,30m,3f-2
count,14217.0,30m,3f-1
mean,1.4466976155307028,30m,3f-1
std,1.039018595002203,30m,3f-1
min,0.18000000000000682,30m,3f-1
25%,0.8300000000000125,30m,3f-1
50%,1.1800000000000068,30m,3f-1
75%,1.740000000000009,30m,3f-1
max,19.360000000000014,30m,3f-1
count,6708.0,15m,3f-2
mean,1.7604844961240314,15m,3f-2
std,1.332798708285484,15m,3f-2
min,0.1599999999999966,15m,3f-2
25%,0.9800000000000182,15m,3f-2
50%,1.4099999999999966,15m,3f-2
75%,2.0900000000000034,15m,3f-2
max,16.97,15m,3f-2
count,28427.0,15m,3f-1
mean,1.0097143560699335,15m,3f-1
std,0.7498090350135451,15m,3f-1
min,0.11000000000001364,15m,3f-1
25%,0.5700000000000216,15m,3f-1
50%,0.8299999999999841,15m,3f-1
75%,1.2199999999999989,15m,3f-1
max,19.360000000000014,15m,3f-1
count,20120.0,5m,3f-2
mean,0.9750531809145129,5m,3f-2
std,0.7775478712190009,5m,3f-2
min,0.060000000000002274,5m,3f-2
25%,0.5300000000000011,5m,3f-2
50%,0.7800000000000011,5m,3f-2
75%,1.1699999999999875,5m,3f-2
max,13.830000000000013,5m,3f-2
count,85284.0,5m,3f-1
mean,0.5576689648703156,5m,3f-1
std,0.4393852547717209,5m,3f-1
min,0.01999999999999602,5m,3f-1
25%,0.30000000000001137,5m,3f-1
50%,0.44999999999998863,5m,3f-1
75%,0.6800000000000068,5m,3f-1
max,17.120000000000005,5m,3f-1
count,100572.0,1m,3f-2
mean,0.4005266873483673,1m,3f-2
std,0.34533922754881446,1m,3f-2
min,0.009999999999990905,1m,3f-2
25%,0.19999999999998863,1m,3f-2
50%,0.3100000000000023,1m,3f-2
75%,0.4900000000000091,1m,3f-2
max,9.359999999999985,1m,3f-2
count,426448.0,1m,3f-1
mean,0.2260351320676846,1m,3f-1
std,0.19759944251962627,1m,3f-1
min,0.009999999999990905,1m,3f-1
25%,0.11000000000001364,1m,3f-1
50%,0.18000000000000682,1m,3f-1
75%,0.28000000000000114,1m,3f-1
max,11.139999999999986,1m,3f-1
