statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,78.37884615384617
std,1w,True,45.79190927997301
min,1w,True,16.600000000000023
25%,1w,True,46.300000000000026
50%,1w,True,68.15000000000003
75%,1w,True,99.65
max,1w,True,269.9
count,1w,False,46.0
mean,1w,False,81.04565217391306
std,1w,False,47.611701206609276
min,1w,False,16.600000000000023
25%,1w,False,46.72500000000004
50%,1w,False,68.89999999999998
75%,1w,False,102.87500000000001
max,1w,False,269.9
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,57.93333333333334
std,1w,Only Holidays,20.480494785689803
min,1w,Only Holidays,29.399999999999977
25%,1w,Only Holidays,44.25
50%,1w,Only Holidays,62.0
75%,1w,Only Holidays,68.27500000000003
max,1w,Only Holidays,85.5
count,1d,True,365.0
mean,1d,True,28.42547945205479
std,1d,True,19.296288221414237
min,1d,True,5.0
25%,1d,True,15.5
50%,1d,True,23.0
75%,1d,True,34.700000000000045
max,1d,True,131.09999999999997
count,1d,False,250.0
mean,1d,False,30.2096
std,1d,False,19.609388063908668
min,1d,False,7.199999999999989
25%,1d,False,17.425000000000026
50%,1d,False,24.099999999999994
75%,1d,False,35.54999999999998
max,1d,False,131.09999999999997
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,24.546956521739133
std,1d,Only Holidays,18.07901915587358
min,1d,Only Holidays,5.0
25%,1d,Only Holidays,12.549999999999983
50%,1d,Only Holidays,18.599999999999966
75%,1d,Only Holidays,30.450000000000017
max,1d,Only Holidays,108.70000000000005
count,4h,True,2189.0
mean,4h,True,11.231932389218821
std,4h,True,9.173049357671559
min,4h,True,1.6000000000000227
25%,4h,True,5.600000000000023
50%,4h,True,8.599999999999966
75%,4h,True,13.800000000000068
max,4h,True,95.19999999999999
count,4h,False,1499.0
mean,4h,False,12.040226817878583
std,4h,False,9.492410865210513
min,4h,False,2.1999999999999886
25%,4h,False,6.300000000000011
50%,4h,False,9.300000000000011
75%,4h,False,14.699999999999989
max,4h,False,95.19999999999999
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,9.475942028985509
std,4h,Only Holidays,8.172961602805346
min,4h,Only Holidays,1.6000000000000227
25%,4h,Only Holidays,4.5
50%,4h,Only Holidays,7.0
75%,4h,Only Holidays,11.40000000000002
max,4h,Only Holidays,82.60000000000002
count,1h,True,8754.0
mean,1h,True,5.456008681745488
std,1h,True,4.684888343319213
min,1h,True,0.6999999999999886
25%,1h,True,2.6999999999999886
50%,1h,True,4.099999999999966
75%,1h,True,6.600000000000023
max,1h,True,68.40000000000003
count,1h,False,5994.0
mean,1h,False,5.847997997997998
std,1h,False,4.869443522921561
min,1h,False,0.8000000000000114
25%,1h,False,3.0
50%,1h,False,4.400000000000034
75%,1h,False,7.0
max,1h,False,68.40000000000003
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,4.6047101449275365
std,1h,Only Holidays,4.131242133877695
min,1h,Only Holidays,0.6999999999999886
25%,1h,Only Holidays,2.1999999999999886
50%,1h,Only Holidays,3.3000000000000114
75%,1h,Only Holidays,5.400000000000034
max,1h,Only Holidays,50.299999999999955
count,30m,True,17508.0
mean,30m,True,3.782362348640621
std,30m,True,3.3361389550656795
min,30m,True,0.4000000000000341
25%,30m,True,1.8000000000000114
50%,30m,True,2.8000000000000114
75%,30m,True,4.5
max,30m,True,59.30000000000007
count,30m,False,11988.0
mean,30m,False,4.056639973306639
std,30m,False,3.465449741170405
min,30m,False,0.5
25%,30m,False,2.0
50%,30m,False,3.099999999999966
75%,30m,False,4.899999999999977
max,30m,False,59.30000000000007
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,3.1867028985507244
std,30m,Only Holidays,2.950133480163191
min,30m,Only Holidays,0.4000000000000341
25%,30m,Only Holidays,1.5
50%,30m,Only Holidays,2.2999999999999545
75%,30m,Only Holidays,3.8000000000000114
max,30m,Only Holidays,34.700000000000045
count,15m,True,35015.0
mean,15m,True,2.6286620019991425
std,15m,True,2.392388438960968
min,15m,True,0.10000000000002274
25%,15m,True,1.2999999999999545
50%,15m,True,1.900000000000034
75%,15m,True,3.1999999999999886
max,15m,True,59.30000000000007
count,15m,False,23975.0
mean,15m,False,2.8170093847758078
std,15m,False,2.4881690824852134
min,15m,False,0.10000000000002274
25%,15m,False,1.3999999999999773
50%,15m,False,2.1000000000000227
75%,15m,False,3.3999999999999773
max,15m,False,59.30000000000007
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,2.21963768115942
std,15m,Only Holidays,2.1129279219945527
min,15m,Only Holidays,0.19999999999998863
25%,15m,Only Holidays,1.0
50%,15m,Only Holidays,1.599999999999966
75%,15m,Only Holidays,2.6000000000000227
max,15m,Only Holidays,34.30000000000001
count,5m,True,105043.0
mean,5m,True,1.4310501413706767
std,5m,True,1.3852307855065422
min,5m,True,0.0
25%,5m,True,0.6000000000000227
50%,5m,True,1.0
75%,5m,True,1.7000000000000455
max,5m,True,59.10000000000002
count,5m,False,71923.0
mean,5m,False,1.5368268843068278
std,5m,False,1.4433668425826922
min,5m,False,0.0
25%,5m,False,0.6999999999999886
50%,5m,False,1.1000000000000227
75%,5m,False,1.8999999999999773
max,5m,False,59.10000000000002
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,1.201346618357488
std,5m,Only Holidays,1.2185029904568907
min,5m,Only Holidays,0.0
25%,5m,Only Holidays,0.5
50%,5m,Only Holidays,0.8000000000000114
75%,5m,Only Holidays,1.400000000000034
max,5m,Only Holidays,34.30000000000001
count,1m,True,525217.0
mean,1m,True,0.5451580965581841
std,1m,True,0.6232252100933583
min,1m,True,0.0
25%,1m,True,0.19999999999998863
50%,1m,True,0.39999999999997726
75%,1m,True,0.6999999999999886
max,1m,True,43.19999999999999
count,1m,False,359617.0
mean,1m,False,0.589759660972646
std,1m,False,0.6487508637499128
min,1m,False,0.0
25%,1m,False,0.20000000000004547
50%,1m,False,0.4000000000000341
75%,1m,False,0.7000000000000455
max,1m,False,43.19999999999999
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,0.44830132850241533
std,1m,Only Holidays,0.551545951845036
min,1m,Only Holidays,0.0
25%,1m,Only Holidays,0.19999999999998863
50%,1m,Only Holidays,0.30000000000001137
75%,1m,Only Holidays,0.5
max,1m,Only Holidays,28.600000000000023
