statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,75.30596153846156
std,1w,True,34.1404313387879
min,1w,True,27.899999999999977
25%,1w,True,48.47500000000004
50%,1w,True,68.30000000000004
75%,1w,True,95.98750000000001
max,1w,True,171.01
count,1w,False,46.0
mean,1w,False,78.39847826086958
std,1w,False,34.793086220454214
min,1w,False,31.399999999999977
25%,1w,False,51.599999999999966
50%,1w,False,70.26999999999998
75%,1w,False,100.33749999999998
max,1w,False,171.01
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,51.59666666666664
std,1w,Only Holidays,15.20632193091631
min,1w,Only Holidays,27.899999999999977
25%,1w,Only Holidays,45.655
50%,1w,Only Holidays,50.51999999999998
75%,1w,Only Holidays,63.48499999999997
max,1w,Only Holidays,68.79999999999995
count,1d,True,365.0
mean,1d,True,27.555561643835613
std,1d,True,16.405624672843675
min,1d,True,5.600000000000023
25%,1d,True,16.50999999999999
50%,1d,True,23.699999999999932
75%,1d,True,33.200000000000045
max,1d,True,127.15999999999997
count,1d,False,250.0
mean,1d,False,29.6256
std,1d,False,16.98402114154791
min,1d,False,8.100000000000023
25%,1d,False,18.700000000000045
50%,1d,False,24.52000000000004
75%,1d,False,36.065000000000026
max,1d,False,127.15999999999997
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,23.055478260869563
std,1d,Only Holidays,14.124359339203474
min,1d,Only Holidays,5.600000000000023
25%,1d,Only Holidays,12.729999999999961
50%,1d,Only Holidays,17.969999999999914
75%,1d,Only Holidays,30.58499999999998
max,1d,Only Holidays,92.20000000000005
count,4h,True,2195.0
mean,4h,True,10.836756264236902
std,4h,True,7.843441822844782
min,4h,True,1.6999999999999318
25%,4h,True,6.0
50%,4h,True,8.799999999999955
75%,4h,True,12.965000000000032
max,4h,True,118.89999999999998
count,4h,False,1505.0
mean,4h,False,11.729514950166111
std,4h,False,8.246816477399669
min,4h,False,2.0
25%,4h,False,6.7000000000000455
50%,4h,False,9.5
75%,4h,False,13.800000000000068
max,4h,False,118.89999999999998
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,8.889507246376812
std,4h,Only Holidays,6.473245735479751
min,4h,Only Holidays,1.6999999999999318
25%,4h,Only Holidays,4.7000000000000455
50%,4h,Only Holidays,6.799999999999983
75%,4h,Only Holidays,11.299999999999955
max,4h,Only Holidays,56.89999999999998
count,1h,True,8783.0
mean,1h,True,5.219287259478538
std,1h,True,4.015009268186256
min,1h,True,0.6000000000000227
25%,1h,True,2.7999999999999545
50%,1h,True,4.110000000000014
75%,1h,True,6.2999999999999545
max,1h,True,77.16999999999996
count,1h,False,6023.0
mean,1h,False,5.647433172837456
std,1h,False,4.222804439695301
min,1h,False,0.7000000000000455
25%,1h,False,3.1499999999999773
50%,1h,False,4.5
75%,1h,False,6.7099999999999795
max,1h,False,77.16999999999996
