statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,8431.014807692309
std,1w,True,3660.562961111411
min,1w,True,3959.25
25%,1w,True,5886.690000000002
50%,1w,True,7236.174999999999
75%,1w,True,10556.86
max,1w,True,18241.479999999996
count,1w,False,46.0
mean,1w,False,8500.40934782609
std,1w,False,3743.700337875706
min,1w,False,3959.25
25%,1w,False,5822.690000000002
50%,1w,False,7239.880000000001
75%,1w,False,10918.919999999998
max,1w,False,18241.479999999996
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,7898.990000000002
std,1w,Only Holidays,3186.7792780988157
min,1w,Only Holidays,4017.5599999999977
25%,1w,Only Holidays,6300.730000000003
50%,1w,Only Holidays,7100.920000000002
75%,1w,Only Holidays,9343.4125
max,1w,Only Holidays,13049.630000000005
count,1d,True,365.0
mean,1d,True,3095.1709863013702
std,1d,True,1869.1868566898554
min,1d,True,414.179999999993
25%,1d,True,1823.8099999999977
50%,1d,True,2678.850000000006
75%,1d,True,3930.6699999999983
max,1d,True,13588.0
count,1d,False,250.0
mean,1d,False,3522.1536800000003
std,1d,False,1765.032359011212
min,1d,False,1023.6500000000087
25%,1d,False,2312.632499999998
50%,1d,False,3089.994999999999
75%,1d,False,4365.089999999998
max,1d,False,13588.0
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,2166.947739130434
std,1d,Only Holidays,1755.6500801617722
min,1d,Only Holidays,414.179999999993
25%,1d,Only Holidays,1188.6699999999983
50%,1d,Only Holidays,1688.989999999998
75%,1d,Only Holidays,2480.600000000006
max,1d,Only Holidays,10038.0
count,4h,True,2189.0
mean,4h,True,1192.8667245317495
std,4h,True,901.0607467858481
min,4h,True,83.54000000000087
25%,4h,True,611.4599999999991
50%,4h,True,930.0
75%,4h,True,1490.1300000000047
max,4h,True,8979.720000000001
count,4h,False,1499.0
mean,4h,False,1351.4357638425618
std,4h,False,911.558259143915
min,4h,False,240.37999999999738
25%,4h,False,750.4049999999988
50%,4h,False,1078.8799999999974
75%,4h,False,1659.979999999996
max,4h,False,8979.720000000001
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,848.3812318840577
std,4h,Only Holidays,773.4160294592167
min,4h,Only Holidays,83.54000000000087
25%,4h,Only Holidays,421.77000000000226
50%,4h,Only Holidays,639.5099999999948
75%,4h,Only Holidays,985.1449999999968
max,4h,Only Holidays,8052.720000000001
count,1h,True,8754.0
mean,1h,True,573.7176159469957
std,1h,True,473.74373105143957
min,1h,True,33.580000000001746
25%,1h,True,286.494999999999
50%,1h,True,440.0
75%,1h,True,705.2225000000071
max,1h,True,8540.0
count,1h,False,5994.0
mean,1h,False,646.7852068735402
std,1h,False,482.861891255077
min,1h,False,90.0
25%,1h,False,344.8774999999914
50%,1h,False,512.7900000000009
75%,1h,False,786.7924999999977
max,1h,False,8540.0
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,415.0338695652173
std,1h,Only Holidays,410.8275869368506
min,1h,Only Holidays,33.580000000001746
25%,1h,Only Holidays,200.98999999999978
50%,1h,Only Holidays,311.56000000000495
75%,1h,Only Holidays,485.24249999999665
max,1h,Only Holidays,7367.199999999997
count,30m,True,17507.0
mean,30m,True,397.49280859084945
std,30m,True,339.3941807378628
min,30m,True,6.5
25%,30m,True,197.09000000000015
50%,30m,True,305.1900000000023
75%,30m,True,483.8249999999971
max,30m,True,8540.0
count,30m,False,11987.0
mean,30m,False,448.60890381246355
std,30m,False,348.05615149032343
min,30m,False,47.05999999999767
25%,30m,False,235.82499999999345
50%,30m,False,353.0899999999965
75%,30m,False,541.8150000000023
max,30m,False,8540.0
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,286.4912445652174
std,30m,Only Holidays,290.307632575967
min,30m,Only Holidays,6.5
25%,30m,Only Holidays,135.91749999999956
50%,30m,Only Holidays,213.45000000000073
75%,30m,Only Holidays,340.505000000001
max,30m,Only Holidays,6981.970000000001
count,15m,True,35013.0
mean,15m,True,274.40806014908753
std,15m,True,239.54510648721205
min,15m,True,0.010000000002037268
25%,15m,True,132.4300000000003
50%,15m,True,210.01000000000204
75%,15m,True,338.4599999999991
max,15m,True,8199.839999999997
count,15m,False,23973.0
mean,15m,False,310.20908980936895
std,15m,False,245.84029257509803
min,15m,False,21.80000000000291
25%,15m,False,160.0
50%,15m,False,242.25999999999476
75%,15m,False,380.5200000000041
max,15m,False,8199.839999999997
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,196.66729166666667
std,15m,Only Holidays,204.75348232863266
min,15m,Only Holidays,0.010000000002037268
25%,15m,Only Holidays,90.32500000000073
50%,15m,Only Holidays,144.90999999999622
75%,15m,Only Holidays,238.0749999999989
max,15m,Only Holidays,5377.040000000008
count,5m,True,105038.0
mean,5m,True,148.66505940707174
std,5m,True,139.8276505009183
min,5m,True,0.00999999999476131
25%,5m,True,66.19000000000233
50%,5m,True,111.0
75%,5m,True,185.48999999999796
max,5m,True,7607.990000000005
count,5m,False,71918.0
mean,5m,False,168.951538557802
std,5m,False,143.80021861920676
min,5m,False,0.00999999999476131
25%,5m,False,81.7100000000064
50%,5m,False,130.0
75%,5m,False,209.6274999999987
max,5m,False,7607.990000000005
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,104.61424396135263
std,5m,Only Holidays,119.46338688090418
min,5m,Only Holidays,0.00999999999476131
25%,5m,Only Holidays,43.44000000000233
50%,5m,Only Holidays,74.40999999998894
75%,5m,Only Holidays,127.00250000000233
max,5m,Only Holidays,3893.5100000000093
count,1m,True,525188.0
mean,1m,True,56.67730073802137
std,1m,True,61.94878925398887
min,1m,True,0.00999999999476131
25%,1m,True,20.020000000004075
50%,1m,True,40.00999999999476
75%,1m,True,72.65999999998894
max,1m,True,5699.990000000005
count,1m,False,359588.0
mean,1m,False,65.30839997441514
std,1m,False,64.33192803196104
min,1m,False,0.00999999999476131
25%,1m,False,26.80999999999767
50%,1m,False,48.070000000006985
75%,1m,False,83.34999999999854
max,1m,False,5699.990000000005
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,37.935515036231735
std,1m,Only Holidays,51.68341419324145
min,1m,Only Holidays,0.00999999999476131
25%,1m,Only Holidays,10.799999999995634
50%,1m,Only Holidays,24.69000000000233
75%,1m,Only Holidays,47.69999999999709
max,1m,Only Holidays,1878.550000000003
