statistic,freq,include_holiday,value
count,1w,True,0.0
unique,1w,True,0.0
top,1w,True,
freq,1w,True,
count,1d,True,8.0
mean,1d,True,103.13500000000002
std,1d,True,127.60812972310411
min,1d,True,38.59999999999991
25%,1d,True,50.512500000000045
50%,1d,True,60.495000000000005
75%,1d,True,71.83750000000009
max,1d,True,417.28999999999996
count,1d,False,6.0
mean,1d,False,123.25500000000004
std,1d,False,144.3858971991378
min,1d,False,51.700000000000045
25%,1d,False,59.2475
50%,1d,False,65.94500000000005
75%,1d,False,77.71250000000009
max,1d,False,417.28999999999996
count,1d,Only Holidays,2.0
mean,1d,Only Holidays,42.77499999999998
std,1d,Only Holidays,5.9043416229077685
min,1d,Only Holidays,38.59999999999991
25%,1d,Only Holidays,40.68749999999994
50%,1d,Only Holidays,42.77499999999998
75%,1d,Only Holidays,44.86250000000001
max,1d,Only Holidays,46.950000000000045
count,4h,True,52.0
mean,4h,True,41.339230769230774
std,4h,True,39.64765704553806
min,4h,True,11.410000000000082
25%,4h,True,18.882499999999936
50%,4h,True,30.100000000000023
75%,4h,True,40.17999999999995
max,4h,True,198.6500000000001
count,4h,False,40.0
mean,4h,False,47.77600000000002
std,4h,False,43.064164160840214
min,4h,False,11.480000000000018
25%,4h,False,25.5625
50%,4h,False,34.72000000000003
75%,4h,False,49.17750000000001
max,4h,False,198.6500000000001
count,4h,Only Holidays,12.0
mean,4h,Only Holidays,19.883333333333308
std,4h,Only Holidays,7.751003845055226
min,4h,Only Holidays,11.410000000000082
25%,4h,Only Holidays,15.240000000000066
50%,4h,Only Holidays,17.904999999999973
75%,4h,Only Holidays,21.007499999999936
max,4h,Only Holidays,39.15000000000009
count,1h,True,206.0
mean,1h,True,18.895485436893207
std,1h,True,19.34084013377584
min,1h,True,4.8900000000001
25%,1h,True,9.592500000000086
50%,1h,True,13.274999999999977
75%,1h,True,20.589999999999918
max,1h,True,136.92999999999984
count,1h,False,158.0
mean,1h,False,21.545822784810124
std,1h,False,21.276798709661456
min,1h,False,4.9500000000000455
25%,1h,False,11.289999999999964
50%,1h,False,15.345000000000027
75%,1h,False,23.005000000000166
max,1h,False,136.92999999999984
count,1h,Only Holidays,48.0
mean,1h,Only Holidays,10.171458333333334
std,1h,Only Holidays,4.244314339324171
min,1h,Only Holidays,4.8900000000001
25%,1h,Only Holidays,7.002499999999941
50%,1h,Only Holidays,9.19500000000005
75%,1h,Only Holidays,12.092499999999973
max,1h,Only Holidays,23.700000000000045
count,30m,True,411.0
mean,30m,True,12.914671532846716
std,30m,True,13.914629363323888
min,30m,True,2.5599999999999454
25%,30m,True,6.319999999999936
50%,30m,True,9.039999999999964
