statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,0.43192307692307697
std,1w,True,0.2493416308376487
min,1w,True,0.1070000000000001
25%,1w,True,0.276
50%,1w,True,0.39400000000000013
75%,1w,True,0.5057499999999999
max,1w,True,1.614
count,1w,False,46.0
mean,1w,False,0.45491304347826084
std,1w,False,0.25479558918970985
min,1w,False,0.1070000000000001
25%,1w,False,0.29675000000000007
50%,1w,False,0.4235
75%,1w,False,0.5110000000000001
max,1w,False,1.614
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,0.25566666666666665
std,1w,Only Holidays,0.08784911306704611
min,1w,Only Holidays,0.16799999999999993
25%,1w,Only Holidays,0.18100000000000016
50%,1w,Only Holidays,0.2490000000000001
75%,1w,Only Holidays,0.3049999999999999
max,1w,Only Holidays,0.3859999999999999
count,1d,True,365.0
mean,1d,True,0.15436164383561643
std,1d,True,0.10355285138641722
min,1d,True,0.029000000000000026
25%,1d,True,0.08700000000000019
50%,1d,True,0.127
75%,1d,True,0.18500000000000005
max,1d,True,0.9569999999999999
count,1d,False,250.0
mean,1d,False,0.164632
std,1d,False,0.10791057103623101
min,1d,False,0.031000000000000028
25%,1d,False,0.09725000000000011
50%,1d,False,0.13349999999999995
75%,1d,False,0.20525000000000004
max,1d,False,0.9569999999999999
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,0.13203478260869564
std,1d,Only Holidays,0.08983502720482096
min,1d,Only Holidays,0.029000000000000026
25%,1d,Only Holidays,0.07350000000000012
50%,1d,Only Holidays,0.10899999999999999
75%,1d,Only Holidays,0.15749999999999997
max,1d,Only Holidays,0.659
count,4h,True,2189.0
mean,4h,True,0.06011740520785747
std,4h,True,0.04739969119368462
min,4h,True,0.010000000000000009
25%,4h,True,0.03200000000000003
50%,4h,True,0.04799999999999982
75%,4h,True,0.07299999999999995
max,4h,True,0.8460000000000001
count,4h,False,1499.0
mean,4h,False,0.06412808539026017
std,4h,False,0.05044659966367289
min,4h,False,0.01100000000000001
25%,4h,False,0.03499999999999992
50%,4h,False,0.052000000000000046
75%,4h,False,0.07799999999999985
max,4h,False,0.8460000000000001
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,0.05140434782608696
