statistic,freq,include_holiday,value
count,1w,True,52.0
mean,1w,True,33.958461538461535
std,1w,True,18.81791213696594
min,1w,True,12.610000000000014
25%,1w,True,22.87000000000002
50%,1w,True,29.025000000000006
75%,1w,True,39.005
max,1w,True,126.94999999999999
count,1w,False,46.0
mean,1w,False,34.774130434782606
std,1w,False,19.422344128587447
min,1w,False,12.840000000000018
25%,1w,False,23.53250000000002
50%,1w,False,29.435000000000002
75%,1w,False,38.2525
max,1w,False,126.94999999999999
count,1w,Only Holidays,6.0
mean,1w,Only Holidays,27.70500000000001
std,1w,Only Holidays,12.80101675649244
min,1w,Only Holidays,12.610000000000014
25%,1w,Only Holidays,18.882499999999993
50%,1w,Only Holidays,24.989999999999995
75%,1w,Only Holidays,38.45500000000002
max,1w,Only Holidays,43.85000000000002
count,1d,True,365.0
mean,1d,True,12.268301369863014
std,1d,True,7.414169228476452
min,1d,True,2.3100000000000023
25%,1d,True,7.509999999999991
50%,1d,True,10.460000000000008
75%,1d,True,15.080000000000013
max,1d,True,59.14999999999998
count,1d,False,250.0
mean,1d,False,12.905040000000001
std,1d,False,6.214971058616261
min,1d,False,3.490000000000009
25%,1d,False,8.717500000000015
50%,1d,False,11.61
75%,1d,False,16.017500000000013
max,1d,False,42.81
count,1d,Only Holidays,115.0
mean,1d,Only Holidays,10.884086956521738
std,1d,Only Holidays,9.398348296063869
min,1d,Only Holidays,2.3100000000000023
25%,1d,Only Holidays,5.840000000000003
50%,1d,Only Holidays,7.900000000000006
75%,1d,Only Holidays,12.060000000000002
max,1d,Only Holidays,59.14999999999998
count,4h,True,2195.0
mean,4h,True,4.836355353075171
std,4h,True,3.4383562142634903
min,4h,True,0.7600000000000193
25%,4h,True,2.7299999999999898
50%,4h,True,3.9000000000000057
75%,4h,True,5.865000000000009
max,4h,True,41.75
count,4h,False,1505.0
mean,4h,False,5.122724252491694
std,4h,False,3.1083322765751618
min,4h,False,1.0199999999999818
25%,4h,False,3.0400000000000205
50%,4h,False,4.3799999999999955
75%,4h,False,6.259999999999991
max,4h,False,28.0
count,4h,Only Holidays,690.0
mean,4h,Only Holidays,4.2117391304347835
std,4h,Only Holidays,3.9982306524068125
min,4h,Only Holidays,0.7600000000000193
25%,4h,Only Holidays,2.2225000000000037
50%,4h,Only Holidays,3.1499999999999915
75%,4h,Only Holidays,4.550000000000004
max,4h,Only Holidays,41.75
count,1h,True,8783.0
mean,1h,True,2.366629853125356
std,1h,True,1.8398986487133724
min,1h,True,0.29000000000002046
25%,1h,True,1.289999999999992
50%,1h,True,1.8700000000000045
75%,1h,True,2.8400000000000034
max,1h,True,28.160000000000025
count,1h,False,6023.0
mean,1h,False,2.5050257346837124
std,1h,False,1.6813331903817368
min,1h,False,0.3900000000000148
25%,1h,False,1.4299999999999784
50%,1h,False,2.0600000000000023
75%,1h,False,3.049999999999983
max,1h,False,22.689999999999998
count,1h,Only Holidays,2760.0
mean,1h,Only Holidays,2.0646159420289854
std,1h,Only Holidays,2.1147300403345803
min,1h,Only Holidays,0.29000000000002046
25%,1h,Only Holidays,1.0674999999999955
50%,1h,Only Holidays,1.5300000000000011
75%,1h,Only Holidays,2.282499999999999
max,1h,Only Holidays,28.160000000000025
count,30m,True,17567.0
mean,30m,True,1.6533027836283942
std,30m,True,1.3174472185476704
min,30m,True,0.18000000000000682
25%,30m,True,0.8900000000000148
50%,30m,True,1.3100000000000023
75%,30m,True,1.9899999999999807
max,30m,True,19.560000000000002
count,30m,False,12047.0
mean,30m,False,1.7511239312691957
std,30m,False,1.224887379981769
min,30m,False,0.21999999999999886
25%,30m,False,0.9899999999999807
50%,30m,False,1.420000000000016
75%,30m,False,2.1299999999999955
max,30m,False,19.360000000000014
count,30m,Only Holidays,5520.0
mean,30m,Only Holidays,1.4398152173913046
std,30m,Only Holidays,1.477539899635169
min,30m,Only Holidays,0.18000000000000682
25%,30m,Only Holidays,0.7199999999999989
50%,30m,Only Holidays,1.0700000000000074
75%,30m,Only Holidays,1.5999999999999943
max,30m,Only Holidays,19.560000000000002
count,15m,True,35135.0
mean,15m,True,1.1530519425074712
std,15m,True,0.93863959772721
min,15m,True,0.11000000000001364
25%,15m,True,0.6199999999999761
50%,15m,True,0.9099999999999966
75%,15m,True,1.3799999999999955
max,15m,True,19.360000000000014
count,15m,False,24095.0
mean,15m,False,1.2209362938368955
std,15m,False,0.8793974624446312
min,15m,False,0.15000000000000568
25%,15m,False,0.6800000000000068
50%,15m,False,1.0
75%,15m,False,1.4800000000000182
max,15m,False,19.360000000000014
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,1.0048931159420291
std,15m,Only Holidays,1.041244850741309
min,15m,Only Holidays,0.11000000000001364
25%,15m,Only Holidays,0.5099999999999909
50%,15m,Only Holidays,0.7400000000000091
75%,15m,Only Holidays,1.1299999999999955
max,15m,Only Holidays,18.72999999999999
count,5m,True,105404.0
mean,5m,True,0.6373411824978179
std,5m,True,0.5463643527206756
min,5m,True,0.01999999999999602
25%,5m,True,0.3299999999999841
50%,5m,True,0.5
75%,5m,True,0.7700000000000102
max,5m,True,17.120000000000005
count,5m,False,72284.0
mean,5m,False,0.6751619998893253
std,5m,False,0.5107597558282407
min,5m,False,0.01999999999999602
25%,5m,False,0.36000000000001364
50%,5m,False,0.5400000000000205
75%,5m,False,0.8299999999999841
max,5m,False,13.830000000000013
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,0.5547977053140097
std,5m,Only Holidays,0.6088795438184553
min,5m,Only Holidays,0.03999999999999204
25%,5m,Only Holidays,0.2699999999999818
50%,5m,Only Holidays,0.4000000000000057
75%,5m,Only Holidays,0.6200000000000045
max,5m,Only Holidays,17.120000000000005
count,1m,True,527020.0
mean,1m,True,0.2593336116276421
std,1m,True,0.24301060305731248
min,1m,True,0.009999999999990905
