,,1d,4h,1h,30m,15m,5m,1m
mean,ETHUSDT,125.724,43.501,19.984,13.625,9.37,5.072,1.984
mean,ETCUSDT,0.96,0.351,0.17,0.118,0.08,0.042,0.013
mean,BTCUSDT,2740.733,1033.046,487.911,334.822,229.61,120.604,42.862
mean,BCHUSDT,25.778,9.587,4.539,3.102,2.119,1.129,0.417
mean,SOLUSDT,7.457,2.989,1.452,1.018,0.712,0.385,0.152
median,ETHUSDT,62.99,31.08,13.8,9.415,6.305,3.415,1.32
median,ETCUSDT,0.73,0.28,0.15,0.1,0.07,0.03,0.01
median,BTCUSDT,2046.16,909.94,393.505,270.5,183.12,96.265,31.75
median,BCHUSDT,24.4,8.0,3.6,2.3,1.6,0.8,0.3
median,SOLUSDT,5.23,2.655,1.185,0.83,0.57,0.31,0.12
