,,1d,4h,1h,30m,15m,5m,1m
mean,ETHUSDT,195.666,72.154,34.937,23.838,16.629,9.163,3.681
mean,ETCUSDT,1.416,0.534,0.26,0.176,0.121,0.065,0.023
mean,BTCUSDT,3052.861,1231.006,594.711,403.682,279.735,149.038,53.831
mean,BCHUSDT,20.7,9.11,4.642,3.23,2.244,1.216,0.444
mean,SOLUSDT,11.955,4.824,2.368,1.616,1.129,0.621,0.25
mean,ES=F,81.25,32.607,17.009,11.905,8.329,4.681,1.996
mean,NQ=F,366.667,144.23,73.514,51.064,36.057,20.317,8.705
mean,YM=F,547.333,208.556,109.322,76.585,52.824,28.778,10.821
mean,RTY=F,38.583,16.297,8.056,5.49,3.712,1.995,0.781
median,ETHUSDT,188.855,63.585,32.13,21.025,14.455,7.73,3.01
median,ETCUSDT,1.485,0.475,0.23,0.16,0.11,0.06,0.02
median,BTCUSDT,3178.09,1114.92,498.52,338.07,238.585,122.655,41.85
median,BCHUSDT,20.55,8.45,4.1,2.9,1.9,1.0,0.4
median,SOLUSDT,11.94,4.465,2.2,1.42,0.995,0.54,0.21
median,ES=F,79.125,26.75,13.125,9.0,6.5,3.75,1.5
median,NQ=F,353.125,124.0,57.625,39.875,28.5,16.25,6.75
median,YM=F,524.5,176.0,83.5,57.5,41.0,22.0,8.0
median,RTY=F,32.8,12.1,6.05,3.95,2.7,1.5,0.5
